日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-10-17,1040.21,1071.36,1079.74,1036.29,4629354.0,4663243776.0,4.35,7.14,71.36,16.24,BK0709,concept,赛马概念
2014-10-20,1088.26,1059.49,1088.26,1054.89,9471851.0,7938250752.0,3.11,-1.11,-11.87,33.22,BK0709,concept,赛马概念
2014-10-21,1038.44,1025.37,1052.84,1023.6,8703516.0,7111624192.0,2.76,-3.22,-34.12,30.53,BK0709,concept,赛马概念
2014-10-22,1014.43,998.45,1017.51,993.63,5727926.0,4918658048.0,2.33,-2.63,-26.92,20.09,BK0709,concept,赛马概念
2014-10-23,995.3,986.91,1001.61,980.2,5177111.0,4893221376.0,2.14,-1.16,-11.54,18.16,BK0709,concept,赛马概念
2014-10-24,984.29,990.52,1000.7,981.38,4826658.0,3898701552.0,1.96,0.37,3.61,16.93,BK0709,concept,赛马概念
2014-10-27,987.37,992.26,993.07,980.82,4371542.0,3705807312.0,1.24,0.18,1.74,15.33,BK0709,concept,赛马概念
2014-10-28,994.17,1012.15,1012.9,990.84,4406538.0,3804363712.0,2.22,2.0,19.89,15.45,BK0709,concept,赛马概念
2014-10-29,1013.76,1030.64,1032.7,1006.13,5992817.0,5230760960.0,2.63,1.83,18.49,21.02,BK0709,concept,赛马概念
2014-10-30,1028.36,1017.21,1032.06,1014.71,4624023.0,4104926944.0,1.68,-1.3,-13.43,16.22,BK0709,concept,赛马概念
2014-10-31,1016.62,1020.41,1026.82,1010.8,4004127.0,3394218848.0,1.57,0.31,3.2,14.04,BK0709,concept,赛马概念
2014-11-03,1017.61,1027.16,1030.39,1017.35,3543092.0,2967963104.0,1.28,0.66,6.75,12.43,BK0709,concept,赛马概念
2014-11-04,1024.14,1013.18,1024.14,1007.86,3188638.0,2659195568.0,1.58,-1.36,-13.98,11.18,BK0709,concept,赛马概念
2014-11-05,1010.63,1018.6,1024.92,1006.45,3801686.0,3054134816.0,1.82,0.53,5.42,13.33,BK0709,concept,赛马概念
2014-11-06,1015.84,1017.7,1017.95,1004.04,2658048.0,2205008336.0,1.37,-0.09,-0.9,9.32,BK0709,concept,赛马概念
2014-11-07,1016.65,998.95,1018.37,997.81,2747456.0,2352020960.0,2.02,-1.84,-18.75,9.64,BK0709,concept,赛马概念
2014-11-10,999.77,1007.78,1007.99,994.08,2626924.0,2124896480.0,1.39,0.88,8.83,9.21,BK0709,concept,赛马概念
2014-11-11,1008.01,979.43,1009.85,968.16,4259674.0,3319439344.0,4.14,-2.81,-28.35,14.94,BK0709,concept,赛马概念
2014-11-12,976.79,1003.72,1005.43,972.65,3962042.0,3002827776.0,3.35,2.48,24.29,13.9,BK0709,concept,赛马概念
2014-11-13,1001.37,985.32,1001.37,982.49,3679965.0,2952532128.0,1.88,-1.83,-18.4,12.91,BK0709,concept,赛马概念
2014-11-14,978.57,988.59,989.2,970.65,2741971.0,2248262896.0,1.88,0.33,3.27,9.62,BK0709,concept,赛马概念
