日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-03-05,1012.0,1061.47,1061.47,1010.33,52393267.0,50733614592.0,5.11,6.15,61.47,3.16,BK0859,concept,超清视频
2019-03-06,1089.52,1085.28,1094.91,1064.66,68374602.0,59784724736.0,2.85,2.24,23.81,4.13,BK0859,concept,超清视频
2019-03-07,1091.66,1112.53,1124.21,1085.78,51031537.0,51143303680.0,3.54,2.51,27.25,3.08,BK0859,concept,超清视频
2019-03-08,1080.98,1091.0,1143.22,1069.93,60969567.0,66384384768.0,6.59,-1.94,-21.53,3.68,BK0859,concept,超清视频
2019-03-11,1105.07,1124.57,1124.7,1078.35,65514171.0,63579691008.0,4.25,3.08,33.57,3.96,BK0859,concept,超清视频
2019-03-12,1125.2,1158.72,1160.57,1123.1,70996268.0,74044510208.0,3.33,3.04,34.15,4.29,BK0859,concept,超清视频
2019-03-13,1154.49,1101.19,1154.98,1091.2,63506150.0,65132726784.0,5.5,-4.96,-57.53,3.84,BK0859,concept,超清视频
2019-03-14,1083.64,1058.02,1090.35,1041.78,45718346.0,43042045696.0,4.41,-3.92,-43.17,2.76,BK0859,concept,超清视频
2019-03-15,1064.88,1059.49,1074.53,1048.33,34799195.0,34613527296.0,2.48,0.14,1.47,2.1,BK0859,concept,超清视频
2019-03-18,1060.97,1081.61,1081.61,1044.57,37038918.0,34890589440.0,3.5,2.09,22.12,2.24,BK0859,concept,超清视频
2019-03-19,1077.87,1100.7,1110.13,1075.0,41880331.0,38269787392.0,3.25,1.76,19.09,2.53,BK0859,concept,超清视频
2019-03-20,1096.26,1092.58,1097.49,1066.92,37440921.0,35290540544.0,2.78,-0.74,-8.12,2.26,BK0859,concept,超清视频
2019-03-21,1096.17,1124.55,1132.52,1096.17,45128348.0,42627607296.0,3.33,2.93,31.97,2.73,BK0859,concept,超清视频
2019-03-22,1128.99,1127.44,1132.95,1103.39,53468211.0,46544737792.0,2.63,0.26,2.89,3.23,BK0859,concept,超清视频
2019-03-25,1104.5,1109.31,1128.64,1100.28,53389647.0,43703879168.0,2.52,-1.61,-18.13,3.22,BK0859,concept,超清视频
2019-03-26,1113.39,1071.44,1118.96,1068.9,46165517.0,38383691264.0,4.51,-3.41,-37.87,2.79,BK0859,concept,超清视频
2019-03-27,1081.12,1076.02,1085.23,1045.46,35551701.0,31817166592.0,3.71,0.43,4.58,2.15,BK0859,concept,超清视频
2019-03-28,1069.41,1062.87,1096.58,1062.28,33779336.0,35393498368.0,3.19,-1.22,-13.15,2.04,BK0859,concept,超清视频
2019-03-29,1060.78,1091.42,1091.42,1044.24,38217304.0,39295408128.0,4.44,2.69,28.55,2.31,BK0859,concept,超清视频
2019-04-01,1098.01,1136.01,1136.01,1098.01,44755651.0,47626853632.0,3.48,4.09,44.59,2.7,BK0859,concept,超清视频
2019-04-02,1142.96,1136.75,1158.18,1132.22,41259042.0,45909980928.0,2.29,0.07,0.74,2.49,BK0859,concept,超清视频
2019-04-03,1127.39,1136.38,1137.87,1120.47,31565815.0,34185612288.0,1.53,-0.03,-0.37,1.91,BK0859,concept,超清视频
2019-04-04,1140.9,1134.7,1145.88,1129.61,34240262.0,37927832576.0,1.43,-0.15,-1.68,2.07,BK0859,concept,超清视频
2019-04-08,1139.19,1106.27,1141.84,1093.28,35684674.0,37577822976.0,4.28,-2.51,-28.43,2.16,BK0859,concept,超清视频
2019-04-09,1104.74,1120.28,1125.73,1097.14,25773916.0,28411458816.0,2.58,1.27,14.01,1.56,BK0859,concept,超清视频
2019-04-10,1113.15,1110.8,1121.48,1100.19,29798330.0,31911391744.0,1.9,-0.85,-9.48,1.8,BK0859,concept,超清视频
2019-04-11,1111.43,1089.0,1112.84,1087.02,26729383.0,28051212800.0,2.32,-1.96,-21.8,1.61,BK0859,concept,超清视频
2019-04-12,1089.17,1087.45,1095.19,1078.78,20834700.0,22108456960.0,1.51,-0.14,-1.55,1.26,BK0859,concept,超清视频
2019-04-15,1102.78,1080.11,1114.47,1079.06,24790813.0,28074584064.0,3.26,-0.67,-7.34,1.5,BK0859,concept,超清视频
2019-04-16,1071.32,1109.69,1109.69,1059.85,30854419.0,36650367488.0,4.61,2.74,29.58,1.86,BK0859,concept,超清视频
2019-04-17,1110.23,1116.09,1124.3,1108.15,39181098.0,42584619776.0,1.46,0.58,6.4,2.37,BK0859,concept,超清视频
2019-04-18,1112.88,1101.88,1112.88,1099.77,26849776.0,29995143168.0,1.17,-1.27,-14.21,1.62,BK0859,concept,超清视频
2019-04-19,1102.74,1112.95,1113.04,1092.53,25066611.0,28538617088.0,1.86,1.0,11.07,1.51,BK0859,concept,超清视频
2019-04-22,1115.22,1104.66,1122.01,1100.7,31601771.0,36136698112.0,1.91,-0.74,-8.29,1.91,BK0859,concept,超清视频
2019-04-23,1103.28,1091.68,1108.79,1089.39,27395936.0,29880706560.0,1.76,-1.18,-12.98,1.65,BK0859,concept,超清视频
2019-04-24,1093.04,1109.56,1109.56,1072.81,41758215.0,38753613056.0,3.37,1.64,17.88,2.52,BK0859,concept,超清视频
2019-04-25,1100.98,1069.89,1110.38,1069.89,37060629.0,36730320128.0,3.65,-3.58,-39.67,2.24,BK0859,concept,超清视频
2019-04-26,1058.55,1054.2,1077.56,1053.87,26361540.0,28762518272.0,2.21,-1.47,-15.69,1.59,BK0859,concept,超清视频
2019-04-29,1049.54,1004.12,1053.95,1002.48,30434645.0,27654127616.0,4.88,-4.75,-50.08,1.84,BK0859,concept,超清视频
