日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-08-06,997.28,1015.47,1016.67,993.2,1472219.0,1706429312.0,2.35,1.55,15.47,0.41,BK0703,concept,超级电容
2014-08-07,1015.79,999.65,1018.35,998.64,1401703.0,1505704112.0,1.94,-1.56,-15.82,0.39,BK0703,concept,超级电容
2014-08-08,998.88,999.85,1004.2,995.19,925457.0,982929648.0,0.9,0.02,0.2,0.26,BK0703,concept,超级电容
2014-08-11,1000.7,1012.17,1012.52,999.21,1179066.0,1309164128.0,1.33,1.23,12.32,0.33,BK0703,concept,超级电容
2014-08-12,1014.53,1021.05,1023.7,1014.08,1278463.0,1411725520.0,0.95,0.88,8.88,0.36,BK0703,concept,超级电容
2014-08-13,1021.38,1027.07,1028.85,1009.58,1494002.0,1557623664.0,1.89,0.59,6.02,0.42,BK0703,concept,超级电容
2014-08-14,1025.66,1015.11,1028.9,1013.65,1387825.0,1497519488.0,1.48,-1.16,-11.96,0.39,BK0703,concept,超级电容
2014-08-15,1033.78,1042.16,1044.87,1032.6,1213553.0,1333970736.0,1.21,2.66,27.05,0.34,BK0703,concept,超级电容
2014-08-18,1062.58,1070.91,1071.92,1059.08,1314700.0,1484037984.0,1.23,2.76,28.75,0.37,BK0703,concept,超级电容
2014-08-19,1092.73,1095.87,1095.92,1083.29,1628816.0,1960456816.0,1.18,2.33,24.96,0.46,BK0703,concept,超级电容
2014-08-20,1117.63,1122.05,1131.62,1114.23,2662457.0,2837848560.0,1.59,2.39,26.18,0.75,BK0703,concept,超级电容
2014-08-21,1125.19,1116.18,1127.91,1104.91,3308371.0,3847732144.0,2.05,-0.52,-5.87,0.93,BK0703,concept,超级电容
2014-08-22,1118.58,1126.28,1130.93,1115.89,2572077.0,3072125984.0,1.35,0.9,10.1,0.72,BK0703,concept,超级电容
2014-08-25,1121.65,1110.09,1125.76,1109.78,2342754.0,2726211952.0,1.42,-1.44,-16.19,0.66,BK0703,concept,超级电容
2014-08-26,1107.31,1097.42,1112.49,1088.11,2773213.0,3372393312.0,2.2,-1.14,-12.67,0.78,BK0703,concept,超级电容
2014-08-27,1093.73,1092.99,1104.51,1089.5,2000998.0,2380215744.0,1.37,-0.4,-4.43,0.56,BK0703,concept,超级电容
2014-08-28,1095.73,1081.43,1096.93,1070.92,1858680.0,2119574976.0,2.38,-1.06,-11.56,0.52,BK0703,concept,超级电容
2014-08-29,1079.01,1093.83,1095.49,1077.48,1585275.0,1776894784.0,1.67,1.15,12.4,0.45,BK0703,concept,超级电容
2014-09-01,1094.0,1109.16,1110.79,1090.44,1679513.0,2043534464.0,1.86,1.4,15.33,0.47,BK0703,concept,超级电容
2014-09-02,1112.49,1119.2,1120.71,1103.65,2132715.0,2525845792.0,1.54,0.91,10.04,0.6,BK0703,concept,超级电容
2014-09-03,1118.43,1123.64,1130.01,1116.07,2077448.0,2520653456.0,1.25,0.4,4.44,0.58,BK0703,concept,超级电容
2014-09-04,1124.95,1124.91,1128.03,1114.67,2130947.0,2454811696.0,1.19,0.11,1.27,0.6,BK0703,concept,超级电容
2014-09-05,1124.49,1142.04,1146.06,1123.55,3041738.0,3518759280.0,2.0,1.52,17.13,0.85,BK0703,concept,超级电容
2014-09-09,1139.13,1160.32,1160.53,1135.09,3450359.0,4317894144.0,2.23,1.6,18.28,0.97,BK0703,concept,超级电容
2014-09-10,1156.75,1160.45,1163.03,1146.23,2921852.0,3548586304.0,1.45,0.01,0.13,0.82,BK0703,concept,超级电容
2014-09-11,1166.9,1156.51,1173.85,1146.42,3065106.0,3865787216.0,2.36,-0.34,-3.94,0.86,BK0703,concept,超级电容
2014-09-12,1154.4,1163.77,1163.92,1146.27,1974995.0,2448036544.0,1.53,0.63,7.26,0.55,BK0703,concept,超级电容
2014-09-15,1158.96,1167.44,1167.92,1150.64,2088455.0,2334369072.0,1.48,0.32,3.67,0.59,BK0703,concept,超级电容
2014-09-16,1167.09,1111.38,1169.3,1110.8,2773033.0,3271902464.0,5.01,-4.8,-56.06,0.78,BK0703,concept,超级电容
2014-09-17,1111.66,1111.96,1120.17,1092.73,1751377.0,2012666352.0,2.47,0.05,0.58,0.49,BK0703,concept,超级电容
2014-09-18,1111.23,1129.44,1131.7,1104.41,1922186.0,1863031248.0,2.45,1.57,17.48,0.54,BK0703,concept,超级电容
2014-09-19,1139.27,1144.07,1145.68,1133.42,2294401.0,2191375760.0,1.09,1.3,14.63,0.64,BK0703,concept,超级电容
2014-09-22,1144.02,1129.39,1144.93,1122.01,2190389.0,2207051552.0,2.0,-1.28,-14.68,0.62,BK0703,concept,超级电容
2014-09-23,1125.54,1137.98,1139.95,1124.46,1813665.0,1829961744.0,1.37,0.76,8.59,0.51,BK0703,concept,超级电容
2014-09-24,1135.84,1152.88,1153.63,1132.16,2135516.0,2313320576.0,1.89,1.31,14.9,0.6,BK0703,concept,超级电容
2014-09-25,1157.2,1153.86,1163.87,1148.2,2276855.0,2453956400.0,1.36,0.09,0.98,0.64,BK0703,concept,超级电容
2014-09-26,1159.07,1159.5,1168.44,1155.84,1651292.0,1752906800.0,1.09,0.49,5.64,0.46,BK0703,concept,超级电容
2014-09-29,1165.23,1172.31,1174.14,1164.28,2035635.0,2407710560.0,0.85,1.1,12.81,0.57,BK0703,concept,超级电容
2014-09-30,1170.31,1176.21,1178.75,1170.31,1701657.0,1896291664.0,0.72,0.33,3.9,0.48,BK0703,concept,超级电容
2014-10-08,1176.62,1195.71,1196.04,1169.6,2210741.0,2536725808.0,2.25,1.66,19.5,0.62,BK0703,concept,超级电容
2014-10-09,1194.07,1201.27,1201.57,1181.23,2407825.0,2799296576.0,1.7,0.46,5.56,0.68,BK0703,concept,超级电容
2014-10-10,1196.5,1185.8,1200.65,1178.55,2069787.0,2335933392.0,1.84,-1.29,-15.47,0.58,BK0703,concept,超级电容
2014-10-13,1180.66,1185.48,1185.95,1167.31,1779625.0,2031012592.0,1.57,-0.03,-0.32,0.5,BK0703,concept,超级电容
2014-10-14,1182.36,1176.42,1194.71,1170.22,1721206.0,2097063952.0,2.07,-0.76,-9.06,0.48,BK0703,concept,超级电容
2014-10-15,1175.35,1176.37,1177.46,1159.91,1537208.0,1827433200.0,1.49,0.0,-0.05,0.43,BK0703,concept,超级电容
2014-10-16,1168.07,1147.18,1181.56,1146.71,1757598.0,2075707488.0,2.96,-2.48,-29.19,0.49,BK0703,concept,超级电容
2014-10-17,1153.92,1137.42,1163.98,1110.66,2283235.0,2555558016.0,4.65,-0.85,-9.76,0.64,BK0703,concept,超级电容
2014-10-20,1138.47,1148.56,1148.62,1130.86,1338378.0,1605922688.0,1.56,0.98,11.14,0.38,BK0703,concept,超级电容
2014-10-21,1148.61,1140.17,1155.75,1135.64,1488749.0,1673965360.0,1.75,-0.73,-8.39,0.42,BK0703,concept,超级电容
2014-10-22,1143.55,1133.59,1151.18,1131.66,1224596.0,1382749168.0,1.71,-0.58,-6.58,0.34,BK0703,concept,超级电容
2014-10-23,1135.82,1119.31,1137.95,1114.92,1357465.0,1609405200.0,2.03,-1.26,-14.28,0.38,BK0703,concept,超级电容
2014-10-24,1118.81,1119.08,1132.54,1114.84,1332288.0,1624203120.0,1.58,-0.02,-0.23,0.37,BK0703,concept,超级电容
2014-10-27,1115.82,1127.97,1128.64,1108.77,1103047.0,1306817712.0,1.78,0.79,8.89,0.31,BK0703,concept,超级电容
2014-10-28,1128.58,1155.79,1155.81,1128.58,1703334.0,2183129056.0,2.41,2.47,27.82,0.48,BK0703,concept,超级电容
2014-10-29,1157.11,1166.34,1170.33,1150.58,2291541.0,2907098032.0,1.71,0.91,10.55,0.64,BK0703,concept,超级电容
2014-10-30,1160.53,1160.53,1165.86,1155.14,2218242.0,2702057872.0,0.92,-0.5,-5.81,0.62,BK0703,concept,超级电容
2014-10-31,1159.89,1160.73,1165.56,1146.38,1734569.0,2166118944.0,1.65,0.02,0.2,0.49,BK0703,concept,超级电容
2014-11-03,1161.06,1164.73,1167.43,1157.21,1470503.0,1818270256.0,0.88,0.34,4.0,0.41,BK0703,concept,超级电容
2014-11-04,1163.06,1163.24,1171.32,1155.88,1703456.0,2107422944.0,1.33,-0.13,-1.49,0.48,BK0703,concept,超级电容
2014-11-05,1163.46,1156.36,1168.42,1155.68,1280750.0,1505486032.0,1.1,-0.59,-6.88,0.36,BK0703,concept,超级电容
2014-11-06,1154.58,1158.7,1160.31,1141.1,1439660.0,1625832240.0,1.66,0.2,2.34,0.4,BK0703,concept,超级电容
2014-11-07,1158.44,1145.9,1161.41,1137.43,1621404.0,1884394544.0,2.07,-1.1,-12.8,0.46,BK0703,concept,超级电容
