日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-04-11,1031.83,997.18,1044.5,997.16,7438654.0,9658669824.0,4.73,-0.28,-2.82,3.14,BK0862,concept,超级真菌
2019-04-12,964.23,943.5,968.7,938.53,5946784.0,6149410560.0,3.03,-5.38,-53.68,2.51,BK0862,concept,超级真菌
2019-04-15,938.04,929.49,956.76,928.38,4318355.0,5277288960.0,3.01,-1.48,-14.01,1.82,BK0862,concept,超级真菌
2019-04-16,928.64,946.68,946.68,921.96,4264513.0,4898201600.0,2.66,1.85,17.19,1.8,BK0862,concept,超级真菌
2019-04-17,942.7,953.47,953.57,935.98,4623049.0,5062201344.0,1.86,0.72,6.79,1.95,BK0862,concept,超级真菌
2019-04-18,948.81,928.08,948.81,927.83,3424948.0,3655643904.0,2.2,-2.66,-25.39,1.44,BK0862,concept,超级真菌
2019-04-19,926.21,934.6,939.98,922.53,2803120.0,3376886048.0,1.88,0.7,6.52,1.18,BK0862,concept,超级真菌
2019-04-22,937.34,920.6,938.11,917.62,3444855.0,4805655552.0,2.19,-1.5,-14.0,1.45,BK0862,concept,超级真菌
2019-04-23,919.93,925.87,937.9,915.26,4082194.0,4873899264.0,2.46,0.57,5.27,1.72,BK0862,concept,超级真菌
2019-04-24,923.57,932.13,932.5,915.66,4129627.0,4268982848.0,1.82,0.68,6.26,1.74,BK0862,concept,超级真菌
2019-04-25,923.89,905.76,932.46,904.18,3817813.0,5022623488.0,3.03,-2.83,-26.37,1.61,BK0862,concept,超级真菌
2019-04-26,904.02,882.55,907.54,882.36,2963858.0,3973519008.0,2.78,-2.56,-23.21,1.25,BK0862,concept,超级真菌
2019-04-29,883.31,859.08,888.07,848.57,3358099.0,6312726272.0,4.48,-2.66,-23.47,1.42,BK0862,concept,超级真菌
2019-04-30,849.13,864.14,871.17,848.99,2701305.0,4211417792.0,2.58,0.59,5.06,1.14,BK0862,concept,超级真菌
2019-05-06,838.66,797.42,839.78,792.75,2890669.0,5173811968.0,5.44,-7.72,-66.72,1.22,BK0862,concept,超级真菌
2019-05-07,801.55,831.72,839.81,801.55,3092305.0,5843966720.0,4.8,4.3,34.3,1.3,BK0862,concept,超级真菌
2019-05-08,816.93,835.65,855.39,809.87,2756480.0,4076848208.0,5.47,0.47,3.93,1.16,BK0862,concept,超级真菌
2019-05-09,824.04,811.4,833.65,809.31,2416106.0,3484008976.0,2.91,-2.9,-24.25,1.02,BK0862,concept,超级真菌
2019-05-10,821.72,835.72,835.74,798.11,2578620.0,3736145648.0,4.64,3.0,24.32,1.09,BK0862,concept,超级真菌
2019-05-13,828.23,828.84,840.04,823.14,1943615.0,2650190832.0,2.02,-0.82,-6.88,0.82,BK0862,concept,超级真菌
2019-05-14,818.15,815.45,828.7,812.93,1926405.0,3188832464.0,1.9,-1.62,-13.39,0.81,BK0862,concept,超级真菌
2019-05-15,824.09,838.04,838.77,821.58,2227723.0,4108758464.0,2.11,2.77,22.59,0.94,BK0862,concept,超级真菌
2019-05-16,838.17,844.92,849.6,836.16,2539120.0,3970027760.0,1.6,0.82,6.88,1.07,BK0862,concept,超级真菌
2019-05-17,842.14,806.27,843.79,802.76,2802220.0,4059868624.0,4.86,-4.57,-38.65,1.18,BK0862,concept,超级真菌
2019-05-20,805.67,793.24,806.18,777.69,2096724.0,3589193504.0,3.53,-1.62,-13.03,0.88,BK0862,concept,超级真菌
2019-05-21,792.12,806.02,811.09,789.99,1645875.0,2563060544.0,2.66,1.61,12.78,0.69,BK0862,concept,超级真菌
2019-05-22,807.33,794.36,807.7,788.77,1600382.0,2482219424.0,2.35,-1.45,-11.66,0.67,BK0862,concept,超级真菌
2019-05-23,793.66,774.86,793.89,772.96,1500997.0,2389073520.0,2.63,-2.45,-19.5,0.63,BK0862,concept,超级真菌
2019-05-24,774.96,769.16,782.31,768.27,1212428.0,1749144912.0,1.81,-0.74,-5.7,0.51,BK0862,concept,超级真菌
2019-05-27,770.69,790.47,791.49,768.06,1614318.0,2541722288.0,3.05,2.77,21.31,0.68,BK0862,concept,超级真菌
2019-05-28,790.22,788.54,799.68,784.48,1717868.0,2930818768.0,1.92,-0.24,-1.93,0.72,BK0862,concept,超级真菌
