日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2016-08-04,1000.88,1023.96,1030.47,1000.35,4091759.0,7033442816.0,3.01,2.4,23.96,0.17,BK0920,concept,车联网(车路云)
2016-08-05,1020.29,1010.61,1021.4,1008.71,3339364.0,5955540736.0,1.24,-1.3,-13.35,0.14,BK0920,concept,车联网(车路云)
2016-08-08,1007.68,1019.98,1020.14,998.81,3084151.0,5708624384.0,2.11,0.93,9.37,0.13,BK0920,concept,车联网(车路云)
2016-08-09,1018.21,1026.3,1026.43,1014.37,3072901.0,6021513728.0,1.18,0.62,6.32,0.13,BK0920,concept,车联网(车路云)
2016-08-10,1025.49,1020.78,1032.55,1020.75,3337731.0,6269757952.0,1.15,-0.54,-5.52,0.14,BK0920,concept,车联网(车路云)
2016-08-11,1017.17,995.2,1017.81,995.19,3154888.0,5969231872.0,2.22,-2.51,-25.58,0.13,BK0920,concept,车联网(车路云)
2016-08-12,994.29,1005.46,1005.6,988.58,2482783.0,4690456576.0,1.71,1.03,10.26,0.11,BK0920,concept,车联网(车路云)
2016-08-15,1006.0,1030.78,1036.0,1000.92,4433511.0,8855051264.0,3.49,2.52,25.32,0.19,BK0920,concept,车联网(车路云)
2016-08-16,1032.18,1035.84,1039.36,1030.84,3554701.0,6883513088.0,0.83,0.49,5.06,0.15,BK0920,concept,车联网(车路云)
2016-08-17,1033.6,1038.8,1041.33,1029.64,3315182.0,6702512640.0,1.13,0.29,2.96,0.14,BK0920,concept,车联网(车路云)
2016-08-18,1037.9,1037.96,1043.11,1032.7,3143944.0,6203015680.0,1.0,-0.08,-0.84,0.13,BK0920,concept,车联网(车路云)
2016-08-19,1037.55,1036.42,1040.19,1030.27,2626397.0,5040400640.0,0.96,-0.15,-1.54,0.11,BK0920,concept,车联网(车路云)
2016-08-22,1036.57,1023.95,1038.71,1023.94,3204602.0,6103466752.0,1.43,-1.2,-12.47,0.14,BK0920,concept,车联网(车路云)
2016-08-23,1022.3,1022.47,1028.75,1014.48,2411934.0,4613706240.0,1.39,-0.14,-1.48,0.1,BK0920,concept,车联网(车路云)
2016-08-24,1022.83,1032.91,1038.65,1021.75,2841584.0,5537434112.0,1.65,1.02,10.44,0.12,BK0920,concept,车联网(车路云)
2016-08-25,1027.46,1023.02,1027.5,1012.26,4084008.0,8027882240.0,1.48,-0.96,-9.89,0.17,BK0920,concept,车联网(车路云)
2016-08-26,1026.21,1025.53,1037.41,1021.29,3878653.0,7679566848.0,1.58,0.25,2.51,0.17,BK0920,concept,车联网(车路云)
2016-08-29,1023.04,1023.55,1028.26,1019.95,2510115.0,5135719168.0,0.81,-0.19,-1.98,0.11,BK0920,concept,车联网(车路云)
2016-08-30,1024.73,1023.89,1031.19,1021.45,2486553.0,4893210112.0,0.95,0.03,0.34,0.11,BK0920,concept,车联网(车路云)
2016-08-31,1023.41,1024.06,1024.78,1013.37,2290166.0,4442706432.0,1.11,0.02,0.17,0.1,BK0920,concept,车联网(车路云)
2016-09-01,1023.74,1014.83,1026.59,1014.83,2364509.0,4573087488.0,1.15,-0.9,-9.23,0.1,BK0920,concept,车联网(车路云)
2016-09-02,1013.02,1004.37,1018.49,999.81,2846309.0,5508945408.0,1.84,-1.03,-10.46,0.12,BK0920,concept,车联网(车路云)
2016-09-05,1007.31,1005.57,1011.44,1003.07,2378508.0,4498361600.0,0.83,0.12,1.2,0.1,BK0920,concept,车联网(车路云)
2016-09-06,1005.88,1022.59,1022.59,995.68,3284174.0,6452918784.0,2.68,1.69,17.02,0.14,BK0920,concept,车联网(车路云)
2016-09-07,1023.3,1021.43,1028.82,1020.71,3008972.0,5967826944.0,0.79,-0.11,-1.16,0.13,BK0920,concept,车联网(车路云)
2016-09-08,1020.15,1025.49,1028.12,1019.79,2560188.0,5060738304.0,0.82,0.4,4.06,0.11,BK0920,concept,车联网(车路云)
2016-09-09,1025.05,1015.68,1028.67,1015.51,2475401.0,5001989888.0,1.28,-0.96,-9.81,0.11,BK0920,concept,车联网(车路云)
2016-09-12,995.94,973.7,996.57,973.19,3639860.0,6691054592.0,2.3,-4.13,-41.98,0.16,BK0920,concept,车联网(车路云)
2016-09-13,979.88,979.25,983.12,974.43,2091298.0,4032298176.0,0.89,0.57,5.55,0.09,BK0920,concept,车联网(车路云)
2016-09-14,974.1,971.64,980.33,968.34,1763727.0,3460012464.0,1.22,-0.78,-7.61,0.08,BK0920,concept,车联网(车路云)
2016-09-19,974.94,982.36,985.41,974.94,1654516.0,3124380416.0,1.08,1.1,10.72,0.07,BK0920,concept,车联网(车路云)
2016-09-20,986.16,984.53,988.49,980.01,2230805.0,3946604576.0,0.86,0.22,2.17,0.1,BK0920,concept,车联网(车路云)
2016-09-21,984.8,994.36,997.29,984.8,2564570.0,4820148480.0,1.27,1.0,9.83,0.11,BK0920,concept,车联网(车路云)
2016-09-22,1000.69,996.54,1002.2,995.38,2337546.0,4549211136.0,0.69,0.22,2.18,0.1,BK0920,concept,车联网(车路云)
2016-09-23,998.3,991.59,999.32,991.43,2160063.0,4076177584.0,0.79,-0.5,-4.95,0.09,BK0920,concept,车联网(车路云)
2016-09-26,991.19,972.68,992.75,972.65,2585933.0,4936187392.0,2.03,-1.91,-18.91,0.11,BK0920,concept,车联网(车路云)
2016-09-27,971.04,982.55,982.93,966.83,1998860.0,3791849456.0,1.66,1.01,9.87,0.09,BK0920,concept,车联网(车路云)
