日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,6343.15,6261.08,6389.91,6250.27,10526785.0,12840123971.98,2.21,-1.0,-63.52,0.19,BK0528,concept,转债标的
2010-01-05,6277.54,6305.88,6354.73,6181.56,13559291.0,17168127972.5,2.77,0.72,44.8,0.25,BK0528,concept,转债标的
2010-01-06,6298.98,6235.95,6335.45,6209.79,14428441.0,17786386126.32,1.99,-1.11,-69.93,0.26,BK0528,concept,转债标的
2010-01-07,6225.76,6102.8,6257.68,6067.91,15038438.0,18298799765.54,3.04,-2.14,-133.15,0.27,BK0528,concept,转债标的
2010-01-08,6079.02,6112.0,6147.85,6003.18,11825332.0,14300471808.97,2.37,0.15,9.2,0.21,BK0528,concept,转债标的
2010-01-11,6337.41,6140.67,6398.47,6061.87,14376301.0,17166179187.99,5.51,0.47,28.67,0.26,BK0528,concept,转债标的
2010-01-12,6124.29,6238.58,6272.06,6061.91,16405881.0,19467947511.09,3.42,1.59,97.91,0.3,BK0528,concept,转债标的
2010-01-13,6122.05,6037.16,6201.51,5968.78,20889337.0,25250880872.6,3.73,-3.23,-201.42,0.38,BK0528,concept,转债标的
2010-01-14,6046.25,6090.84,6117.32,6002.14,15287794.0,18254016074.4,1.91,0.89,53.68,0.28,BK0528,concept,转债标的
2010-01-15,6099.22,6097.45,6141.3,6026.31,12221926.0,14149215880.21,1.89,0.11,6.61,0.22,BK0528,concept,转债标的
2010-01-18,6074.95,6101.08,6125.83,6028.46,14064188.0,16651154360.81,1.6,0.06,3.63,0.26,BK0528,concept,转债标的
2010-01-19,6105.63,6116.75,6169.96,6072.59,14826157.0,16597403294.29,1.6,0.26,15.67,0.27,BK0528,concept,转债标的
2010-01-20,6129.79,5973.1,6158.62,5949.71,17830594.0,19662884554.57,3.42,-2.35,-143.65,0.32,BK0528,concept,转债标的
2010-01-21,5975.17,5980.9,6043.51,5899.08,12015752.0,13281573249.59,2.42,0.13,7.8,0.22,BK0528,concept,转债标的
2010-01-22,5915.42,5969.79,6039.28,5836.78,14979506.0,16322845508.35,3.39,-0.19,-11.11,0.27,BK0528,concept,转债标的
2010-01-25,5931.23,5915.37,6048.38,5879.38,11780702.0,10994817351.99,2.83,-0.91,-54.42,0.21,BK0528,concept,转债标的
2010-01-26,5908.53,5843.14,5961.24,5778.69,11449631.0,11341557140.75,3.09,-1.22,-72.23,0.21,BK0528,concept,转债标的
2010-01-27,5840.63,5778.75,5868.48,5739.97,9921086.0,10412947942.47,2.2,-1.1,-64.39,0.18,BK0528,concept,转债标的
2010-01-28,5778.78,5787.01,5814.53,5697.58,8540870.0,9358827497.29,2.02,0.14,8.26,0.15,BK0528,concept,转债标的
2010-01-29,5756.44,5771.15,5835.49,5713.82,9345604.0,10002980949.46,2.1,-0.27,-15.86,0.17,BK0528,concept,转债标的
2010-02-01,5753.26,5672.72,5768.14,5632.26,10013751.0,10692372695.86,2.35,-1.71,-98.43,0.18,BK0528,concept,转债标的
2010-02-02,5694.6,5706.99,5814.37,5665.79,9531522.0,10410825455.68,2.62,0.6,34.27,0.17,BK0528,concept,转债标的
2010-02-03,5716.95,5823.67,5846.56,5626.56,11050710.0,11292074336.57,3.85,2.04,116.68,0.2,BK0528,concept,转债标的
2010-02-04,5785.61,5800.67,5833.45,5742.3,10374361.0,10680861234.65,1.57,-0.39,-23.0,0.19,BK0528,concept,转债标的
2010-02-05,5708.76,5727.89,5765.1,5670.11,10071902.0,10389726320.91,1.64,-1.25,-72.78,0.18,BK0528,concept,转债标的
2010-02-08,5706.89,5707.69,5756.67,5663.8,6155345.0,6404450481.55,1.62,-0.35,-20.2,0.11,BK0528,concept,转债标的
2010-02-09,5705.08,5705.01,5749.97,5643.07,6057172.0,6019760427.83,1.87,-0.05,-2.68,0.11,BK0528,concept,转债标的
2010-02-10,5727.55,5746.92,5766.5,5697.6,5661091.0,6223411920.18,1.21,0.73,41.91,0.1,BK0528,concept,转债标的
2010-02-11,5750.83,5761.47,5801.0,5712.89,7798834.0,7955554602.18,1.53,0.25,14.55,0.14,BK0528,concept,转债标的
2010-02-12,5775.07,5810.19,5819.92,5749.65,6408907.0,6809795430.02,1.22,0.85,48.72,0.12,BK0528,concept,转债标的
2010-02-22,5811.87,5782.28,5842.48,5761.71,6347211.0,6639433004.27,1.39,-0.48,-27.91,0.12,BK0528,concept,转债标的
