日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-01-06,1042.57,1056.45,1061.61,1037.94,5727710.0,5118738432.0,2.37,5.65,56.45,3.36,BK0907,concept,转基因
2020-01-07,1058.58,1075.62,1094.83,1048.49,7882708.0,9501724160.0,4.39,1.81,19.17,4.63,BK0907,concept,转基因
2020-01-08,1080.28,1049.85,1092.82,1049.1,8623684.0,9524959232.0,4.06,-2.4,-25.77,5.06,BK0907,concept,转基因
2020-01-09,1059.8,1058.02,1070.23,1042.73,13246953.0,12658322176.0,2.62,0.78,8.17,7.77,BK0907,concept,转基因
2020-01-10,1057.87,1034.99,1062.35,1029.14,9358286.0,8531124736.0,3.14,-2.18,-23.03,5.49,BK0907,concept,转基因
2020-01-13,1033.11,1049.18,1050.45,1023.53,7229137.0,7114048000.0,2.6,1.37,14.19,4.24,BK0907,concept,转基因
2020-01-14,1048.71,1065.47,1088.68,1043.45,10864943.0,11153888256.0,4.31,1.55,16.29,6.38,BK0907,concept,转基因
2020-01-15,1042.97,1020.19,1045.64,1019.5,6450872.0,6389735936.0,2.45,-4.25,-45.28,3.79,BK0907,concept,转基因
2020-01-16,1019.06,1024.85,1039.68,1015.47,6309938.0,6841370368.0,2.37,0.46,4.66,3.7,BK0907,concept,转基因
2020-01-17,1021.13,1021.13,1029.25,1014.03,4922500.0,5046886912.0,1.49,-0.36,-3.72,2.89,BK0907,concept,转基因
2020-01-20,1016.06,1005.18,1017.59,989.68,4838911.0,4804061440.0,2.73,-1.56,-15.95,2.84,BK0907,concept,转基因
2020-01-21,1000.72,979.97,1006.05,977.3,4484107.0,4209006848.0,2.86,-2.51,-25.21,2.63,BK0907,concept,转基因
2020-01-22,984.59,979.78,991.28,973.95,4466787.0,4420062208.0,1.77,-0.02,-0.19,2.62,BK0907,concept,转基因
2020-01-23,961.24,929.0,972.54,918.15,5090436.0,4491152896.0,5.55,-5.18,-50.78,2.99,BK0907,concept,转基因
2020-02-03,836.22,836.28,838.67,836.22,858141.0,778210560.0,0.26,-9.98,-92.72,0.5,BK0907,concept,转基因
2020-02-04,781.94,844.83,845.74,781.94,5742682.0,4275104832.0,7.63,1.02,8.55,3.37,BK0907,concept,转基因
2020-02-05,844.59,870.64,892.32,840.36,6206247.0,4995661824.0,6.15,3.06,25.81,3.64,BK0907,concept,转基因
2020-02-06,883.06,910.69,910.84,875.06,7021763.0,5747190784.0,4.11,4.6,40.05,4.12,BK0907,concept,转基因
2020-02-07,908.29,897.12,910.33,878.26,5539599.0,4537285888.0,3.52,-1.49,-13.57,3.25,BK0907,concept,转基因
2020-02-10,890.13,960.39,961.51,889.1,5085775.0,4821497600.0,8.07,7.05,63.27,2.98,BK0907,concept,转基因
2020-02-11,997.2,935.13,997.27,934.38,9629217.0,8445192192.0,6.55,-2.63,-25.26,5.65,BK0907,concept,转基因
2020-02-12,919.36,969.17,981.18,917.22,9291388.0,8169204224.0,6.84,3.64,34.04,5.45,BK0907,concept,转基因
2020-02-13,963.1,978.32,1002.94,958.68,9904394.0,8460501504.0,4.57,0.94,9.15,5.81,BK0907,concept,转基因
2020-02-14,970.21,989.26,1005.74,961.17,8196849.0,7143392000.0,4.56,1.12,10.94,4.81,BK0907,concept,转基因
2020-02-17,1011.59,1040.17,1051.4,1009.71,9648537.0,9106482688.0,4.21,5.15,50.91,5.66,BK0907,concept,转基因
