日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-03-05,1019.52,1079.01,1079.01,1016.88,4878413.0,10915874816.0,6.21,7.9,79.01,0.29,BK0860,concept,边缘计算
2019-03-06,1128.27,1145.18,1147.39,1110.05,11113453.0,21587407616.0,3.46,6.13,66.17,0.67,BK0860,concept,边缘计算
2019-03-07,1167.69,1184.35,1198.09,1156.31,10734813.0,20219123200.0,3.65,3.42,39.17,0.65,BK0860,concept,边缘计算
2019-03-08,1169.85,1163.28,1222.14,1153.42,16631876.0,27907775744.0,5.8,-1.78,-21.07,1.0,BK0860,concept,边缘计算
2019-03-11,1205.25,1201.61,1210.7,1151.65,18710275.0,25168935424.0,5.08,3.29,38.33,1.12,BK0860,concept,边缘计算
2019-03-12,1209.9,1238.49,1248.52,1209.9,19609053.0,29756780800.0,3.21,3.07,36.88,1.18,BK0860,concept,边缘计算
2019-03-13,1237.58,1171.77,1237.58,1160.85,20426927.0,29154197760.0,6.2,-5.39,-66.72,1.23,BK0860,concept,边缘计算
2019-03-14,1142.94,1113.38,1148.91,1100.04,11597105.0,17330985472.0,4.17,-4.98,-58.39,0.7,BK0860,concept,边缘计算
2019-03-15,1118.09,1107.85,1127.31,1096.52,12332251.0,15843680512.0,2.77,-0.5,-5.53,0.74,BK0860,concept,边缘计算
2019-03-18,1106.67,1128.05,1128.05,1089.2,10681995.0,14676046592.0,3.51,1.82,20.2,0.64,BK0860,concept,边缘计算
2019-03-19,1122.2,1135.34,1151.89,1117.44,11806940.0,15961044992.0,3.05,0.65,7.29,0.71,BK0860,concept,边缘计算
2019-03-20,1131.56,1121.83,1134.6,1097.15,9258476.0,12805024512.0,3.3,-1.19,-13.51,0.56,BK0860,concept,边缘计算
2019-03-21,1120.6,1136.69,1148.78,1118.12,12029825.0,16269304576.0,2.73,1.32,14.86,0.72,BK0860,concept,边缘计算
2019-03-22,1130.58,1121.46,1130.58,1100.78,9312326.0,13796514304.0,2.62,-1.34,-15.23,0.56,BK0860,concept,边缘计算
2019-03-25,1094.36,1103.75,1120.45,1088.59,8182900.0,12698553856.0,2.84,-1.58,-17.71,0.49,BK0860,concept,边缘计算
2019-03-26,1109.75,1079.22,1115.67,1075.35,9330810.0,13092443136.0,3.65,-2.22,-24.53,0.56,BK0860,concept,边缘计算
2019-03-27,1087.5,1071.03,1089.76,1044.28,8615062.0,11778368256.0,4.21,-0.76,-8.19,0.52,BK0860,concept,边缘计算
2019-03-28,1064.38,1065.91,1095.7,1058.39,9025380.0,15434311168.0,3.48,-0.48,-5.12,0.54,BK0860,concept,边缘计算
2019-03-29,1062.34,1093.32,1093.32,1042.35,10443626.0,17570777600.0,4.78,2.57,27.41,0.63,BK0860,concept,边缘计算
2019-04-01,1098.16,1136.58,1136.71,1098.16,12722075.0,21249230592.0,3.53,3.96,43.26,0.76,BK0860,concept,边缘计算
2019-04-02,1140.63,1141.48,1162.09,1131.71,13130247.0,19023730432.0,2.67,0.43,4.9,0.79,BK0860,concept,边缘计算
2019-04-03,1134.31,1144.72,1145.06,1129.3,9747309.0,14254608896.0,1.38,0.28,3.24,0.59,BK0860,concept,边缘计算
