日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2018-08-02,995.0,983.79,1000.45,966.7,2632108.0,2824791616.0,3.38,-1.62,-16.21,0.58,BK0850,concept,进口博览
2018-08-03,982.15,996.16,1001.92,978.93,3186552.0,3254567184.0,2.34,1.26,12.37,0.71,BK0850,concept,进口博览
2018-08-06,982.36,952.55,982.36,950.22,2199709.0,2250205328.0,3.23,-4.38,-43.61,0.49,BK0850,concept,进口博览
2018-08-07,953.57,972.48,972.48,948.94,2207863.0,2138395568.0,2.47,2.09,19.93,0.49,BK0850,concept,进口博览
2018-08-08,969.76,948.48,978.42,948.34,2528068.0,2598078704.0,3.09,-2.47,-24.0,0.56,BK0850,concept,进口博览
2018-08-09,939.7,962.82,968.34,934.87,2153392.0,2064357792.0,3.53,1.51,14.34,0.48,BK0850,concept,进口博览
2018-08-10,962.28,968.09,971.89,960.5,1593786.0,1589842688.0,1.18,0.55,5.27,0.35,BK0850,concept,进口博览
2018-08-13,955.32,970.12,970.26,951.47,1406126.0,1364762896.0,1.94,0.21,2.03,0.31,BK0850,concept,进口博览
2018-08-14,968.98,973.39,974.65,966.24,1445514.0,1388690176.0,0.87,0.34,3.27,0.32,BK0850,concept,进口博览
2018-08-15,972.37,955.78,973.4,954.89,1530835.0,1450134272.0,1.9,-1.81,-17.61,0.34,BK0850,concept,进口博览
2018-08-16,945.32,941.35,956.06,934.38,1723348.0,1645555632.0,2.27,-1.51,-14.43,0.38,BK0850,concept,进口博览
2018-08-17,948.85,914.44,953.67,912.65,1478051.0,1357896848.0,4.36,-2.86,-26.91,0.33,BK0850,concept,进口博览
2018-08-20,915.08,916.45,921.2,896.51,1377356.0,1259076288.0,2.7,0.22,2.01,0.31,BK0850,concept,进口博览
2018-08-21,916.49,928.1,930.33,914.03,1706263.0,1447968352.0,1.78,1.27,11.65,0.38,BK0850,concept,进口博览
