日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-06-22,1004.7,958.92,1004.7,955.15,6990365.0,5279070464.0,4.96,-4.11,-41.08,4.17,BK0933,concept,退税商店
2020-06-23,953.25,944.02,955.34,933.49,4306197.0,3199185648.0,2.28,-1.55,-14.9,2.57,BK0933,concept,退税商店
2020-06-24,943.02,922.14,943.25,922.07,2825316.0,2051362032.0,2.24,-2.32,-21.88,1.69,BK0933,concept,退税商店
2020-06-29,917.83,905.83,918.99,900.85,2615621.0,1736425280.0,1.97,-1.77,-16.31,1.56,BK0933,concept,退税商店
2020-06-30,914.21,922.91,926.71,914.09,2609368.0,2165858400.0,1.39,1.89,17.08,1.56,BK0933,concept,退税商店
2020-07-01,920.94,924.43,937.34,917.93,2998209.0,2538644688.0,2.1,0.16,1.52,1.79,BK0933,concept,退税商店
2020-07-02,925.66,947.3,952.19,921.19,3361343.0,2852217120.0,3.35,2.47,22.87,2.01,BK0933,concept,退税商店
2020-07-03,953.48,972.11,976.74,946.04,3225708.0,2700400784.0,3.24,2.62,24.81,1.93,BK0933,concept,退税商店
2020-07-06,986.39,1015.51,1019.09,984.41,3320214.0,2039101968.0,3.57,4.46,43.4,1.98,BK0933,concept,退税商店
2020-07-07,1058.69,1089.55,1091.5,1057.03,4556452.0,3018767632.0,3.39,7.29,74.04,2.72,BK0933,concept,退税商店
2020-07-08,1126.79,1138.1,1141.67,1094.28,6523908.0,4513295616.0,4.35,4.46,48.55,3.89,BK0933,concept,退税商店
2020-07-09,1163.43,1224.16,1230.96,1161.78,4365511.0,3447154832.0,6.08,7.56,86.06,2.61,BK0933,concept,退税商店
2020-07-10,1242.46,1259.74,1287.49,1223.68,8016715.0,8964953856.0,5.21,2.91,35.58,4.79,BK0933,concept,退税商店
2020-07-13,1253.33,1263.54,1264.41,1211.42,7374852.0,8874496256.0,4.21,0.3,3.8,4.4,BK0933,concept,退税商店
2020-07-14,1248.37,1192.88,1249.42,1179.9,6823600.0,7379700992.0,5.5,-5.59,-70.66,4.07,BK0933,concept,退税商店
