日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-01-20,1000.6,969.52,1012.97,968.32,1090355.0,2251440912.0,4.47,-3.05,-30.48,1.48,BK1063,concept,重组蛋白
2022-01-21,961.22,927.71,963.01,925.52,881218.0,1744486320.0,3.87,-4.31,-41.81,1.2,BK1063,concept,重组蛋白
2022-01-24,918.77,913.6,926.57,912.69,550149.0,1012099120.0,1.5,-1.52,-14.11,0.75,BK1063,concept,重组蛋白
2022-01-25,911.95,864.16,917.46,864.16,744024.0,1482088528.0,5.83,-5.41,-49.44,1.01,BK1063,concept,重组蛋白
2022-01-26,865.04,860.31,875.66,855.12,585545.0,1110662672.0,2.38,-0.45,-3.85,0.8,BK1063,concept,重组蛋白
2022-01-27,862.14,848.65,864.01,845.28,587195.0,1077119264.0,2.18,-1.36,-11.66,0.8,BK1063,concept,重组蛋白
2022-01-28,850.26,846.85,862.91,845.34,523446.0,998843840.0,2.07,-0.21,-1.8,0.71,BK1063,concept,重组蛋白
2022-02-07,855.59,856.08,860.2,848.25,431907.0,786403440.0,1.41,1.09,9.23,0.59,BK1063,concept,重组蛋白
2022-02-08,856.6,860.39,862.38,844.24,373263.0,720467568.0,2.12,0.5,4.31,0.51,BK1063,concept,重组蛋白
2022-02-09,858.7,872.92,873.47,853.41,468568.0,861068880.0,2.33,1.46,12.53,0.64,BK1063,concept,重组蛋白
2022-02-10,871.1,860.59,874.66,858.86,392460.0,780367360.0,1.81,-1.41,-12.33,0.53,BK1063,concept,重组蛋白
2022-02-11,859.28,831.89,859.28,830.39,504896.0,930609328.0,3.36,-3.33,-28.7,0.69,BK1063,concept,重组蛋白
2022-02-14,827.01,837.43,847.73,826.87,443447.0,793340544.0,2.51,0.67,5.54,0.6,BK1063,concept,重组蛋白
2022-02-15,839.69,855.37,859.11,834.81,472537.0,880831872.0,2.9,2.14,17.94,0.64,BK1063,concept,重组蛋白
2022-02-16,853.97,856.18,864.71,850.62,351213.0,685856752.0,1.65,0.09,0.81,0.48,BK1063,concept,重组蛋白
2022-02-17,858.38,856.52,864.25,854.56,337634.0,756027488.0,1.13,0.04,0.34,0.46,BK1063,concept,重组蛋白
2022-02-18,851.99,864.88,866.56,850.46,385659.0,797137856.0,1.88,0.98,8.36,0.52,BK1063,concept,重组蛋白
2022-02-21,865.91,880.51,881.42,864.67,470553.0,949052672.0,1.94,1.81,15.63,0.64,BK1063,concept,重组蛋白
2022-02-22,872.09,861.05,872.09,855.98,407864.0,824790560.0,1.83,-2.21,-19.46,0.55,BK1063,concept,重组蛋白
2022-02-23,862.03,882.78,886.32,862.03,503895.0,994483136.0,2.82,2.52,21.73,0.69,BK1063,concept,重组蛋白
2022-02-24,879.7,879.95,907.84,865.31,784473.0,1581438480.0,4.82,-0.32,-2.83,1.07,BK1063,concept,重组蛋白
2022-02-25,885.48,899.23,905.76,885.48,595838.0,1314128640.0,2.3,2.19,19.28,0.81,BK1063,concept,重组蛋白
2022-02-28,902.12,898.12,911.19,888.36,445034.0,1383113568.0,2.54,-0.12,-1.11,0.61,BK1063,concept,重组蛋白
2022-03-01,898.01,895.31,901.93,889.15,327757.0,874791904.0,1.42,-0.31,-2.81,0.45,BK1063,concept,重组蛋白
2022-03-02,891.87,891.37,896.9,880.35,336676.0,859530640.0,1.85,-0.44,-3.94,0.46,BK1063,concept,重组蛋白
2022-03-03,892.51,902.79,917.25,892.51,570508.0,1314966464.0,2.78,1.28,11.42,0.78,BK1063,concept,重组蛋白
2022-03-04,897.47,899.95,919.94,893.41,546882.0,1220468144.0,2.94,-0.31,-2.84,0.74,BK1063,concept,重组蛋白
2022-03-07,897.77,887.88,901.79,881.93,537730.0,1120928768.0,2.21,-1.34,-12.07,0.73,BK1063,concept,重组蛋白
2022-03-08,887.55,841.36,887.55,839.36,495662.0,1105244576.0,5.43,-5.24,-46.52,0.67,BK1063,concept,重组蛋白
2022-03-09,842.7,819.58,848.64,797.18,432171.0,969403904.0,6.12,-2.59,-21.78,0.59,BK1063,concept,重组蛋白
2022-03-10,835.73,851.85,852.24,835.73,478566.0,996500288.0,2.01,3.94,32.27,0.65,BK1063,concept,重组蛋白
2022-03-11,846.28,901.61,906.01,842.39,898171.0,2344406240.0,7.47,5.84,49.76,1.22,BK1063,concept,重组蛋白
2022-03-14,917.57,903.76,937.11,900.32,926264.0,2854559920.0,4.08,0.24,2.15,1.26,BK1063,concept,重组蛋白
2022-03-15,883.99,872.63,911.5,872.12,823225.0,2096823824.0,4.36,-3.44,-31.13,1.12,BK1063,concept,重组蛋白
2022-03-16,878.99,854.79,887.68,817.93,759165.0,1988530048.0,7.99,-2.04,-17.84,1.03,BK1063,concept,重组蛋白
2022-03-17,852.54,874.96,896.35,852.46,794654.0,1921595712.0,5.13,2.36,20.17,1.08,BK1063,concept,重组蛋白
2022-03-18,869.63,884.06,889.13,869.48,666855.0,1473805296.0,2.25,1.04,9.1,0.91,BK1063,concept,重组蛋白
2022-03-21,889.61,910.26,910.61,887.26,637821.0,1644353280.0,2.64,2.96,26.2,0.87,BK1063,concept,重组蛋白
2022-03-22,910.8,901.73,916.27,899.51,584144.0,1396367040.0,1.84,-0.94,-8.53,0.79,BK1063,concept,重组蛋白
2022-03-23,899.04,903.42,918.38,893.87,446515.0,1110157968.0,2.72,0.19,1.69,0.61,BK1063,concept,重组蛋白
2022-03-24,897.84,928.79,935.28,893.07,585596.0,1873073280.0,4.67,2.81,25.37,0.8,BK1063,concept,重组蛋白
2022-03-25,919.85,898.14,927.48,898.14,457442.0,1288822384.0,3.16,-3.3,-30.65,0.62,BK1063,concept,重组蛋白
2022-03-28,895.43,882.6,905.57,875.99,355034.0,1003253056.0,3.29,-1.73,-15.54,0.48,BK1063,concept,重组蛋白
2022-03-29,882.21,888.97,902.55,877.99,440197.0,1135662592.0,2.78,0.72,6.37,0.6,BK1063,concept,重组蛋白
2022-03-30,886.95,893.98,896.34,872.92,369100.0,938592368.0,2.63,0.56,5.01,0.5,BK1063,concept,重组蛋白
