日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-11-10,1006.86,1014.27,1018.31,1002.06,1460511.0,1642046512.0,1.63,1.43,14.27,0.18,BK0710,concept,量子科技
2014-11-11,1018.53,972.76,1020.76,961.91,2222987.0,2487829472.0,5.8,-4.09,-41.51,0.27,BK0710,concept,量子科技
2014-11-12,971.11,985.83,986.09,965.3,1076842.0,1173496256.0,2.14,1.34,13.07,0.13,BK0710,concept,量子科技
2014-11-13,983.36,973.73,987.43,968.07,1570564.0,1798327536.0,1.96,-1.23,-12.1,0.19,BK0710,concept,量子科技
2014-11-14,971.96,971.54,973.17,963.6,943039.0,1033374320.0,0.98,-0.22,-2.19,0.12,BK0710,concept,量子科技
2014-11-17,975.08,982.75,990.54,970.02,1243453.0,1370210400.0,2.11,1.15,11.21,0.15,BK0710,concept,量子科技
2014-11-18,979.32,985.62,987.72,978.04,1031329.0,1178965264.0,0.98,0.29,2.87,0.13,BK0710,concept,量子科技
2014-11-19,987.85,1002.77,1007.59,987.79,2121753.0,2475460880.0,2.01,1.74,17.15,0.26,BK0710,concept,量子科技
2014-11-20,996.81,1005.85,1005.95,994.89,1432935.0,1711118128.0,1.1,0.31,3.08,0.18,BK0710,concept,量子科技
2014-11-21,1007.58,1014.72,1019.38,1005.11,1754322.0,1985675760.0,1.42,0.88,8.87,0.22,BK0710,concept,量子科技
2014-11-24,1024.93,1037.25,1039.01,1019.12,2345305.0,2665675360.0,1.96,2.22,22.53,0.29,BK0710,concept,量子科技
2014-11-25,1034.64,1045.67,1050.37,1033.37,2026191.0,2344825488.0,1.64,0.81,8.42,0.25,BK0710,concept,量子科技
2014-11-26,1051.23,1054.89,1068.84,1044.4,2322476.0,2797838096.0,2.34,0.88,9.22,0.29,BK0710,concept,量子科技
2014-11-27,1059.14,1066.12,1068.02,1050.97,2183228.0,2559700080.0,1.62,1.06,11.23,0.27,BK0710,concept,量子科技
2014-11-28,1064.41,1053.29,1067.17,1042.95,2060087.0,2391291264.0,2.27,-1.2,-12.83,0.25,BK0710,concept,量子科技
2014-12-01,1060.88,1048.85,1062.94,1039.33,1979251.0,2281330272.0,2.24,-0.42,-4.44,0.24,BK0710,concept,量子科技
2014-12-02,1045.45,1061.44,1064.74,1043.54,1857260.0,2207618336.0,2.02,1.2,12.59,0.23,BK0710,concept,量子科技
2014-12-03,1063.48,1078.2,1078.2,1054.74,2561179.0,2906809536.0,2.21,1.58,16.76,0.32,BK0710,concept,量子科技
2014-12-04,1081.41,1100.6,1101.01,1077.6,2677803.0,3150261120.0,2.17,2.08,22.4,0.33,BK0710,concept,量子科技
2014-12-05,1103.33,1080.81,1113.46,1050.49,3354144.0,4261932400.0,5.72,-1.8,-19.79,0.41,BK0710,concept,量子科技
2014-12-08,1076.27,1096.83,1102.7,1069.3,2514464.0,3226462016.0,3.09,1.48,16.02,0.31,BK0710,concept,量子科技
2014-12-09,1093.78,1069.63,1124.4,1065.27,3653203.0,4471448832.0,5.39,-2.48,-27.2,0.45,BK0710,concept,量子科技
2014-12-10,1081.15,1114.86,1116.85,1073.27,2870534.0,3354477152.0,4.07,4.23,45.23,0.35,BK0710,concept,量子科技
2014-12-11,1110.97,1124.1,1126.2,1103.27,2282701.0,2814470656.0,2.06,0.83,9.24,0.28,BK0710,concept,量子科技
2014-12-12,1124.25,1144.1,1146.18,1120.58,2440311.0,2980799392.0,2.28,1.78,20.0,0.3,BK0710,concept,量子科技
2014-12-15,1139.37,1158.72,1165.26,1134.56,2201729.0,2806326304.0,2.68,1.28,14.62,0.27,BK0710,concept,量子科技
2014-12-16,1158.99,1171.92,1172.83,1153.85,2112262.0,2700171936.0,1.64,1.14,13.2,0.26,BK0710,concept,量子科技
2014-12-17,1169.76,1149.35,1169.77,1128.76,2351805.0,2958892544.0,3.5,-1.93,-22.57,0.29,BK0710,concept,量子科技
2014-12-18,1144.5,1141.64,1154.86,1140.98,1615595.0,2002426224.0,1.21,-0.67,-7.71,0.2,BK0710,concept,量子科技
2014-12-19,1137.4,1130.91,1142.99,1107.17,1813101.0,2204524256.0,3.14,-0.94,-10.73,0.22,BK0710,concept,量子科技
2014-12-22,1132.12,1078.53,1135.55,1068.16,2295047.0,2746412880.0,5.96,-4.63,-52.38,0.28,BK0710,concept,量子科技
2014-12-23,1073.39,1061.42,1086.26,1059.89,1422002.0,1688045120.0,2.44,-1.59,-17.11,0.18,BK0710,concept,量子科技
2014-12-24,1064.61,1073.66,1075.38,1060.3,1258363.0,1444667072.0,1.42,1.15,12.24,0.15,BK0710,concept,量子科技
2014-12-25,1078.43,1092.12,1094.07,1072.82,1399553.0,1598217152.0,1.98,1.72,18.46,0.17,BK0710,concept,量子科技
2014-12-26,1095.35,1105.73,1108.43,1090.92,1543776.0,1808805344.0,1.6,1.25,13.61,0.19,BK0710,concept,量子科技
2014-12-29,1119.87,1102.68,1122.5,1096.79,2607519.0,3031345344.0,2.33,-0.28,-3.05,0.32,BK0710,concept,量子科技
2014-12-30,1105.92,1076.62,1110.97,1071.4,2083712.0,2410525904.0,3.59,-2.36,-26.06,0.26,BK0710,concept,量子科技
2014-12-31,1076.62,1094.97,1095.17,1073.76,1598478.0,1941149024.0,1.99,1.7,18.35,0.2,BK0710,concept,量子科技
2015-01-05,1096.34,1109.6,1114.54,1081.86,1841057.0,2233042432.0,2.98,1.34,14.63,0.23,BK0710,concept,量子科技
2015-01-06,1103.94,1117.09,1117.3,1096.12,1506010.0,1837841920.0,1.91,0.68,7.49,0.19,BK0710,concept,量子科技
