日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2016-12-19,997.01,995.7,999.33,988.6,1214629.0,998380464.0,1.07,-0.43,-4.3,0.57,BK0805,concept,钛白粉
2016-12-20,995.01,990.38,995.62,981.18,1300846.0,1005633216.0,1.45,-0.53,-5.32,0.61,BK0805,concept,钛白粉
2016-12-21,992.29,997.54,1000.27,991.21,1210583.0,957226000.0,0.91,0.72,7.16,0.57,BK0805,concept,钛白粉
2016-12-22,996.89,987.0,996.89,984.5,978399.0,761953200.0,1.24,-1.06,-10.54,0.46,BK0805,concept,钛白粉
2016-12-23,985.35,975.71,987.94,973.41,1044124.0,791592816.0,1.47,-1.14,-11.29,0.49,BK0805,concept,钛白粉
2016-12-26,971.07,970.49,972.19,950.04,1098406.0,757975328.0,2.27,-0.53,-5.22,0.52,BK0805,concept,钛白粉
2016-12-27,969.78,974.61,981.13,967.88,1125200.0,958455792.0,1.37,0.42,4.12,0.53,BK0805,concept,钛白粉
2016-12-28,973.68,969.64,978.41,968.69,1104383.0,942915440.0,1.0,-0.51,-4.97,0.52,BK0805,concept,钛白粉
2016-12-29,954.36,962.56,970.83,943.63,1756100.0,1028684272.0,2.81,-0.73,-7.08,0.83,BK0805,concept,钛白粉
2016-12-30,957.73,947.37,958.65,945.72,1514938.0,800882528.0,1.34,-1.58,-15.19,0.71,BK0805,concept,钛白粉
2017-01-03,942.75,954.77,955.99,940.07,1212827.0,919016848.0,1.68,0.78,7.4,0.57,BK0805,concept,钛白粉
2017-01-04,955.59,970.65,973.56,953.14,1517105.0,1266999536.0,2.14,1.66,15.88,0.71,BK0805,concept,钛白粉
2017-01-05,971.26,968.31,977.38,965.73,1309390.0,1244127664.0,1.2,-0.24,-2.34,0.62,BK0805,concept,钛白粉
2017-01-06,967.89,973.25,974.87,966.14,1707463.0,1556291856.0,0.9,0.51,4.94,0.8,BK0805,concept,钛白粉
2017-01-09,969.52,977.57,978.04,965.77,1287853.0,1203780240.0,1.26,0.44,4.32,0.61,BK0805,concept,钛白粉
2017-01-10,974.85,986.32,992.95,973.54,1819690.0,1471188336.0,1.99,0.9,8.75,0.86,BK0805,concept,钛白粉
2017-01-11,981.24,977.74,992.29,975.51,1290903.0,974953136.0,1.7,-0.87,-8.58,0.61,BK0805,concept,钛白粉
2017-01-12,974.74,968.51,980.53,966.01,1218304.0,1039734368.0,1.49,-0.94,-9.23,0.57,BK0805,concept,钛白粉
2017-01-13,966.95,949.72,968.66,948.78,1073556.0,857774992.0,2.05,-1.94,-18.79,0.51,BK0805,concept,钛白粉
2017-01-16,947.47,915.25,950.08,890.18,1483968.0,1035208848.0,6.31,-3.63,-34.47,0.7,BK0805,concept,钛白粉
2017-01-17,915.08,926.18,926.56,906.26,846791.0,574936864.0,2.22,1.19,10.93,0.4,BK0805,concept,钛白粉
2017-01-18,922.38,920.58,929.19,917.69,594381.0,442203552.0,1.24,-0.6,-5.6,0.28,BK0805,concept,钛白粉
2017-01-19,915.93,917.43,927.36,912.85,620361.0,409449520.0,1.58,-0.34,-3.15,0.29,BK0805,concept,钛白粉
2017-01-20,917.47,930.38,931.75,914.44,641237.0,481388240.0,1.89,1.41,12.95,0.3,BK0805,concept,钛白粉
2017-01-23,921.43,927.72,931.44,915.8,1375446.0,687966032.0,1.68,-0.29,-2.66,0.65,BK0805,concept,钛白粉
2017-01-24,928.57,920.57,931.62,920.16,1064757.0,705332976.0,1.24,-0.77,-7.15,0.5,BK0805,concept,钛白粉
2017-01-25,919.49,921.43,926.92,916.54,912440.0,639282752.0,1.13,0.09,0.86,0.43,BK0805,concept,钛白粉
2017-01-26,921.3,928.71,928.82,921.3,688568.0,467590128.0,0.82,0.79,7.28,0.32,BK0805,concept,钛白粉
2017-02-03,925.78,926.04,929.85,921.35,639521.0,402903472.0,0.92,-0.29,-2.67,0.3,BK0805,concept,钛白粉
2017-02-06,928.54,936.23,936.63,927.07,857846.0,676960320.0,1.03,1.1,10.19,0.4,BK0805,concept,钛白粉
2017-02-07,933.77,935.64,936.65,929.52,806413.0,632821200.0,0.76,-0.06,-0.59,0.38,BK0805,concept,钛白粉
2017-02-08,932.1,938.6,938.92,927.73,973250.0,684097888.0,1.2,0.32,2.96,0.46,BK0805,concept,钛白粉
2017-02-09,942.43,945.99,950.15,940.03,1536243.0,1176089360.0,1.08,0.79,7.39,0.72,BK0805,concept,钛白粉
2017-02-10,944.94,973.61,975.28,940.76,2168024.0,1071162400.0,3.65,2.92,27.62,1.02,BK0805,concept,钛白粉
2017-02-13,973.34,975.37,989.79,962.74,1989848.0,1172620176.0,2.78,0.18,1.76,0.94,BK0805,concept,钛白粉
2017-02-14,974.77,976.01,984.84,971.69,1175149.0,766069456.0,1.35,0.07,0.64,0.55,BK0805,concept,钛白粉
2017-02-15,973.66,964.54,977.6,962.24,1181243.0,755654048.0,1.57,-1.18,-11.47,0.56,BK0805,concept,钛白粉
2017-02-16,961.92,974.4,978.05,959.33,1168222.0,789322912.0,1.94,1.02,9.86,0.55,BK0805,concept,钛白粉
2017-02-17,975.33,963.86,978.14,963.59,1169368.0,796713424.0,1.49,-1.08,-10.54,0.55,BK0805,concept,钛白粉
2017-02-20,962.99,972.38,975.54,960.55,940723.0,659031296.0,1.56,0.88,8.52,0.44,BK0805,concept,钛白粉
2017-02-21,973.64,984.95,990.02,970.86,2232819.0,1707994064.0,1.97,1.29,12.57,1.05,BK0805,concept,钛白粉
2017-02-22,987.21,999.77,1010.05,977.82,2302797.0,1590609024.0,3.27,1.5,14.82,1.08,BK0805,concept,钛白粉
2017-02-23,993.42,1002.8,1009.99,989.56,3085672.0,2384292752.0,2.04,0.3,3.03,1.45,BK0805,concept,钛白粉
2017-02-24,1001.85,1002.35,1009.53,998.84,1812394.0,1417507904.0,1.07,-0.04,-0.45,0.85,BK0805,concept,钛白粉
2017-02-27,1002.13,995.01,1007.3,993.9,1423714.0,1114422176.0,1.34,-0.73,-7.34,0.67,BK0805,concept,钛白粉
2017-02-28,997.43,999.0,1001.28,988.74,1364577.0,1110664064.0,1.26,0.4,3.99,0.64,BK0805,concept,钛白粉
2017-03-01,999.25,1037.05,1043.21,999.25,4906071.0,4298736896.0,4.4,3.81,38.05,2.31,BK0805,concept,钛白粉
2017-03-02,1044.56,1065.89,1082.03,1044.56,6638567.0,4779594240.0,3.61,2.78,28.84,3.12,BK0805,concept,钛白粉
2017-03-03,1054.15,1058.51,1086.31,1051.54,5713676.0,4360771328.0,3.26,-0.69,-7.38,2.69,BK0805,concept,钛白粉
2017-03-06,1052.92,1062.36,1062.51,1043.61,3613431.0,2700440256.0,1.79,0.36,3.85,1.7,BK0805,concept,钛白粉
2017-03-07,1061.34,1049.38,1065.36,1046.31,2815117.0,2279524912.0,1.79,-1.22,-12.98,1.32,BK0805,concept,钛白粉
2017-03-08,1044.7,1037.2,1044.84,1031.0,2130174.0,1714829408.0,1.32,-1.16,-12.18,1.0,BK0805,concept,钛白粉
2017-03-09,1035.37,1032.97,1039.71,1023.86,2370056.0,1847395392.0,1.53,-0.41,-4.23,1.12,BK0805,concept,钛白粉
2017-03-10,1031.63,1029.85,1037.74,1027.1,1601400.0,1260408912.0,1.03,-0.3,-3.12,0.75,BK0805,concept,钛白粉
2017-03-13,1028.5,1036.85,1036.85,1020.27,1561528.0,1220826128.0,1.61,0.68,7.0,0.73,BK0805,concept,钛白粉
2017-03-14,1035.66,1030.95,1043.83,1028.23,1457696.0,1197377888.0,1.5,-0.57,-5.9,0.69,BK0805,concept,钛白粉
2017-03-15,1035.54,1035.12,1043.34,1030.04,1595175.0,1189392368.0,1.29,0.4,4.17,0.75,BK0805,concept,钛白粉
2017-03-16,1038.48,1048.67,1056.12,1038.28,2507586.0,2010301984.0,1.72,1.31,13.55,1.18,BK0805,concept,钛白粉
2017-03-17,1045.61,1043.53,1064.31,1041.03,2288290.0,1513334304.0,2.22,-0.49,-5.14,1.08,BK0805,concept,钛白粉
2017-03-20,1040.15,1050.79,1055.69,1038.79,1643128.0,1097665120.0,1.62,0.7,7.26,0.77,BK0805,concept,钛白粉
2017-03-21,1050.79,1045.89,1050.79,1042.33,1263117.0,886251856.0,0.81,-0.47,-4.9,0.59,BK0805,concept,钛白粉
2017-03-22,1044.82,1040.46,1047.21,1035.6,1967463.0,1625438112.0,1.11,-0.52,-5.43,0.93,BK0805,concept,钛白粉
2017-03-23,1038.99,1041.32,1052.91,1034.49,2276132.0,1845909744.0,1.77,0.08,0.86,1.07,BK0805,concept,钛白粉
2017-03-24,1039.35,1043.37,1046.51,1034.27,1563347.0,1301095232.0,1.18,0.2,2.05,0.74,BK0805,concept,钛白粉
2017-03-27,1049.01,1035.34,1054.0,1034.88,1970263.0,1703519600.0,1.83,-0.77,-8.03,0.93,BK0805,concept,钛白粉
2017-03-28,1032.91,1027.1,1037.94,1024.4,1658236.0,1445493824.0,1.31,-0.8,-8.24,0.78,BK0805,concept,钛白粉
