日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-05-25,1011.23,1003.5,1020.07,997.55,5718498.0,13224806144.0,2.25,0.35,3.5,0.78,BK0988,concept,钠离子电池
2021-05-26,996.93,995.12,1003.13,989.07,8926970.0,15457074688.0,1.4,-0.84,-8.38,1.21,BK0988,concept,钠离子电池
2021-05-27,993.98,1010.35,1017.69,993.98,5998760.0,10497989888.0,2.38,1.53,15.23,0.82,BK0988,concept,钠离子电池
2021-05-28,1028.95,1077.37,1096.19,1028.49,10939715.0,25521780736.0,6.7,6.63,67.02,1.49,BK0988,concept,钠离子电池
2021-05-31,1085.31,1138.27,1138.27,1085.31,9121641.0,21563553536.0,4.92,5.65,60.9,1.24,BK0988,concept,钠离子电池
2021-06-01,1120.69,1132.33,1136.51,1108.7,7365305.0,16551047168.0,2.44,-0.52,-5.94,1.0,BK0988,concept,钠离子电池
2021-06-02,1135.37,1125.74,1139.59,1117.06,5841928.0,12821404160.0,1.99,-0.58,-6.59,0.79,BK0988,concept,钠离子电池
2021-06-03,1125.51,1114.74,1139.59,1113.49,5311680.0,12763126272.0,2.32,-0.98,-11.0,0.72,BK0988,concept,钠离子电池
2021-06-04,1106.65,1155.43,1168.37,1104.69,6625952.0,17710379008.0,5.71,3.65,40.69,0.9,BK0988,concept,钠离子电池
2021-06-07,1150.62,1139.64,1152.96,1122.45,9974807.0,22197745664.0,2.64,-1.37,-15.79,1.36,BK0988,concept,钠离子电池
2021-06-08,1141.03,1151.66,1173.43,1134.75,7232814.0,16341376000.0,3.39,1.05,12.02,0.98,BK0988,concept,钠离子电池
2021-06-09,1146.6,1151.57,1155.26,1135.5,6841827.0,11841101568.0,1.72,-0.01,-0.09,0.93,BK0988,concept,钠离子电池
2021-06-10,1147.91,1156.11,1163.84,1144.59,6782120.0,17718050560.0,1.67,0.39,4.54,0.92,BK0988,concept,钠离子电池
2021-06-11,1151.84,1149.67,1160.47,1139.94,6155005.0,17297259008.0,1.78,-0.56,-6.44,0.84,BK0988,concept,钠离子电池
2021-06-15,1154.43,1163.3,1168.78,1140.17,6747278.0,12583492352.0,2.49,1.19,13.63,0.92,BK0988,concept,钠离子电池
2021-06-16,1161.21,1117.93,1163.25,1116.17,5868452.0,14315892480.0,4.05,-3.9,-45.37,0.8,BK0988,concept,钠离子电池
2021-06-17,1125.89,1131.36,1135.61,1121.98,4780895.0,10904428544.0,1.22,1.2,13.43,0.65,BK0988,concept,钠离子电池
2021-06-18,1135.08,1172.4,1178.12,1132.8,6458731.0,15149213184.0,4.01,3.63,41.04,0.88,BK0988,concept,钠离子电池
2021-06-21,1167.82,1180.42,1190.85,1162.16,5720084.0,13120302592.0,2.45,0.68,8.02,0.78,BK0988,concept,钠离子电池
2021-06-22,1185.52,1175.4,1186.45,1169.08,4739726.0,10829239808.0,1.47,-0.43,-5.02,0.64,BK0988,concept,钠离子电池
2021-06-23,1176.97,1205.26,1209.87,1174.86,7312679.0,15676514304.0,2.98,2.54,29.86,0.99,BK0988,concept,钠离子电池
2021-06-24,1201.69,1185.47,1201.9,1177.88,5167327.0,11288614144.0,1.99,-1.64,-19.79,0.7,BK0988,concept,钠离子电池
2021-06-25,1183.85,1195.21,1198.13,1169.98,4926178.0,11159275776.0,2.37,0.82,9.74,0.67,BK0988,concept,钠离子电池
2021-06-28,1186.03,1200.78,1212.4,1181.54,5702316.0,14687825408.0,2.58,0.47,5.57,0.78,BK0988,concept,钠离子电池
2021-06-29,1211.57,1208.47,1218.47,1201.86,5127878.0,14624500992.0,1.38,0.64,7.69,0.7,BK0988,concept,钠离子电池
2021-06-30,1209.1,1215.24,1217.37,1193.96,4685182.0,14178326016.0,1.94,0.56,6.77,0.64,BK0988,concept,钠离子电池
2021-07-01,1211.44,1173.21,1214.75,1172.99,4806578.0,12115496704.0,3.44,-3.46,-42.03,0.65,BK0988,concept,钠离子电池
2021-07-02,1165.1,1188.27,1200.5,1161.32,5037859.0,13744796672.0,3.34,1.28,15.06,0.68,BK0988,concept,钠离子电池
2021-07-05,1192.38,1225.93,1230.96,1192.31,6568903.0,15544592896.0,3.25,3.17,37.66,0.89,BK0988,concept,钠离子电池
2021-07-06,1236.01,1219.9,1242.85,1197.26,6546684.0,17942004480.0,3.72,-0.49,-6.03,0.89,BK0988,concept,钠离子电池
2021-07-07,1216.76,1270.34,1275.08,1214.13,8833666.0,21311765504.0,5.0,4.13,50.44,1.2,BK0988,concept,钠离子电池
2021-07-08,1287.36,1307.52,1323.66,1286.59,9959811.0,23998388480.0,2.92,2.93,37.18,1.35,BK0988,concept,钠离子电池
2021-07-09,1302.57,1340.21,1342.28,1290.14,10998047.0,24321331200.0,3.99,2.5,32.69,1.5,BK0988,concept,钠离子电池
2021-07-12,1349.88,1388.66,1411.2,1348.53,13828659.0,28464585728.0,4.68,3.62,48.45,1.88,BK0988,concept,钠离子电池
2021-07-13,1383.24,1424.72,1424.72,1382.55,11961246.0,25005367808.0,3.04,2.6,36.06,1.63,BK0988,concept,钠离子电池
2021-07-14,1416.28,1381.61,1416.28,1374.39,11613879.0,23674653184.0,2.94,-3.03,-43.11,1.58,BK0988,concept,钠离子电池
2021-07-15,1366.73,1387.27,1387.27,1344.39,8280329.0,19559715072.0,3.1,0.41,5.66,1.13,BK0988,concept,钠离子电池
2021-07-16,1392.75,1418.6,1447.36,1387.85,10338480.0,24428532992.0,4.29,2.26,31.33,1.41,BK0988,concept,钠离子电池
2021-07-19,1426.27,1402.69,1456.16,1396.8,9747638.0,23260660736.0,4.18,-1.12,-15.91,1.33,BK0988,concept,钠离子电池
2021-07-20,1373.91,1441.26,1441.82,1373.91,7571874.0,17013615104.0,4.84,2.75,38.57,1.03,BK0988,concept,钠离子电池
2021-07-21,1442.36,1475.22,1480.83,1442.36,10444224.0,25648313088.0,2.67,2.36,33.96,1.42,BK0988,concept,钠离子电池
2021-07-22,1478.89,1495.56,1501.0,1457.89,9782276.0,21861341696.0,2.92,1.38,20.34,1.33,BK0988,concept,钠离子电池
2021-07-23,1497.19,1507.61,1538.4,1494.78,14456741.0,26738641664.0,2.92,0.81,12.05,1.97,BK0988,concept,钠离子电池
2021-07-26,1523.36,1547.8,1562.12,1494.66,13010651.0,26913981952.0,4.47,2.67,40.19,1.77,BK0988,concept,钠离子电池
2021-07-27,1555.38,1461.11,1564.85,1460.8,14832562.0,31073420032.0,6.72,-5.6,-86.69,2.02,BK0988,concept,钠离子电池
2021-07-28,1441.58,1519.02,1534.51,1416.88,12462801.0,29129849856.0,8.05,3.96,57.91,1.69,BK0988,concept,钠离子电池
2021-07-29,1573.26,1606.96,1612.65,1541.43,13354675.0,30769841920.0,4.69,5.79,87.94,1.82,BK0988,concept,钠离子电池
2021-07-30,1631.0,1601.96,1659.95,1588.21,12897594.0,31995227904.0,4.46,-0.31,-5.0,1.75,BK0988,concept,钠离子电池
2021-08-02,1606.77,1636.77,1648.71,1599.31,12274660.0,29774352128.0,3.08,2.17,34.81,1.67,BK0988,concept,钠离子电池
2021-08-03,1628.63,1548.52,1629.3,1540.98,11744127.0,24607443968.0,5.4,-5.39,-88.25,1.6,BK0988,concept,钠离子电池
2021-08-04,1543.53,1637.36,1641.89,1543.53,9763338.0,26173869568.0,6.35,5.74,88.84,1.33,BK0988,concept,钠离子电池
2021-08-05,1642.77,1639.66,1648.46,1601.36,8788775.0,22267960064.0,2.88,0.14,2.3,1.19,BK0988,concept,钠离子电池
2021-08-06,1647.57,1639.04,1674.46,1628.68,10852605.0,25033006336.0,2.79,-0.04,-0.62,1.48,BK0988,concept,钠离子电池
2021-08-09,1630.6,1638.35,1640.8,1582.0,9341244.0,24508268544.0,3.59,-0.04,-0.69,1.27,BK0988,concept,钠离子电池
2021-08-10,1642.01,1677.24,1707.12,1638.03,11245350.0,28649721600.0,4.22,2.37,38.89,1.53,BK0988,concept,钠离子电池
2021-08-11,1684.41,1771.47,1778.88,1661.85,11669936.0,26308377088.0,6.98,5.62,94.23,1.59,BK0988,concept,钠离子电池
2021-08-12,1775.32,1801.93,1822.49,1759.01,11656855.0,31737784064.0,3.58,1.72,30.46,1.58,BK0988,concept,钠离子电池
2021-08-13,1777.08,1803.41,1854.85,1776.88,12524841.0,38014811648.0,4.33,0.08,1.48,1.7,BK0988,concept,钠离子电池
2021-08-16,1792.37,1752.59,1801.25,1737.19,10732994.0,31556971776.0,3.55,-2.82,-50.82,1.46,BK0988,concept,钠离子电池
2021-08-17,1736.34,1693.47,1765.41,1684.61,8981952.0,24410534656.0,4.61,-3.37,-59.12,1.22,BK0988,concept,钠离子电池
2021-08-18,1703.92,1676.06,1722.52,1658.97,7337709.0,22571487744.0,3.75,-1.03,-17.41,1.0,BK0988,concept,钠离子电池
2021-08-19,1665.59,1706.12,1725.72,1643.71,7143713.0,22158056704.0,4.89,1.79,30.06,0.97,BK0988,concept,钠离子电池
2021-08-20,1698.49,1677.33,1698.49,1647.87,7273263.0,20385451520.0,2.97,-1.69,-28.79,0.99,BK0988,concept,钠离子电池
2021-08-23,1681.36,1723.72,1723.72,1663.0,7753932.0,23659004672.0,3.62,2.77,46.39,1.05,BK0988,concept,钠离子电池
2021-08-24,1734.11,1774.94,1784.26,1717.61,10099695.0,25245071872.0,3.87,2.97,51.22,1.37,BK0988,concept,钠离子电池
2021-08-25,1763.61,1781.28,1784.25,1747.72,8022856.0,22195417088.0,2.06,0.36,6.34,1.09,BK0988,concept,钠离子电池
2021-08-26,1864.09,1815.62,1890.44,1814.45,8404868.0,27372605184.0,4.27,1.93,34.34,1.14,BK0988,concept,钠离子电池
2021-08-27,1805.96,1811.07,1818.84,1778.6,14099904.0,30086226432.0,2.22,-0.25,-4.55,1.92,BK0988,concept,钠离子电池
2021-08-30,1790.94,1821.97,1837.61,1786.36,14120609.0,33809339136.0,2.83,0.6,10.9,1.92,BK0988,concept,钠离子电池
2021-08-31,1810.58,1822.87,1830.34,1772.99,10191917.0,25825765632.0,3.15,0.05,0.9,1.39,BK0988,concept,钠离子电池
2021-09-01,1809.87,1733.03,1817.93,1714.01,10408116.0,26501085952.0,5.7,-4.93,-89.84,1.41,BK0988,concept,钠离子电池
2021-09-02,1707.09,1749.11,1764.64,1707.09,7760009.0,20464867840.0,3.32,0.93,16.08,1.05,BK0988,concept,钠离子电池
2021-09-03,1741.75,1697.27,1764.36,1680.49,7543969.0,20312644096.0,4.8,-2.96,-51.84,1.03,BK0988,concept,钠离子电池
2021-09-06,1704.65,1733.4,1733.41,1666.2,6733263.0,20865694464.0,3.96,2.13,36.13,0.92,BK0988,concept,钠离子电池
2021-09-07,1729.72,1781.69,1786.61,1714.79,7684524.0,20907739392.0,4.14,2.79,48.29,1.04,BK0988,concept,钠离子电池
2021-09-08,1781.16,1750.03,1788.22,1746.0,7163770.0,19212236288.0,2.37,-1.78,-31.66,0.97,BK0988,concept,钠离子电池
2021-09-09,1751.53,1759.79,1779.31,1738.72,6825429.0,19642528256.0,2.32,0.56,9.76,0.93,BK0988,concept,钠离子电池
2021-09-10,1754.25,1758.01,1763.0,1726.95,8696855.0,21524589312.0,2.05,-0.1,-1.78,1.18,BK0988,concept,钠离子电池
2021-09-13,1766.81,1750.21,1766.94,1727.6,7525170.0,19370447616.0,2.24,-0.44,-7.8,1.02,BK0988,concept,钠离子电池
2021-09-14,1742.49,1827.32,1832.25,1722.47,9838503.0,33092147968.0,6.27,4.41,77.11,1.34,BK0988,concept,钠离子电池
2021-09-15,1825.48,1848.72,1851.43,1805.14,9311583.0,24101667584.0,2.53,1.17,21.4,1.27,BK0988,concept,钠离子电池
2021-09-16,1840.7,1732.12,1840.7,1730.95,9966540.0,24951585280.0,5.94,-6.31,-116.6,1.35,BK0988,concept,钠离子电池
2021-09-17,1716.18,1721.41,1749.69,1675.87,7537103.0,19616461568.0,4.26,-0.62,-10.71,1.02,BK0988,concept,钠离子电池
2021-09-22,1690.01,1723.4,1731.21,1685.88,4928367.0,13701441280.0,2.63,0.12,1.99,0.67,BK0988,concept,钠离子电池
2021-09-23,1739.16,1704.7,1743.09,1700.0,6394728.0,17725794560.0,2.5,-1.09,-18.7,0.87,BK0988,concept,钠离子电池
2021-09-24,1696.01,1684.2,1719.23,1668.7,5228166.0,16442594048.0,2.96,-1.2,-20.5,0.71,BK0988,concept,钠离子电池
2021-09-27,1695.18,1620.66,1700.4,1594.01,7187148.0,21303935232.0,6.32,-3.77,-63.54,0.98,BK0988,concept,钠离子电池
2021-09-28,1617.98,1593.08,1631.49,1592.19,4162762.0,13339167744.0,2.42,-1.7,-27.58,0.57,BK0988,concept,钠离子电池
2021-09-29,1581.87,1549.03,1607.55,1545.78,4907691.0,15033105664.0,3.88,-2.77,-44.05,0.67,BK0988,concept,钠离子电池
2021-09-30,1560.94,1615.8,1622.03,1559.67,4270378.0,18623872512.0,4.03,4.31,66.77,0.58,BK0988,concept,钠离子电池
2021-10-08,1640.28,1606.26,1650.93,1589.43,4359558.0,17981619712.0,3.81,-0.59,-9.54,0.59,BK0988,concept,钠离子电池
2021-10-11,1608.77,1603.88,1616.25,1578.6,4108413.0,13772437248.0,2.34,-0.15,-2.38,0.56,BK0988,concept,钠离子电池
2021-10-12,1606.26,1546.11,1607.87,1528.59,4030436.0,13109140992.0,4.94,-3.6,-57.77,0.55,BK0988,concept,钠离子电池
2021-10-13,1557.14,1575.24,1578.92,1541.73,3644107.0,12689737984.0,2.41,1.88,29.13,0.5,BK0988,concept,钠离子电池
2021-10-14,1568.41,1597.84,1605.85,1566.69,3522384.0,12450582784.0,2.49,1.43,22.6,0.48,BK0988,concept,钠离子电池
2021-10-15,1583.35,1618.76,1625.55,1579.98,5128762.0,24077836032.0,2.85,1.31,20.92,0.7,BK0988,concept,钠离子电池
2021-10-18,1625.12,1658.83,1659.06,1625.12,4620236.0,22076247552.0,2.1,2.48,40.07,0.63,BK0988,concept,钠离子电池
2021-10-19,1674.03,1720.19,1733.3,1674.03,5618771.0,23654746368.0,3.57,3.7,61.36,0.76,BK0988,concept,钠离子电池
2021-10-20,1702.01,1734.23,1756.16,1702.01,6473207.0,22313160704.0,3.15,0.82,14.04,0.88,BK0988,concept,钠离子电池
2021-10-21,1727.12,1724.2,1746.03,1715.95,5486715.0,19483801088.0,1.73,-0.58,-10.03,0.75,BK0988,concept,钠离子电池
2021-10-22,1722.04,1682.76,1722.69,1681.44,5334488.0,18187711232.0,2.39,-2.4,-41.44,0.73,BK0988,concept,钠离子电池
2021-10-25,1694.1,1726.17,1728.57,1684.0,4995598.0,21814249472.0,2.65,2.58,43.41,0.68,BK0988,concept,钠离子电池
2021-10-26,1743.53,1728.75,1760.9,1720.94,5530026.0,22112468992.0,2.31,0.15,2.58,0.75,BK0988,concept,钠离子电池
2021-10-27,1723.97,1735.03,1751.33,1717.94,5138760.0,23118683392.0,1.93,0.36,6.28,0.7,BK0988,concept,钠离子电池
2021-10-28,1734.64,1683.21,1735.62,1675.05,5770770.0,25012395264.0,3.49,-2.99,-51.82,0.78,BK0988,concept,钠离子电池
2021-10-29,1686.81,1690.68,1705.95,1661.09,4538260.0,25724410368.0,2.67,0.44,7.47,0.62,BK0988,concept,钠离子电池
2021-11-01,1688.88,1723.28,1735.59,1676.15,5553099.0,28031267328.0,3.52,1.93,32.6,0.75,BK0988,concept,钠离子电池
2021-11-02,1724.4,1694.41,1739.98,1675.91,5518766.0,20955041024.0,3.72,-1.68,-28.87,0.75,BK0988,concept,钠离子电池
2021-11-03,1692.22,1685.75,1695.53,1654.71,4975452.0,19304884224.0,2.41,-0.51,-8.66,0.68,BK0988,concept,钠离子电池
2021-11-04,1688.41,1735.84,1740.16,1688.15,4827692.0,17736395264.0,3.09,2.97,50.09,0.66,BK0988,concept,钠离子电池
2021-11-05,1742.04,1723.98,1756.77,1723.88,4897162.0,16832263680.0,1.89,-0.68,-11.86,0.67,BK0988,concept,钠离子电池
2021-11-08,1715.87,1754.93,1769.76,1714.28,5039544.0,21321912576.0,3.22,1.8,30.95,0.69,BK0988,concept,钠离子电池
2021-11-09,1758.55,1761.42,1761.42,1737.44,4009550.0,14792862208.0,1.37,0.37,6.49,0.55,BK0988,concept,钠离子电池
2021-11-10,1757.07,1750.92,1757.61,1719.5,4730636.0,21606478336.0,2.16,-0.6,-10.5,0.64,BK0988,concept,钠离子电池
