日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-08-23,1022.89,1100.0,1100.0,1010.84,1110323.0,1970591984.94,8.92,10.0,100.0,0.03,BK0574,concept,锂电池
2010-09-09,1101.06,1112.11,1138.86,1064.14,315567.0,1137584080.43,6.79,1.1,12.11,0.01,BK0574,concept,锂电池
2010-09-10,1112.74,1120.13,1148.29,1085.92,8066849.0,16303180907.84,5.61,0.72,8.02,0.22,BK0574,concept,锂电池
2010-09-13,1121.21,1136.25,1154.08,1100.51,6772537.0,14766511792.07,4.78,1.44,16.12,0.18,BK0574,concept,锂电池
2010-09-14,1143.33,1145.55,1171.16,1124.0,7428834.0,15105170814.11,4.15,0.82,9.3,0.2,BK0574,concept,锂电池
2010-09-15,1139.62,1098.79,1154.38,1086.59,7179029.0,14237540865.8,5.92,-4.08,-46.76,0.19,BK0574,concept,锂电池
2010-09-16,1096.43,1082.32,1122.33,1048.32,7233189.0,14632738594.62,6.74,-1.5,-16.47,0.2,BK0574,concept,锂电池
2010-09-17,1086.77,1059.57,1096.8,1045.08,4805855.0,10884056787.89,4.78,-2.1,-22.75,0.13,BK0574,concept,锂电池
2010-09-20,1060.08,1041.25,1075.55,1025.32,4385319.0,9832037656.76,4.74,-1.73,-18.32,0.12,BK0574,concept,锂电池
2010-09-21,1038.91,1036.72,1059.18,1019.11,3854387.0,8332530803.09,3.85,-0.44,-4.53,0.1,BK0574,concept,锂电池
2010-09-27,1044.62,1077.18,1087.8,1036.68,4580230.0,10611002045.07,4.93,3.9,40.46,0.12,BK0574,concept,锂电池
2010-09-28,1075.72,1067.22,1102.92,1052.37,5478045.0,13577713092.64,4.69,-0.92,-9.96,0.15,BK0574,concept,锂电池
2010-09-29,1064.34,1061.14,1096.34,1040.83,5326182.0,12143893010.62,5.2,-0.57,-6.08,0.14,BK0574,concept,锂电池
