日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-04-17,1002.55,1034.67,1034.67,1002.55,8978757.0,18864947555.0,3.21,3.47,34.67,1.29,BK1173,concept,锂矿概念
2024-04-18,1034.57,1040.36,1051.5,1019.11,9181398.0,20064428261.0,3.13,0.55,5.69,1.32,BK1173,concept,锂矿概念
2024-04-19,1037.13,1027.89,1049.87,1022.79,10084622.0,21038238806.0,2.6,-1.2,-12.47,1.45,BK1173,concept,锂矿概念
2024-04-22,1026.04,1014.45,1037.45,1013.4,9084277.0,19082511975.0,2.34,-1.31,-13.44,1.31,BK1173,concept,锂矿概念
2024-04-23,1010.87,995.75,1012.06,993.81,9634727.0,18685138725.0,1.8,-1.84,-18.7,1.39,BK1173,concept,锂矿概念
2024-04-24,985.56,990.53,990.86,971.56,8671430.0,17909584763.0,1.94,-0.52,-5.22,1.25,BK1173,concept,锂矿概念
2024-04-25,985.41,1000.54,1010.09,982.53,7854520.0,17871951749.0,2.78,1.01,10.01,1.13,BK1173,concept,锂矿概念
2024-04-26,996.54,1024.77,1025.29,996.54,10012542.0,22006196517.0,2.87,2.42,24.23,1.44,BK1173,concept,锂矿概念
2024-04-29,1022.78,1060.55,1062.15,1022.78,11882321.0,29750245460.0,3.84,3.49,35.78,1.71,BK1173,concept,锂矿概念
2024-04-30,1064.33,1052.78,1073.26,1052.78,9732335.0,20181310367.0,1.93,-0.73,-7.77,1.4,BK1173,concept,锂矿概念
2024-05-06,1068.04,1076.41,1078.62,1064.81,11621922.0,25485182762.0,1.31,2.24,23.63,1.67,BK1173,concept,锂矿概念
2024-05-07,1080.61,1085.32,1087.7,1078.88,9003095.0,17210276617.0,0.82,0.83,8.91,1.3,BK1173,concept,锂矿概念
2024-05-08,1082.41,1068.45,1082.41,1067.68,8110853.0,14627504813.0,1.36,-1.55,-16.87,1.17,BK1173,concept,锂矿概念
2024-05-09,1076.67,1100.27,1105.52,1076.67,10483388.0,23432663509.0,2.7,2.98,31.82,1.51,BK1173,concept,锂矿概念
2024-05-10,1105.82,1088.42,1106.68,1080.98,10058194.0,20127653740.0,2.34,-1.08,-11.85,1.45,BK1173,concept,锂矿概念
2024-05-13,1078.14,1067.93,1078.14,1061.12,7874096.0,16635938755.0,1.56,-1.88,-20.49,1.13,BK1173,concept,锂矿概念
2024-05-14,1071.38,1069.42,1081.19,1066.68,7038953.0,13580224129.0,1.36,0.14,1.49,1.01,BK1173,concept,锂矿概念
2024-05-15,1067.31,1060.65,1072.99,1059.6,6847631.0,13257261874.0,1.25,-0.82,-8.77,0.99,BK1173,concept,锂矿概念
2024-05-16,1068.35,1059.85,1075.0,1057.62,8996685.0,16619173928.0,1.64,-0.08,-0.8,1.29,BK1173,concept,锂矿概念
2024-05-17,1060.33,1075.13,1075.38,1053.45,8704900.0,17018407572.0,2.07,1.44,15.28,1.25,BK1173,concept,锂矿概念
2024-05-20,1084.28,1086.91,1090.1,1077.31,10677545.0,21752997995.0,1.19,1.1,11.78,1.54,BK1173,concept,锂矿概念
2024-05-21,1084.2,1064.79,1084.2,1060.68,8400042.0,16113118878.0,2.16,-2.04,-22.12,1.21,BK1173,concept,锂矿概念
2024-05-22,1063.78,1070.62,1074.61,1062.47,7928039.0,19016456641.0,1.14,0.55,5.83,1.14,BK1173,concept,锂矿概念
2024-05-23,1059.26,1037.1,1059.26,1034.34,9084347.0,17853275809.0,2.33,-3.13,-33.52,1.31,BK1173,concept,锂矿概念
2024-05-24,1034.36,1031.07,1043.36,1031.07,6618252.0,13072868572.0,1.19,-0.58,-6.03,0.95,BK1173,concept,锂矿概念
2024-05-27,1032.04,1037.22,1037.4,1018.81,6085884.0,12640445765.0,1.8,0.6,6.15,0.88,BK1173,concept,锂矿概念
2024-05-28,1036.24,1032.07,1046.87,1030.46,6361600.0,12087174648.0,1.58,-0.5,-5.15,0.92,BK1173,concept,锂矿概念
2024-05-29,1030.38,1047.17,1055.43,1030.38,7542047.0,15841866184.0,2.43,1.46,15.1,1.08,BK1173,concept,锂矿概念
2024-05-30,1047.7,1036.77,1052.91,1034.7,7730440.0,15053649647.0,1.74,-0.99,-10.4,1.11,BK1173,concept,锂矿概念
2024-05-31,1036.48,1030.32,1043.24,1030.32,7502456.0,14915906580.0,1.25,-0.62,-6.45,1.08,BK1173,concept,锂矿概念
2024-06-03,1028.09,1014.46,1028.09,1005.9,7294275.0,15525280931.0,2.15,-1.54,-15.86,1.05,BK1173,concept,锂矿概念
2024-06-04,1011.72,1022.05,1023.73,1002.54,6690881.0,15440952722.0,2.09,0.75,7.59,0.96,BK1173,concept,锂矿概念
2024-06-05,1016.29,1005.38,1020.24,1005.37,6471401.0,13786622949.0,1.45,-1.63,-16.67,0.93,BK1173,concept,锂矿概念
2024-06-06,1011.22,991.6,1022.97,989.08,8441318.0,16425378727.0,3.37,-1.37,-13.78,1.21,BK1173,concept,锂矿概念
2024-06-07,997.87,992.39,1004.93,983.02,7539298.0,22110106526.0,2.21,0.08,0.79,1.08,BK1173,concept,锂矿概念
2024-06-11,983.29,987.27,989.59,974.43,6538988.0,17825933478.0,1.53,-0.52,-5.12,0.94,BK1173,concept,锂矿概念
2024-06-12,984.72,990.77,994.35,983.91,5469147.0,12562521897.0,1.06,0.35,3.5,0.79,BK1173,concept,锂矿概念
2024-06-13,991.6,975.61,991.98,973.79,6338027.0,14103180990.0,1.84,-1.53,-15.16,0.91,BK1173,concept,锂矿概念
2024-06-14,974.39,978.83,982.66,964.6,7050020.0,18373514530.0,1.85,0.33,3.22,1.01,BK1173,concept,锂矿概念
2024-06-17,974.09,975.58,982.41,971.37,6103432.0,15402703670.0,1.13,-0.33,-3.25,0.88,BK1173,concept,锂矿概念
2024-06-18,975.56,981.9,985.43,972.43,6683559.0,13822550579.0,1.33,0.65,6.32,0.96,BK1173,concept,锂矿概念
2024-06-19,983.66,967.57,986.75,967.57,5601270.0,11244617960.0,1.95,-1.46,-14.33,0.81,BK1173,concept,锂矿概念
2024-06-20,969.25,947.68,973.88,947.22,5988051.0,11426947707.0,2.76,-2.06,-19.89,0.86,BK1173,concept,锂矿概念
2024-06-21,946.92,942.66,953.42,939.05,6539404.0,14006435674.0,1.52,-0.53,-5.02,0.94,BK1173,concept,锂矿概念
2024-06-24,934.91,914.11,934.91,911.96,6236969.0,13088477021.0,2.43,-3.03,-28.55,0.9,BK1173,concept,锂矿概念
2024-06-25,913.96,909.39,918.57,903.19,4750344.0,10251318465.0,1.68,-0.52,-4.72,0.68,BK1173,concept,锂矿概念
2024-06-26,908.38,942.18,942.34,898.55,6649805.0,13040458549.0,4.82,3.61,32.79,0.96,BK1173,concept,锂矿概念
2024-06-27,936.79,916.97,938.97,916.5,5529290.0,11149911879.0,2.38,-2.68,-25.21,0.8,BK1173,concept,锂矿概念
2024-06-28,914.57,914.38,928.97,911.94,6013684.0,13361900954.0,1.86,-0.28,-2.59,0.87,BK1173,concept,锂矿概念
2024-07-01,911.27,927.17,928.76,902.41,6700906.0,15463572950.0,2.88,1.4,12.79,0.96,BK1173,concept,锂矿概念
2024-07-02,929.37,919.46,931.45,916.42,5434146.0,10728945536.0,1.62,-0.83,-7.71,0.78,BK1173,concept,锂矿概念
2024-07-03,919.62,923.14,930.25,915.18,5226400.0,11287368651.0,1.64,0.4,3.68,0.75,BK1173,concept,锂矿概念
2024-07-04,926.57,903.1,930.44,900.97,5880398.0,11434114492.0,3.19,-2.17,-20.04,0.85,BK1173,concept,锂矿概念
2024-07-05,901.55,912.49,916.17,893.64,5948528.0,11545857194.0,2.49,1.04,9.39,0.86,BK1173,concept,锂矿概念
2024-07-08,910.07,888.05,910.07,884.85,5821591.0,10904542872.0,2.76,-2.68,-24.44,0.84,BK1173,concept,锂矿概念
2024-07-09,886.55,895.24,899.3,870.45,6881674.0,13376148304.0,3.25,0.81,7.19,0.99,BK1173,concept,锂矿概念
2024-07-10,893.58,894.56,917.39,892.91,7667825.0,16300480334.0,2.73,-0.08,-0.68,1.1,BK1173,concept,锂矿概念
2024-07-11,908.29,939.29,941.51,908.29,9149658.0,19417874429.0,3.71,5.0,44.73,1.32,BK1173,concept,锂矿概念
2024-07-12,941.25,929.13,942.26,927.23,7176732.0,15481487712.0,1.6,-1.08,-10.16,1.03,BK1173,concept,锂矿概念
2024-07-15,929.06,923.99,930.75,921.73,5801189.0,10928490048.0,0.97,-0.55,-5.14,0.83,BK1173,concept,锂矿概念
