日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-11-05,1002.58,994.36,1003.78,990.2,1814859.0,1796601056.0,1.36,-0.56,-5.64,1.61,BK0894,concept,阿兹海默
2019-11-06,989.46,999.35,1003.08,982.26,1391797.0,1294721344.0,2.09,0.5,4.99,1.24,BK0894,concept,阿兹海默
2019-11-07,994.05,1012.18,1014.32,994.05,1347520.0,1293485680.0,2.03,1.28,12.83,1.2,BK0894,concept,阿兹海默
2019-11-08,1013.62,1008.86,1022.8,1004.85,1423527.0,1350984656.0,1.77,-0.33,-3.32,1.27,BK0894,concept,阿兹海默
2019-11-11,998.53,981.87,998.53,979.13,1114805.0,989195648.0,1.92,-2.68,-26.99,0.99,BK0894,concept,阿兹海默
2019-11-12,982.43,991.81,991.81,972.47,1072228.0,864945408.0,1.97,1.01,9.94,0.95,BK0894,concept,阿兹海默
2019-11-13,994.69,979.88,997.29,979.0,1319855.0,1131169472.0,1.84,-1.2,-11.93,1.17,BK0894,concept,阿兹海默
2019-11-14,978.73,1001.29,1004.4,978.46,1631715.0,1438189840.0,2.65,2.18,21.41,1.45,BK0894,concept,阿兹海默
2019-11-15,998.79,989.23,1006.67,988.92,1242401.0,1400974496.0,1.77,-1.2,-12.06,1.1,BK0894,concept,阿兹海默
2019-11-18,991.93,995.58,997.44,986.23,871192.0,873315536.0,1.13,0.64,6.35,0.77,BK0894,concept,阿兹海默
2019-11-19,993.59,1011.03,1011.03,991.61,968382.0,890931536.0,1.95,1.55,15.45,0.86,BK0894,concept,阿兹海默
2019-11-20,1010.96,1014.75,1019.65,1005.06,1165963.0,1073068880.0,1.44,0.37,3.72,1.04,BK0894,concept,阿兹海默
2019-11-21,1010.35,1007.52,1014.04,1003.52,784524.0,730687696.0,1.04,-0.71,-7.23,0.7,BK0894,concept,阿兹海默
2019-11-22,1010.75,990.69,1017.14,986.18,1045800.0,884035744.0,3.07,-1.67,-16.83,0.93,BK0894,concept,阿兹海默
2019-11-25,990.18,983.54,992.37,974.68,617219.0,573048976.0,1.79,-0.72,-7.15,0.55,BK0894,concept,阿兹海默
2019-11-26,985.5,979.41,987.44,977.86,494901.0,524065904.0,0.97,-0.42,-4.13,0.44,BK0894,concept,阿兹海默
2019-11-27,978.48,974.81,983.22,973.77,513438.0,444069200.0,0.96,-0.47,-4.6,0.46,BK0894,concept,阿兹海默
2019-11-28,976.25,984.11,988.18,974.13,671264.0,654821376.0,1.44,0.95,9.3,0.6,BK0894,concept,阿兹海默
2019-11-29,992.3,982.11,992.3,973.72,885426.0,1509266432.0,1.89,-0.2,-2.0,0.79,BK0894,concept,阿兹海默
2019-12-02,985.0,985.91,991.44,980.76,689146.0,1022912544.0,1.09,0.39,3.8,0.61,BK0894,concept,阿兹海默
2019-12-03,981.02,987.8,988.35,969.53,647488.0,886544816.0,1.91,0.19,1.89,0.58,BK0894,concept,阿兹海默
2019-12-04,985.21,984.37,986.74,980.49,422802.0,470526320.0,0.63,-0.35,-3.43,0.38,BK0894,concept,阿兹海默
2019-12-05,986.23,987.88,991.23,984.46,495235.0,496176976.0,0.69,0.36,3.51,0.44,BK0894,concept,阿兹海默
2019-12-06,987.1,990.21,991.12,983.94,454046.0,458083648.0,0.73,0.24,2.33,0.4,BK0894,concept,阿兹海默
2019-12-09,993.26,992.11,994.21,986.68,558761.0,584482656.0,0.76,0.19,1.9,0.5,BK0894,concept,阿兹海默
2019-12-10,992.3,992.38,992.86,985.83,597499.0,610947488.0,0.71,0.03,0.27,0.53,BK0894,concept,阿兹海默
2019-12-11,993.02,987.07,993.02,983.4,634091.0,573176016.0,0.97,-0.54,-5.31,0.56,BK0894,concept,阿兹海默
2019-12-12,987.59,987.4,990.64,983.46,550544.0,505774496.0,0.73,0.03,0.33,0.49,BK0894,concept,阿兹海默
2019-12-13,991.9,997.72,997.72,990.98,674800.0,740273600.0,0.68,1.05,10.32,0.6,BK0894,concept,阿兹海默
2019-12-16,1002.17,1014.9,1015.21,1000.47,907315.0,831010032.0,1.48,1.72,17.18,0.81,BK0894,concept,阿兹海默
2019-12-17,1015.74,1026.29,1027.79,1013.18,1097286.0,1045664992.0,1.44,1.12,11.39,0.98,BK0894,concept,阿兹海默
2019-12-18,1025.11,1018.58,1026.73,1015.79,808812.0,752718208.0,1.07,-0.75,-7.71,0.72,BK0894,concept,阿兹海默
2019-12-19,1018.1,1028.09,1032.21,1017.37,940645.0,823005120.0,1.46,0.93,9.51,0.84,BK0894,concept,阿兹海默
