日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-01-20,1023.23,1015.44,1030.44,1010.65,4789716.0,4219665680.0,1.98,1.54,15.44,0.6,BK0909,concept,降解塑料
2020-01-21,1009.19,1011.04,1015.73,1005.01,4395964.0,3929633728.0,1.06,-0.43,-4.4,0.55,BK0909,concept,降解塑料
2020-01-22,1007.59,1011.78,1017.32,990.38,3767432.0,3590922576.0,2.66,0.07,0.74,0.47,BK0909,concept,降解塑料
2020-01-23,1001.98,971.9,1005.65,963.05,4215545.0,3994690352.0,4.21,-3.94,-39.88,0.53,BK0909,concept,降解塑料
2020-02-03,897.04,898.6,904.35,888.9,3523452.0,3803428448.0,1.59,-7.54,-73.3,0.44,BK0909,concept,降解塑料
2020-02-04,850.28,892.79,897.71,850.23,6300016.0,5003099392.0,5.28,-0.65,-5.81,0.79,BK0909,concept,降解塑料
2020-02-05,898.85,928.25,930.46,897.02,5883667.0,5558076672.0,3.75,3.97,35.46,0.74,BK0909,concept,降解塑料
2020-02-06,930.68,957.7,960.7,927.22,6141702.0,5715853056.0,3.61,3.17,29.45,0.77,BK0909,concept,降解塑料
2020-02-07,961.43,958.37,971.73,946.04,6955519.0,6680498432.0,2.68,0.07,0.67,0.88,BK0909,concept,降解塑料
2020-02-10,965.95,972.96,973.42,955.45,6416632.0,5691468032.0,1.88,1.52,14.59,0.81,BK0909,concept,降解塑料
2020-02-11,971.41,970.22,972.81,959.27,4908499.0,4559243008.0,1.39,-0.28,-2.74,0.62,BK0909,concept,降解塑料
2020-02-12,969.14,980.72,981.89,964.2,4614410.0,4463184384.0,1.82,1.08,10.5,0.58,BK0909,concept,降解塑料
2020-02-13,981.34,972.08,981.83,966.54,4846552.0,5207525888.0,1.56,-0.88,-8.64,0.61,BK0909,concept,降解塑料
2020-02-14,966.96,970.28,974.54,961.69,3913320.0,4148725184.0,1.32,-0.19,-1.8,0.49,BK0909,concept,降解塑料
2020-02-17,980.73,1005.56,1005.56,980.73,3669137.0,3683796464.0,2.56,3.64,35.28,0.46,BK0909,concept,降解塑料
2020-02-18,1009.03,1013.19,1013.74,1000.08,6140757.0,7905515520.0,1.36,0.76,7.63,0.77,BK0909,concept,降解塑料
2020-02-19,1009.07,1006.24,1015.06,1001.06,5561203.0,5839948032.0,1.38,-0.69,-6.95,0.7,BK0909,concept,降解塑料
2020-02-20,1005.07,1018.74,1018.74,998.94,5778955.0,4772203520.0,1.97,1.24,12.5,0.73,BK0909,concept,降解塑料
2020-02-21,1014.68,1028.18,1031.55,1009.79,5139052.0,4982188800.0,2.14,0.93,9.44,0.65,BK0909,concept,降解塑料
2020-02-24,1031.47,1039.77,1044.17,1022.1,5315959.0,5259314944.0,2.15,1.13,11.59,0.67,BK0909,concept,降解塑料
2020-02-25,1019.08,1043.03,1045.91,1000.57,7210852.0,7167302656.0,4.36,0.31,3.26,0.91,BK0909,concept,降解塑料
2020-02-26,1032.13,1025.33,1048.01,1021.35,7910652.0,7199605248.0,2.56,-1.7,-17.7,1.0,BK0909,concept,降解塑料
2020-02-27,1028.47,1024.85,1033.93,1016.1,4958567.0,5009965568.0,1.74,-0.05,-0.48,0.62,BK0909,concept,降解塑料
2020-02-28,996.73,974.82,1010.03,974.12,6286795.0,6127030528.0,3.5,-4.88,-50.03,0.79,BK0909,concept,降解塑料
2020-03-02,988.49,1013.41,1015.2,988.49,4891714.0,4872489472.0,2.74,3.96,38.59,0.62,BK0909,concept,降解塑料
2020-03-03,1029.75,1026.58,1040.1,1018.27,4874953.0,4846602240.0,2.15,1.3,13.17,0.61,BK0909,concept,降解塑料
2020-03-04,1025.92,1041.64,1041.99,1020.95,4772060.0,4688834560.0,2.05,1.47,15.06,0.6,BK0909,concept,降解塑料
2020-03-05,1051.96,1073.58,1073.7,1050.65,6667042.0,5941667584.0,2.21,3.07,31.94,0.84,BK0909,concept,降解塑料
2020-03-06,1068.87,1092.17,1100.78,1065.66,7953402.0,7716217600.0,3.27,1.73,18.59,1.0,BK0909,concept,降解塑料
2020-03-09,1087.39,1079.53,1107.7,1078.57,8044592.0,8386956544.0,2.67,-1.16,-12.64,1.01,BK0909,concept,降解塑料
2020-03-10,1047.48,1077.15,1077.15,1028.88,8262309.0,6774294528.0,4.47,-0.22,-2.38,1.04,BK0909,concept,降解塑料
2020-03-11,1071.04,1060.08,1082.33,1060.08,6394432.0,5534805504.0,2.07,-1.58,-17.07,0.81,BK0909,concept,降解塑料
2020-03-12,1049.6,1026.26,1050.1,1018.69,5856985.0,5254420480.0,2.96,-3.19,-33.82,0.74,BK0909,concept,降解塑料
2020-03-13,965.43,991.54,1007.62,963.53,5971857.0,5003540480.0,4.3,-3.38,-34.72,0.75,BK0909,concept,降解塑料
2020-03-16,1004.87,955.85,1007.69,953.16,4955061.0,4517384704.0,5.5,-3.6,-35.69,0.62,BK0909,concept,降解塑料
2020-03-17,952.28,940.33,964.58,908.71,4362134.0,3593611136.0,5.85,-1.62,-15.52,0.55,BK0909,concept,降解塑料
2020-03-18,956.04,933.5,969.55,933.45,3375480.0,2761485152.0,3.84,-0.73,-6.83,0.43,BK0909,concept,降解塑料
2020-03-19,936.69,941.9,947.9,917.24,4961684.0,5276462336.0,3.28,0.9,8.4,0.62,BK0909,concept,降解塑料
2020-03-20,952.79,955.43,960.23,942.89,4359099.0,4913192960.0,1.84,1.44,13.53,0.55,BK0909,concept,降解塑料
2020-03-23,936.97,926.59,950.64,923.37,4362756.0,4353388032.0,2.85,-3.02,-28.84,0.55,BK0909,concept,降解塑料
2020-03-24,940.15,940.18,945.33,913.78,3979855.0,3875344400.0,3.4,1.47,13.59,0.5,BK0909,concept,降解塑料
2020-03-25,957.08,966.01,967.84,952.87,4273620.0,3766828976.0,1.59,2.75,25.83,0.54,BK0909,concept,降解塑料
2020-03-26,958.22,963.03,973.18,953.19,4122645.0,4102057392.0,2.07,-0.31,-2.98,0.52,BK0909,concept,降解塑料
2020-03-27,971.46,959.72,972.65,958.9,3722604.0,3404956560.0,1.43,-0.34,-3.31,0.47,BK0909,concept,降解塑料
2020-03-30,947.05,939.56,949.49,933.44,3580483.0,3275121296.0,1.67,-2.1,-20.16,0.45,BK0909,concept,降解塑料
2020-03-31,945.29,938.41,950.5,937.26,3058177.0,2944971392.0,1.41,-0.12,-1.15,0.39,BK0909,concept,降解塑料
2020-04-01,935.45,931.51,942.41,929.31,2678043.0,2432116592.0,1.4,-0.74,-6.9,0.34,BK0909,concept,降解塑料
2020-04-02,926.97,953.7,953.7,923.27,2696550.0,2676803104.0,3.27,2.38,22.19,0.34,BK0909,concept,降解塑料
2020-04-03,951.72,957.05,960.27,950.89,2923088.0,2818379120.0,0.98,0.35,3.35,0.37,BK0909,concept,降解塑料
2020-04-07,972.1,984.65,987.52,969.56,4010011.0,3779412624.0,1.88,2.88,27.6,0.5,BK0909,concept,降解塑料
2020-04-08,980.68,995.55,997.13,978.58,4359199.0,4202931088.0,1.88,1.11,10.9,0.55,BK0909,concept,降解塑料
2020-04-09,1000.67,995.22,1001.86,992.05,4519000.0,4818961920.0,0.99,-0.03,-0.33,0.57,BK0909,concept,降解塑料
2020-04-10,998.65,986.19,1003.32,976.67,5397713.0,5071863296.0,2.68,-0.91,-9.03,0.68,BK0909,concept,降解塑料
2020-04-13,982.65,998.83,998.99,978.57,5482512.0,5443941632.0,2.07,1.28,12.64,0.69,BK0909,concept,降解塑料
2020-04-14,1001.72,1012.53,1012.82,996.1,4567599.0,4680975872.0,1.67,1.37,13.7,0.58,BK0909,concept,降解塑料
2020-04-15,1011.6,1015.88,1017.15,1004.12,5163568.0,5369546496.0,1.29,0.33,3.35,0.65,BK0909,concept,降解塑料
2020-04-16,1010.02,1012.09,1020.1,1003.48,5173519.0,4865308416.0,1.64,-0.37,-3.79,0.65,BK0909,concept,降解塑料
2020-04-17,1014.84,1007.26,1021.29,1005.55,4660876.0,4404784896.0,1.56,-0.48,-4.83,0.59,BK0909,concept,降解塑料
2020-04-20,1004.14,1028.65,1029.08,1002.58,4520234.0,4139683776.0,2.63,2.12,21.39,0.57,BK0909,concept,降解塑料
2020-04-21,1026.41,1024.35,1030.98,1020.14,6004643.0,5885396224.0,1.05,-0.42,-4.3,0.76,BK0909,concept,降解塑料
2020-04-22,1015.63,1031.84,1032.6,1011.18,5501755.0,4756944384.0,2.09,0.73,7.49,0.69,BK0909,concept,降解塑料
2020-04-23,1040.43,1040.51,1050.02,1036.22,5671384.0,4845841152.0,1.34,0.84,8.67,0.71,BK0909,concept,降解塑料
2020-04-24,1043.83,1023.94,1043.83,1022.99,7779454.0,6162345216.0,2.0,-1.59,-16.57,0.98,BK0909,concept,降解塑料
2020-04-27,1025.36,1019.34,1030.51,1018.52,6939492.0,5580310016.0,1.17,-0.45,-4.6,0.87,BK0909,concept,降解塑料
2020-04-28,1005.55,974.32,1005.55,955.48,4626017.0,4548536064.0,4.91,-4.42,-45.02,0.58,BK0909,concept,降解塑料
2020-04-29,960.84,971.9,980.36,960.51,3192533.0,3139628464.0,2.04,-0.25,-2.42,0.4,BK0909,concept,降解塑料
2020-04-30,963.97,970.71,975.03,961.61,5789735.0,4209563872.0,1.38,-0.12,-1.19,0.73,BK0909,concept,降解塑料
2020-05-06,962.65,983.09,983.65,960.37,4224303.0,3833839216.0,2.4,1.28,12.38,0.53,BK0909,concept,降解塑料
2020-05-07,979.96,978.05,987.34,976.43,4752215.0,4349074688.0,1.11,-0.51,-5.04,0.6,BK0909,concept,降解塑料
