日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2017-04-05,1095.0,1094.1,1096.2,1092.42,10048795.0,13242839296.0,0.38,9.41,94.1,0.39,BK0813,concept,雄安新区
2017-04-06,1174.47,1162.39,1174.47,1161.8,15905252.0,22908292096.0,1.16,6.24,68.29,0.61,BK0813,concept,雄安新区
2017-04-07,1222.21,1234.34,1240.31,1214.39,35824150.0,45801198336.0,2.23,6.19,71.95,1.37,BK0813,concept,雄安新区
2017-04-10,1280.23,1332.11,1340.77,1277.71,45389140.0,58979753472.0,5.11,7.92,97.77,1.74,BK0813,concept,雄安新区
2017-04-11,1397.67,1430.88,1440.8,1394.67,47307095.0,70964109312.0,3.46,7.41,98.77,1.81,BK0813,concept,雄安新区
2017-04-12,1460.5,1415.93,1476.53,1408.16,69317176.0,102118940672.0,4.78,-1.04,-14.95,2.66,BK0813,concept,雄安新区
2017-04-13,1402.72,1444.61,1452.94,1402.72,44294469.0,53972362496.0,3.55,2.03,28.68,1.7,BK0813,concept,雄安新区
2017-04-14,1460.18,1420.81,1461.03,1407.59,39019401.0,47728826368.0,3.7,-1.65,-23.8,1.5,BK0813,concept,雄安新区
2017-04-17,1420.14,1375.64,1420.51,1350.52,64532444.0,86380691456.0,4.93,-3.18,-45.17,2.47,BK0813,concept,雄安新区
2017-04-18,1358.77,1342.72,1392.47,1339.04,47700529.0,65557085184.0,3.88,-2.39,-32.92,1.83,BK0813,concept,雄安新区
2017-04-19,1331.17,1322.35,1345.68,1309.09,45790689.0,57976055552.0,2.73,-1.52,-20.37,1.76,BK0813,concept,雄安新区
2017-04-20,1308.25,1249.89,1311.18,1238.13,46542899.0,58925922560.0,5.52,-5.48,-72.46,1.78,BK0813,concept,雄安新区
2017-04-21,1240.1,1220.17,1252.85,1212.75,38909823.0,47635532544.0,3.21,-2.38,-29.72,1.49,BK0813,concept,雄安新区
2017-04-24,1219.96,1202.06,1227.18,1197.14,29886261.0,37677588480.0,2.46,-1.48,-18.11,1.15,BK0813,concept,雄安新区
2017-04-25,1205.16,1221.66,1265.39,1191.51,45135631.0,55543372544.0,6.15,1.63,19.6,1.73,BK0813,concept,雄安新区
2017-04-26,1205.53,1275.35,1284.74,1202.15,51275753.0,64479571456.0,6.76,4.39,53.69,1.97,BK0813,concept,雄安新区
2017-04-27,1264.57,1245.7,1286.62,1241.05,52942723.0,68524787456.0,3.57,-2.32,-29.65,2.03,BK0813,concept,雄安新区
2017-04-28,1231.77,1289.52,1293.11,1230.42,50304773.0,60801904128.0,5.03,3.52,43.82,1.93,BK0813,concept,雄安新区
2017-05-02,1288.63,1313.28,1314.59,1271.58,51715346.0,68662213888.0,3.34,1.84,23.76,1.98,BK0813,concept,雄安新区
2017-05-03,1300.58,1251.12,1300.58,1248.54,46223104.0,63696369152.0,3.96,-4.73,-62.16,1.77,BK0813,concept,雄安新区
2017-05-04,1235.44,1273.27,1319.98,1234.39,51237586.0,70783582208.0,6.84,1.77,22.15,1.96,BK0813,concept,雄安新区
2017-05-05,1258.62,1253.79,1281.09,1253.76,39010882.0,52742705408.0,2.15,-1.53,-19.48,1.5,BK0813,concept,雄安新区
