日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2025-07-21,1135.18,1135.18,1135.18,1128.44,2337869.0,2246386802.0,0.67,13.52,135.18,0.12,BK1192,concept,雅下水电概念
2025-07-22,1240.85,1261.09,1261.45,1240.85,26444930.0,32997965746.0,1.81,11.09,125.91,1.39,BK1192,concept,雅下水电概念
2025-07-23,1354.52,1301.31,1354.52,1301.31,86773918.0,78985523611.0,4.22,3.19,40.22,4.55,BK1192,concept,雅下水电概念
2025-07-24,1302.67,1319.45,1333.63,1282.1,131063337.0,101320544116.0,3.96,1.39,18.14,6.87,BK1192,concept,雅下水电概念
2025-07-25,1317.66,1270.33,1317.81,1270.2,110879918.0,96898274762.0,3.61,-3.72,-49.12,5.81,BK1192,concept,雅下水电概念
2025-07-28,1258.0,1264.29,1272.23,1251.41,68606182.0,61426107223.0,1.64,-0.48,-6.04,3.6,BK1192,concept,雅下水电概念
2025-07-29,1259.04,1285.37,1291.73,1243.51,77566758.0,70097058543.0,3.81,1.67,21.08,4.07,BK1192,concept,雅下水电概念
2025-07-30,1273.76,1264.62,1292.76,1261.1,94890983.0,67962299468.0,2.46,-1.61,-20.75,4.97,BK1192,concept,雅下水电概念
2025-07-31,1255.71,1243.72,1264.52,1238.06,81897804.0,56467223212.0,2.09,-1.65,-20.9,4.29,BK1192,concept,雅下水电概念
2025-08-01,1236.88,1229.75,1243.37,1228.07,61638611.0,43578345316.0,1.23,-1.12,-13.97,3.23,BK1192,concept,雅下水电概念
2025-08-04,1225.71,1233.43,1239.76,1225.17,47216179.0,35802616870.0,1.19,0.3,3.68,2.48,BK1192,concept,雅下水电概念
2025-08-05,1234.86,1240.01,1243.54,1231.04,53502803.0,41631629447.0,1.01,0.53,6.58,2.8,BK1192,concept,雅下水电概念
2025-08-06,1235.88,1234.74,1236.88,1228.41,49172556.0,38795989467.0,0.68,-0.42,-5.27,2.58,BK1192,concept,雅下水电概念
2025-08-07,1232.74,1230.38,1233.6,1220.77,58637675.0,41495862929.0,1.04,-0.35,-4.36,3.07,BK1192,concept,雅下水电概念
2025-08-08,1224.93,1263.42,1266.82,1223.83,62531170.0,52220186913.0,3.49,2.69,33.04,3.28,BK1192,concept,雅下水电概念
