日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2012-04-25,884.49,894.4,896.42,878.67,730075.0,1138344656.0,1.78,-10.56,-105.6,0.02,BK0603,concept,页岩气
2012-04-26,896.4,893.05,899.05,889.74,503307.0,889932288.0,1.04,-0.15,-1.35,0.02,BK0603,concept,页岩气
2012-04-27,893.82,882.85,894.61,881.52,525301.0,954596736.0,1.47,-1.14,-10.2,0.02,BK0603,concept,页岩气
2012-05-02,890.72,909.91,915.35,887.5,1094901.0,1945163120.0,3.15,3.07,27.06,0.03,BK0603,concept,页岩气
2012-05-03,907.45,912.06,915.65,903.59,764713.0,1398647328.0,1.33,0.24,2.15,0.02,BK0603,concept,页岩气
2012-05-04,911.9,946.75,947.86,911.26,964355.0,2023534144.0,4.01,3.8,34.69,0.03,BK0603,concept,页岩气
2012-05-07,943.18,957.1,959.01,940.24,1137686.0,2446687232.0,1.98,1.09,10.35,0.04,BK0603,concept,页岩气
2012-05-08,957.13,978.07,985.12,953.08,1297955.0,2517429520.0,3.35,2.19,20.97,0.04,BK0603,concept,页岩气
2012-05-09,972.7,943.65,975.03,943.15,1009055.0,1775115504.0,3.26,-3.52,-34.42,0.03,BK0603,concept,页岩气
2012-05-10,942.72,978.96,987.41,942.72,1134483.0,2031059920.0,4.74,3.74,35.31,0.03,BK0603,concept,页岩气
2012-05-11,976.22,942.72,976.22,942.22,948312.0,1707726528.0,3.47,-3.7,-36.24,0.03,BK0603,concept,页岩气
2012-05-14,950.08,934.41,952.5,929.14,577521.0,994573552.0,2.48,-0.88,-8.31,0.02,BK0603,concept,页岩气
2012-05-15,921.6,933.27,935.44,911.71,571529.0,940429376.0,2.54,-0.12,-1.14,0.02,BK0603,concept,页岩气
2012-05-16,929.52,919.27,935.54,916.42,538904.0,888210256.0,2.05,-1.5,-14.0,0.02,BK0603,concept,页岩气
2012-05-17,923.65,934.27,936.35,913.2,456222.0,757270352.0,2.52,1.63,15.0,0.01,BK0603,concept,页岩气
2012-05-18,928.96,916.18,942.36,915.78,512696.0,873182336.0,2.85,-1.94,-18.09,0.02,BK0603,concept,页岩气
2012-05-21,911.7,914.61,921.83,905.51,471989.0,801464208.0,1.78,-0.17,-1.57,0.01,BK0603,concept,页岩气
2012-05-22,918.19,928.08,928.08,916.91,371290.0,654996832.0,1.22,1.47,13.47,0.01,BK0603,concept,页岩气
2012-05-23,925.53,930.51,936.49,917.89,513585.0,952501792.0,2.0,0.26,2.43,0.02,BK0603,concept,页岩气
2012-05-24,926.58,916.93,934.26,914.14,437095.0,777696224.0,2.16,-1.46,-13.58,0.01,BK0603,concept,页岩气
2012-05-25,917.28,899.22,921.34,892.4,351879.0,599713136.0,3.16,-1.93,-17.71,0.01,BK0603,concept,页岩气
2012-05-28,900.54,909.41,909.44,878.9,366982.0,607192752.0,3.4,1.13,10.19,0.01,BK0603,concept,页岩气
2012-05-29,905.14,918.95,923.35,901.26,425593.0,725540832.0,2.43,1.05,9.54,0.01,BK0603,concept,页岩气
2012-05-30,918.09,919.56,927.58,915.76,436599.0,784877152.0,1.29,0.07,0.61,0.01,BK0603,concept,页岩气
2012-05-31,914.77,921.82,929.21,912.1,323734.0,554868032.0,1.86,0.25,2.26,0.01,BK0603,concept,页岩气
2012-06-01,921.44,926.58,933.88,919.41,358385.0,618289376.0,1.57,0.52,4.76,0.01,BK0603,concept,页岩气
