日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2012-06-18,1019.98,1021.01,1024.69,1014.88,300249.0,374209200.0,0.98,2.1,21.01,0.1,BK0614,concept,食品安全
2012-06-19,1017.45,1018.1,1026.41,1014.19,288543.0,315689312.0,1.2,-0.29,-2.91,0.1,BK0614,concept,食品安全
2012-06-20,1019.77,1012.1,1021.18,1005.79,294825.0,342281936.0,1.51,-0.59,-6.0,0.1,BK0614,concept,食品安全
2012-06-21,1006.56,986.33,1006.57,980.86,217954.0,250657899.0,2.54,-2.55,-25.77,0.07,BK0614,concept,食品安全
2012-06-25,979.28,962.09,984.78,961.4,135913.0,146157204.0,2.37,-2.46,-24.24,0.05,BK0614,concept,食品安全
2012-06-26,947.37,953.72,961.32,943.84,158576.0,165033309.0,1.82,-0.87,-8.37,0.05,BK0614,concept,食品安全
2012-06-27,956.63,952.54,963.89,951.52,128315.0,135731630.0,1.3,-0.12,-1.18,0.04,BK0614,concept,食品安全
2012-06-28,953.47,937.32,957.73,937.32,138601.0,153117864.0,2.14,-1.6,-15.22,0.05,BK0614,concept,食品安全
2012-06-29,934.1,952.5,952.5,932.48,146255.0,160364290.0,2.14,1.62,15.18,0.05,BK0614,concept,食品安全
2012-07-02,954.86,959.75,963.79,954.12,142683.0,149826428.0,1.02,0.76,7.25,0.05,BK0614,concept,食品安全
2012-07-03,960.42,960.09,968.85,953.19,163642.0,168719677.0,1.63,0.04,0.34,0.05,BK0614,concept,食品安全
2012-07-04,968.5,961.07,982.2,957.3,259994.0,299374384.0,2.59,0.1,0.98,0.09,BK0614,concept,食品安全
2012-07-05,955.41,923.36,955.41,922.06,209764.0,231355017.0,3.47,-3.92,-37.71,0.07,BK0614,concept,食品安全
2012-07-06,931.57,936.21,937.37,903.35,210608.0,231603774.0,3.68,1.39,12.85,0.07,BK0614,concept,食品安全
