日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-12-16,1072.89,1087.31,1112.3,1072.89,19133110.0,19388895159.0,3.94,8.73,87.31,4.88,BK1186,concept,首发经济
2024-12-17,1078.4,1048.54,1081.86,1020.26,25333458.0,22121998496.0,5.67,-3.57,-38.77,6.46,BK1186,concept,首发经济
2024-12-18,1016.3,1065.05,1073.35,1016.3,34069952.0,29388003545.0,5.44,1.57,16.51,8.69,BK1186,concept,首发经济
2024-12-19,1035.07,1023.97,1045.97,1011.27,44881286.0,34693192456.0,3.26,-3.86,-41.08,11.45,BK1186,concept,首发经济
2024-12-20,1014.67,1013.59,1034.69,1013.59,33583168.0,27941813167.0,2.06,-1.01,-10.38,8.57,BK1186,concept,首发经济
2024-12-23,992.43,959.53,998.5,955.59,32539402.0,25336876123.0,4.23,-5.33,-54.06,8.3,BK1186,concept,首发经济
2024-12-24,951.76,942.57,956.7,930.6,27666886.0,20375938827.0,2.72,-1.77,-16.96,7.06,BK1186,concept,首发经济
2024-12-25,929.9,921.39,932.66,892.84,30217115.0,19874316779.0,4.22,-2.25,-21.18,7.71,BK1186,concept,首发经济
2024-12-26,913.22,935.29,936.97,913.22,26833635.0,18124450929.0,2.58,1.51,13.9,6.85,BK1186,concept,首发经济
2024-12-27,927.76,936.84,953.44,923.53,28227443.0,19895045095.0,3.2,0.17,1.55,7.2,BK1186,concept,首发经济
2024-12-30,930.44,925.32,930.67,911.19,24637378.0,16537530096.0,2.08,-1.23,-11.52,6.29,BK1186,concept,首发经济
2024-12-31,926.13,908.49,936.1,908.37,24774374.0,16343353933.0,3.0,-1.82,-16.83,6.32,BK1186,concept,首发经济
2025-01-02,906.24,929.08,947.12,906.24,26717156.0,16902341710.0,4.5,2.27,20.59,6.82,BK1186,concept,首发经济
2025-01-03,935.57,880.45,936.62,878.6,28042270.0,17329196627.0,6.24,-5.23,-48.63,7.15,BK1186,concept,首发经济
2025-01-06,868.53,854.45,875.17,844.63,24452289.0,13770468220.0,3.47,-2.95,-26.0,6.24,BK1186,concept,首发经济
2025-01-07,845.98,873.02,873.37,845.39,25987262.0,13910938377.0,3.27,2.17,18.57,6.63,BK1186,concept,首发经济
2025-01-08,865.52,891.21,895.47,859.78,33778765.0,18383984139.0,4.09,2.08,18.19,8.62,BK1186,concept,首发经济
2025-01-09,879.63,889.55,892.76,876.33,29483199.0,16758216638.0,1.84,-0.19,-1.66,7.52,BK1186,concept,首发经济
2025-01-10,883.15,850.4,890.3,850.39,27440500.0,16107949835.0,4.49,-4.4,-39.15,7.0,BK1186,concept,首发经济
2025-01-13,835.57,845.19,851.03,826.08,19717381.0,11253923187.0,2.93,-0.61,-5.21,5.03,BK1186,concept,首发经济
2025-01-14,855.38,899.54,899.54,855.38,27598379.0,16894828941.0,5.22,6.43,54.35,7.04,BK1186,concept,首发经济
2025-01-15,902.89,905.48,918.35,897.28,29568746.0,17922209838.0,2.34,0.66,5.94,7.54,BK1186,concept,首发经济
2025-01-16,912.75,924.29,931.76,910.52,30447590.0,18671559937.0,2.35,2.08,18.81,7.77,BK1186,concept,首发经济
2025-01-17,920.4,903.9,920.83,903.85,30224459.0,19903504546.0,1.84,-2.21,-20.39,7.71,BK1186,concept,首发经济
2025-01-20,904.89,907.49,916.2,894.86,22361364.0,14468871600.0,2.36,0.4,3.59,5.71,BK1186,concept,首发经济
2025-01-21,906.68,904.85,909.63,893.34,25312486.0,16258083144.0,1.8,-0.29,-2.64,6.46,BK1186,concept,首发经济
2025-01-22,897.73,879.35,897.73,876.47,21429227.0,13098080433.0,2.35,-2.82,-25.5,5.47,BK1186,concept,首发经济
2025-01-23,888.06,868.69,899.45,868.69,22237456.0,13952910344.0,3.5,-1.21,-10.66,5.67,BK1186,concept,首发经济
2025-01-24,864.06,880.86,882.66,857.04,20707614.0,13835619762.0,2.95,1.4,12.17,5.28,BK1186,concept,首发经济
2025-01-27,886.68,864.43,889.59,864.35,17903332.0,11947361900.0,2.87,-1.87,-16.43,4.57,BK1186,concept,首发经济
2025-02-05,875.38,879.02,881.15,870.91,19755974.0,13493865011.0,1.18,1.69,14.59,5.04,BK1186,concept,首发经济
2025-02-06,881.4,904.35,904.35,875.75,27684607.0,19656918572.0,3.25,2.88,25.33,7.06,BK1186,concept,首发经济
2025-02-07,904.32,914.94,927.1,901.27,33182172.0,26228615129.0,2.86,1.17,10.59,8.47,BK1186,concept,首发经济
2025-02-10,922.09,953.19,953.68,922.09,31589360.0,25828692727.0,3.45,4.18,38.25,8.06,BK1186,concept,首发经济
2025-02-11,955.97,948.69,955.97,940.82,35258768.0,28957147667.0,1.59,-0.47,-4.5,9.0,BK1186,concept,首发经济
2025-02-12,943.02,958.7,958.7,941.34,32980129.0,25262613160.0,1.83,1.06,10.01,8.41,BK1186,concept,首发经济
2025-02-13,957.57,961.66,974.82,952.09,35511800.0,27356556173.0,2.37,0.31,2.96,9.06,BK1186,concept,首发经济
2025-02-14,959.76,957.64,964.04,950.27,33554446.0,26194269684.0,1.43,-0.42,-4.02,8.56,BK1186,concept,首发经济
2025-02-17,967.72,979.0,980.68,963.31,28615352.0,25767500305.0,1.81,2.23,21.36,7.3,BK1186,concept,首发经济
2025-02-18,973.98,936.48,973.98,931.71,31312266.0,24315307453.0,4.32,-4.34,-42.52,7.99,BK1186,concept,首发经济
2025-02-19,933.94,953.88,953.91,928.75,25884194.0,20967013606.0,2.69,1.86,17.4,6.6,BK1186,concept,首发经济
2025-02-20,955.76,964.3,966.83,955.36,28199482.0,23266566411.0,1.2,1.09,10.42,7.19,BK1186,concept,首发经济
2025-02-21,965.11,968.55,968.82,949.8,28572341.0,24684494704.0,1.97,0.44,4.25,7.29,BK1186,concept,首发经济
2025-02-24,964.82,963.21,969.97,956.06,25201294.0,21188842380.0,1.44,-0.55,-5.34,6.43,BK1186,concept,首发经济
2025-02-25,947.27,960.25,969.79,943.27,20745419.0,18921432451.0,2.75,-0.31,-2.96,5.29,BK1186,concept,首发经济
2025-02-26,961.31,966.0,966.83,959.0,20862339.0,19209019616.0,0.82,0.6,5.75,5.32,BK1186,concept,首发经济
2025-02-27,965.25,978.46,980.33,958.31,26141473.0,20942655907.0,2.28,1.29,12.46,6.67,BK1186,concept,首发经济
2025-02-28,974.71,943.64,974.71,941.03,25319097.0,19993178228.0,3.44,-3.56,-34.82,6.46,BK1186,concept,首发经济
2025-03-03,943.98,954.1,956.37,934.14,21397041.0,16927332945.0,2.36,1.11,10.46,5.46,BK1186,concept,首发经济
2025-03-04,945.45,956.97,957.49,943.29,17557034.0,14616635420.0,1.49,0.3,2.87,4.48,BK1186,concept,首发经济
2025-03-05,956.08,953.58,956.96,937.85,20277877.0,15452404434.0,2.0,-0.35,-3.39,5.17,BK1186,concept,首发经济
2025-03-06,956.71,977.86,980.42,954.68,23684862.0,20373850566.0,2.7,2.55,24.28,6.04,BK1186,concept,首发经济
2025-03-07,977.54,965.92,981.23,960.67,35902332.0,28230341805.0,2.1,-1.22,-11.94,9.16,BK1186,concept,首发经济
2025-03-10,966.73,968.51,970.57,961.26,27725740.0,22002117530.0,0.96,0.27,2.59,7.07,BK1186,concept,首发经济
2025-03-11,953.11,973.44,973.44,951.26,36289896.0,27853089107.0,2.29,0.51,4.93,9.26,BK1186,concept,首发经济
2025-03-12,976.33,978.51,986.43,975.68,37882529.0,30725463086.0,1.1,0.52,5.07,9.67,BK1186,concept,首发经济
2025-03-13,976.17,964.59,976.31,953.11,27809077.0,21038128471.0,2.37,-1.42,-13.92,7.1,BK1186,concept,首发经济
2025-03-14,966.58,992.25,992.25,966.07,26303456.0,19426499016.0,2.71,2.87,27.66,6.71,BK1186,concept,首发经济
2025-03-17,996.35,988.64,1000.72,986.96,23198544.0,17858178064.0,1.39,-0.36,-3.61,5.92,BK1186,concept,首发经济
2025-03-18,991.19,987.35,992.34,980.41,23502013.0,17971439055.0,1.21,-0.13,-1.29,6.0,BK1186,concept,首发经济
2025-03-19,983.66,978.62,985.13,974.74,21746288.0,16830839859.0,1.05,-0.88,-8.73,5.55,BK1186,concept,首发经济
2025-03-20,977.08,968.99,980.45,968.52,19688833.0,15524290684.0,1.22,-0.98,-9.63,5.02,BK1186,concept,首发经济
