日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-11-22,992.48,996.52,1025.61,991.95,5242680.0,10721062776.0,3.37,-0.35,-3.48,6.09,BK1152,concept,高带宽内存
2023-11-23,986.23,968.22,988.38,962.75,4479498.0,8055628217.0,2.57,-2.84,-28.3,5.21,BK1152,concept,高带宽内存
2023-11-24,964.62,936.44,964.94,934.26,4444896.0,8018429991.0,3.17,-3.28,-31.78,5.17,BK1152,concept,高带宽内存
2023-11-27,927.52,953.52,962.65,924.56,4370712.0,8093057550.0,4.07,1.82,17.08,5.08,BK1152,concept,高带宽内存
2023-11-28,949.3,968.2,981.03,949.3,4448397.0,8393790158.0,3.33,1.54,14.68,5.17,BK1152,concept,高带宽内存
2023-11-29,959.73,958.01,980.64,955.93,4256758.0,7740652856.0,2.55,-1.05,-10.19,4.95,BK1152,concept,高带宽内存
2023-11-30,955.87,931.74,957.85,917.65,3816256.0,6661120981.0,4.2,-2.74,-26.27,4.44,BK1152,concept,高带宽内存
2023-12-01,927.31,944.71,945.59,918.59,2970561.0,5494303728.0,2.9,1.39,12.97,3.45,BK1152,concept,高带宽内存
2023-12-04,941.22,943.15,960.02,936.58,3228629.0,5872545162.0,2.48,-0.17,-1.56,3.75,BK1152,concept,高带宽内存
2023-12-05,937.59,906.87,937.67,906.87,2633130.0,4821686603.0,3.27,-3.85,-36.28,3.06,BK1152,concept,高带宽内存
2023-12-06,902.16,908.78,916.77,902.16,2195482.0,3735418894.0,1.61,0.21,1.91,2.55,BK1152,concept,高带宽内存
2023-12-07,907.28,904.24,915.95,903.33,2637191.0,4494088937.0,1.39,-0.5,-4.54,3.07,BK1152,concept,高带宽内存
2023-12-08,908.51,934.06,937.5,908.51,3251508.0,6405557737.0,3.21,3.3,29.82,3.78,BK1152,concept,高带宽内存
2023-12-11,921.92,931.49,934.28,913.78,2563706.0,4784633568.0,2.19,-0.28,-2.57,2.98,BK1152,concept,高带宽内存
2023-12-12,931.04,933.83,948.82,928.87,2667866.0,5129053986.0,2.14,0.25,2.34,3.1,BK1152,concept,高带宽内存
2023-12-13,927.42,911.04,930.66,911.04,2105366.0,3761077911.0,2.1,-2.44,-22.79,2.45,BK1152,concept,高带宽内存
2023-12-14,916.06,897.21,920.43,896.54,2110665.0,3552702821.0,2.62,-1.52,-13.83,2.45,BK1152,concept,高带宽内存
2023-12-15,898.26,888.04,901.91,885.7,1462628.0,2711546190.0,1.81,-1.02,-9.17,1.7,BK1152,concept,高带宽内存
2023-12-18,882.39,870.61,884.32,868.86,1252835.0,2311778766.0,1.74,-1.96,-17.43,1.46,BK1152,concept,高带宽内存
2023-12-19,869.71,877.86,885.26,869.71,994012.0,1951929416.0,1.79,0.83,7.25,1.16,BK1152,concept,高带宽内存
2023-12-20,877.76,856.89,880.72,856.18,1161462.0,2311147295.0,2.8,-2.39,-20.97,1.35,BK1152,concept,高带宽内存
2023-12-21,851.89,865.07,872.75,846.16,1444981.0,2661905560.0,3.1,0.95,8.18,1.68,BK1152,concept,高带宽内存
