日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-10-21,1004.08,1044.85,1049.54,1004.08,2556796.0,6161048576.0,4.55,4.49,44.85,0.97,BK0887,concept,鸡肉概念
2019-10-22,1047.05,1037.17,1047.05,1026.63,1633303.0,3888354832.0,1.95,-0.74,-7.68,0.62,BK0887,concept,鸡肉概念
2019-10-23,1038.66,1053.17,1073.43,1038.66,2285054.0,5914133760.0,3.35,1.54,16.0,0.86,BK0887,concept,鸡肉概念
2019-10-24,1056.88,1096.38,1104.78,1041.81,2959697.0,7607156224.0,5.98,4.1,43.21,1.12,BK0887,concept,鸡肉概念
2019-10-25,1101.1,1155.07,1178.81,1092.8,4967190.0,13185070080.0,7.84,5.35,58.69,1.88,BK0887,concept,鸡肉概念
2019-10-28,1128.69,1163.31,1172.88,1118.21,4025442.0,10134356224.0,4.73,0.71,8.24,1.52,BK0887,concept,鸡肉概念
2019-10-29,1152.08,1193.97,1216.56,1145.37,4119529.0,11200189184.0,6.12,2.64,30.66,1.56,BK0887,concept,鸡肉概念
2019-10-30,1184.96,1175.35,1207.19,1139.79,3082143.0,8401536512.0,5.65,-1.56,-18.62,1.16,BK0887,concept,鸡肉概念
2019-10-31,1171.38,1129.59,1176.4,1118.42,3369208.0,8696792064.0,4.93,-3.89,-45.76,1.27,BK0887,concept,鸡肉概念
2019-11-01,1113.2,1122.79,1140.78,1090.07,2743482.0,7208104192.0,4.49,-0.6,-6.8,1.04,BK0887,concept,鸡肉概念
2019-11-04,1111.79,1123.14,1124.02,1099.45,2581238.0,6746664192.0,2.19,0.03,0.35,0.97,BK0887,concept,鸡肉概念
2019-11-05,1131.79,1142.04,1163.85,1131.79,3043722.0,8106246400.0,2.85,1.68,18.9,1.15,BK0887,concept,鸡肉概念
2019-11-06,1141.79,1100.62,1144.34,1096.63,2593403.0,7022778112.0,4.18,-3.63,-41.42,0.98,BK0887,concept,鸡肉概念
2019-11-07,1098.21,1121.17,1138.93,1097.94,2128045.0,5663026176.0,3.72,1.87,20.55,0.8,BK0887,concept,鸡肉概念
2019-11-08,1116.8,1095.69,1116.8,1093.65,1963550.0,4910336256.0,2.06,-2.27,-25.48,0.74,BK0887,concept,鸡肉概念
2019-11-11,1083.2,1070.71,1099.02,1067.01,1833816.0,4641861120.0,2.92,-2.28,-24.98,0.69,BK0887,concept,鸡肉概念
2019-11-12,1071.67,1073.91,1082.72,1057.36,1381206.0,3547574464.0,2.37,0.3,3.2,0.52,BK0887,concept,鸡肉概念
2019-11-13,1076.05,1068.36,1084.62,1062.25,1129174.0,2930322976.0,2.08,-0.52,-5.55,0.43,BK0887,concept,鸡肉概念
2019-11-14,1069.74,1057.64,1069.79,1052.37,1223442.0,3206204480.0,1.63,-1.0,-10.72,0.46,BK0887,concept,鸡肉概念
2019-11-15,1044.71,1011.96,1045.23,1011.6,2064985.0,5232174848.0,3.18,-4.32,-45.68,0.78,BK0887,concept,鸡肉概念
2019-11-18,999.4,1017.74,1024.42,992.26,1663544.0,4249743216.0,3.18,0.57,5.78,0.63,BK0887,concept,鸡肉概念
2019-11-19,1022.58,1027.81,1031.4,1018.06,1289520.0,3343644432.0,1.31,0.99,10.07,0.49,BK0887,concept,鸡肉概念
2019-11-20,1031.13,1020.16,1035.34,1018.93,1217440.0,3066506416.0,1.6,-0.74,-7.65,0.46,BK0887,concept,鸡肉概念
2019-11-21,1020.43,1013.49,1025.02,1011.53,835491.0,2094994640.0,1.32,-0.65,-6.67,0.32,BK0887,concept,鸡肉概念
2019-11-22,1016.36,991.22,1019.02,988.16,1291864.0,3229813040.0,3.04,-2.2,-22.27,0.49,BK0887,concept,鸡肉概念
2019-11-25,991.46,984.17,997.51,982.45,965152.0,2347166944.0,1.52,-0.71,-7.05,0.36,BK0887,concept,鸡肉概念
2019-11-26,989.35,1011.53,1011.82,979.53,1586952.0,4105431616.0,3.28,2.78,27.36,0.6,BK0887,concept,鸡肉概念
2019-11-27,1003.09,992.61,1007.54,991.32,1181828.0,3062116160.0,1.6,-1.87,-18.92,0.45,BK0887,concept,鸡肉概念
2019-11-28,991.58,991.02,1008.24,981.92,1008382.0,2514648208.0,2.65,-0.16,-1.59,0.38,BK0887,concept,鸡肉概念
2019-11-29,989.22,981.94,989.95,974.64,929426.0,2218035248.0,1.54,-0.92,-9.08,0.35,BK0887,concept,鸡肉概念
2019-12-02,988.62,995.6,1004.92,988.62,1401560.0,3305094592.0,1.66,1.39,13.66,0.53,BK0887,concept,鸡肉概念
2019-12-03,992.25,994.11,1003.13,985.48,1006829.0,2491345088.0,1.77,-0.15,-1.49,0.38,BK0887,concept,鸡肉概念
2019-12-04,989.11,982.52,989.66,972.17,1317235.0,3358851056.0,1.76,-1.17,-11.59,0.5,BK0887,concept,鸡肉概念
2019-12-05,983.32,985.35,985.42,976.44,1117488.0,2752082720.0,0.91,0.29,2.83,0.42,BK0887,concept,鸡肉概念
2019-12-06,987.49,991.49,1001.26,987.49,1352258.0,3362841808.0,1.4,0.62,6.14,0.51,BK0887,concept,鸡肉概念
2019-12-09,995.84,991.5,997.86,986.33,1161990.0,2878893648.0,1.16,0.0,0.01,0.44,BK0887,concept,鸡肉概念
2019-12-10,990.09,970.08,993.13,967.11,1898911.0,4666519552.0,2.62,-2.16,-21.42,0.72,BK0887,concept,鸡肉概念
2019-12-11,968.1,952.66,968.1,950.85,1396750.0,3314721168.0,1.78,-1.8,-17.42,0.53,BK0887,concept,鸡肉概念
2019-12-12,954.92,952.2,959.5,951.26,968014.0,2283765296.0,0.86,-0.05,-0.46,0.37,BK0887,concept,鸡肉概念
2019-12-13,952.78,960.51,960.81,947.82,1190225.0,2859311232.0,1.36,0.87,8.31,0.45,BK0887,concept,鸡肉概念
2019-12-16,960.69,966.58,966.83,950.98,1351674.0,3131927008.0,1.65,0.63,6.07,0.51,BK0887,concept,鸡肉概念
2019-12-17,969.42,991.82,995.96,964.72,2004020.0,4802921984.0,3.23,2.61,25.24,0.76,BK0887,concept,鸡肉概念
2019-12-18,990.51,986.24,996.31,983.76,1468754.0,3443865744.0,1.27,-0.56,-5.58,0.55,BK0887,concept,鸡肉概念
2019-12-19,986.76,988.93,988.93,979.72,1153793.0,2632895744.0,0.93,0.27,2.69,0.44,BK0887,concept,鸡肉概念
2019-12-20,989.43,992.33,999.72,984.97,1422262.0,3374784544.0,1.49,0.34,3.4,0.54,BK0887,concept,鸡肉概念
2019-12-23,985.92,950.95,986.72,950.55,1674043.0,3896571920.0,3.64,-4.17,-41.38,0.63,BK0887,concept,鸡肉概念
2019-12-24,950.63,953.39,956.42,945.57,1024051.0,2332654448.0,1.14,0.26,2.44,0.39,BK0887,concept,鸡肉概念
2019-12-25,963.48,958.54,966.57,954.59,1091427.0,2540908608.0,1.26,0.54,5.15,0.41,BK0887,concept,鸡肉概念
2019-12-26,959.01,956.05,959.44,949.46,965598.0,2304543344.0,1.04,-0.26,-2.49,0.36,BK0887,concept,鸡肉概念
2019-12-27,956.89,963.78,971.97,954.48,1503341.0,3500169728.0,1.83,0.81,7.73,0.57,BK0887,concept,鸡肉概念
2019-12-30,964.13,965.73,966.32,948.75,1384069.0,3239557424.0,1.82,0.2,1.95,0.52,BK0887,concept,鸡肉概念
2019-12-31,967.08,978.31,981.59,966.94,1604650.0,3706321936.0,1.52,1.3,12.58,0.61,BK0887,concept,鸡肉概念
2020-01-02,982.74,1000.83,1004.52,982.74,2228215.0,5105508352.0,2.23,2.3,22.52,0.84,BK0887,concept,鸡肉概念
2020-01-03,1001.29,1001.34,1003.89,989.83,1879148.0,4104400992.0,1.4,0.05,0.51,0.71,BK0887,concept,鸡肉概念
2020-01-06,996.84,1003.21,1010.38,993.95,1826997.0,4295802112.0,1.64,0.19,1.87,0.69,BK0887,concept,鸡肉概念
2020-01-07,1007.15,1052.67,1056.85,1007.15,3350075.0,8832553728.0,4.95,4.93,49.46,1.26,BK0887,concept,鸡肉概念
