日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-06-24,1026.79,1090.57,1104.0,1026.79,2468610.0,16245217792.0,7.72,9.06,90.57,2.78,BK1092,concept,麒麟电池
2022-06-27,1107.87,1122.34,1133.93,1091.36,3073701.0,15812381184.0,3.9,2.91,31.77,3.47,BK1092,concept,麒麟电池
2022-06-28,1106.71,1081.84,1106.71,1069.16,3302910.0,16084458240.0,3.35,-3.61,-40.5,3.72,BK1092,concept,麒麟电池
2022-06-29,1066.22,1006.82,1066.22,1003.68,3425328.0,13811145984.0,5.78,-6.93,-75.02,3.86,BK1092,concept,麒麟电池
2022-06-30,1009.73,1018.06,1030.27,1006.06,2459847.0,11299316992.0,2.4,1.12,11.24,2.77,BK1092,concept,麒麟电池
2022-07-01,1023.67,1036.56,1044.41,1004.63,2744529.0,11425599744.0,3.91,1.82,18.5,3.09,BK1092,concept,麒麟电池
2022-07-04,1034.38,1034.1,1044.39,1017.73,2179693.0,10513939968.0,2.57,-0.24,-2.46,2.46,BK1092,concept,麒麟电池
2022-07-05,1041.15,1027.13,1057.13,1017.26,2079861.0,12087941376.0,3.86,-0.67,-6.97,2.35,BK1092,concept,麒麟电池
2022-07-06,1019.93,1019.86,1037.56,1003.57,1699355.0,10047499776.0,3.31,-0.71,-7.27,1.92,BK1092,concept,麒麟电池
2022-07-07,1017.03,1079.96,1086.65,1013.64,2619103.0,17934866688.0,7.16,5.89,60.1,2.95,BK1092,concept,麒麟电池
2022-07-08,1086.34,1051.14,1093.88,1044.11,2171236.0,12986266880.0,4.61,-2.67,-28.82,2.45,BK1092,concept,麒麟电池
2022-07-11,1044.04,1021.8,1044.14,1010.83,1564670.0,9990193664.0,3.17,-2.79,-29.34,1.76,BK1092,concept,麒麟电池
2022-07-12,1024.51,995.6,1026.5,989.9,1618532.0,10385368808.09,3.58,-2.56,-26.2,1.83,BK1092,concept,麒麟电池
2022-07-13,994.4,1005.41,1009.45,976.26,1481794.0,15344601873.93,3.33,0.99,9.81,1.67,BK1092,concept,麒麟电池
2022-07-14,998.53,1060.92,1064.63,994.55,1973995.0,14403695803.83,6.97,5.52,55.51,2.23,BK1092,concept,麒麟电池
2022-07-15,1049.03,1052.28,1081.44,1046.2,1888190.0,12080608745.22,3.32,-0.81,-8.64,2.13,BK1092,concept,麒麟电池
2022-07-18,1059.38,1082.19,1082.56,1046.43,1630020.0,10625660083.88,3.43,2.84,29.91,1.84,BK1092,concept,麒麟电池
2022-07-19,1079.62,1077.04,1105.66,1073.34,2057910.0,12003648389.39,2.99,-0.48,-5.15,2.32,BK1092,concept,麒麟电池
2022-07-20,1074.78,1063.22,1077.75,1056.91,1557389.0,6887646538.78,1.93,-1.28,-13.82,1.76,BK1092,concept,麒麟电池
2022-07-21,1069.76,1084.51,1096.56,1051.11,2766004.0,9282537287.28,4.27,2.0,21.29,3.12,BK1092,concept,麒麟电池
2022-07-22,1090.6,1075.97,1097.65,1059.35,2226806.0,11357104469.26,3.53,-0.79,-8.54,2.51,BK1092,concept,麒麟电池
2022-07-25,1070.14,1053.18,1080.25,1046.23,1588158.0,7169345179.14,3.16,-2.12,-22.79,1.79,BK1092,concept,麒麟电池
2022-07-26,1048.99,1073.01,1074.0,1035.59,1470836.0,6478347305.96,3.65,1.88,19.83,1.66,BK1092,concept,麒麟电池
2022-07-27,1075.72,1100.3,1101.48,1067.82,2151575.0,8170667574.06,3.14,2.54,27.29,2.43,BK1092,concept,麒麟电池
2022-07-28,1106.42,1100.8,1123.8,1099.47,2301157.0,8567040883.22,2.21,0.05,0.5,2.59,BK1092,concept,麒麟电池
2022-07-29,1096.98,1137.89,1145.62,1096.9,2633421.0,10421013786.4,4.43,3.37,37.09,2.97,BK1092,concept,麒麟电池
2022-08-01,1143.31,1156.14,1163.21,1129.02,2747979.0,13180393979.3,3.0,1.6,18.25,3.1,BK1092,concept,麒麟电池
2022-08-02,1136.63,1117.49,1144.93,1105.09,2759101.0,11095540031.93,3.45,-3.34,-38.65,3.11,BK1092,concept,麒麟电池
2022-08-03,1114.98,1084.73,1139.47,1076.0,2378553.0,12588457639.43,5.68,-2.93,-32.76,2.68,BK1092,concept,麒麟电池
2022-08-04,1087.13,1082.39,1096.1,1063.95,1750232.0,8425978124.11,2.96,-0.22,-2.34,1.97,BK1092,concept,麒麟电池
2022-08-05,1086.18,1084.13,1102.84,1068.49,1508422.0,8511381268.27,3.17,0.16,1.74,1.7,BK1092,concept,麒麟电池
2022-08-08,1078.85,1125.15,1125.25,1067.91,1774793.0,7401430742.45,5.29,3.78,41.02,2.0,BK1092,concept,麒麟电池
2022-08-09,1121.22,1144.61,1149.9,1116.74,1903115.0,9037457812.2,2.95,1.73,19.46,2.15,BK1092,concept,麒麟电池
2022-08-10,1135.37,1123.64,1141.73,1119.02,1510178.0,6662878340.42,1.98,-1.83,-20.97,1.7,BK1092,concept,麒麟电池
2022-08-11,1133.57,1123.17,1133.57,1111.52,1833886.0,7927904753.97,1.96,-0.04,-0.47,2.07,BK1092,concept,麒麟电池
2022-08-12,1118.86,1089.44,1124.73,1088.18,1501882.0,6262710794.04,3.25,-3.0,-33.73,1.69,BK1092,concept,麒麟电池
2022-08-15,1089.72,1115.49,1118.79,1088.45,1732832.0,10085944697.93,2.78,2.39,26.05,1.95,BK1092,concept,麒麟电池
2022-08-16,1121.23,1173.31,1177.62,1121.23,2242507.0,12535289350.93,5.06,5.18,57.82,2.53,BK1092,concept,麒麟电池
2022-08-17,1177.86,1170.38,1187.81,1160.08,2024501.0,13291622670.15,2.36,-0.25,-2.93,2.28,BK1092,concept,麒麟电池
2022-08-18,1166.96,1172.71,1191.65,1165.5,1724340.0,10867117506.05,2.23,0.2,2.33,1.94,BK1092,concept,麒麟电池
2022-08-19,1178.34,1116.89,1180.2,1115.55,1575485.0,8521140463.24,5.51,-4.76,-55.82,1.78,BK1092,concept,麒麟电池
2022-08-22,1111.73,1119.45,1120.94,1093.32,1570471.0,10319005675.33,2.47,0.23,2.56,1.77,BK1092,concept,麒麟电池
2022-08-23,1115.89,1129.91,1133.83,1113.94,1266707.0,9355985987.82,1.78,0.93,10.46,1.43,BK1092,concept,麒麟电池
2022-08-24,1157.87,1095.2,1165.59,1091.35,2182580.0,19731974054.08,6.57,-3.07,-34.71,2.46,BK1092,concept,麒麟电池
2022-08-25,1085.22,1057.78,1097.81,1043.37,1630172.0,11723974112.12,4.97,-3.42,-37.42,1.84,BK1092,concept,麒麟电池
2022-08-26,1063.34,1059.68,1083.04,1053.46,1391773.0,8497742788.18,2.8,0.18,1.9,1.57,BK1092,concept,麒麟电池
2022-08-29,1044.1,1080.35,1088.98,1044.1,1382717.0,7920374411.12,4.24,1.95,20.67,1.56,BK1092,concept,麒麟电池
2022-08-30,1076.85,1059.72,1080.64,1054.18,1474959.0,9918011892.67,2.45,-1.91,-20.63,1.66,BK1092,concept,麒麟电池
2022-08-31,1052.32,997.8,1052.81,993.65,1645573.0,10709230762.23,5.58,-5.84,-61.92,1.86,BK1092,concept,麒麟电池
2022-09-01,998.41,983.74,1006.1,982.24,1051669.0,8831211364.27,2.39,-1.41,-14.06,1.19,BK1092,concept,麒麟电池
2022-09-02,987.22,1014.9,1018.64,977.1,1067291.0,7064750104.3,4.22,3.17,31.16,1.2,BK1092,concept,麒麟电池
2022-09-05,1014.15,1002.72,1020.32,996.64,861397.0,5519845876.49,2.33,-1.2,-12.18,0.97,BK1092,concept,麒麟电池
2022-09-06,1005.51,1020.82,1020.82,985.78,1318389.0,14122306347.72,3.49,1.81,18.1,1.49,BK1092,concept,麒麟电池
2022-09-07,1014.72,1036.03,1047.01,1009.07,1352189.0,11922956789.89,3.72,1.49,15.21,1.52,BK1092,concept,麒麟电池
2022-09-08,1051.26,1015.56,1062.46,1014.32,1281263.0,11626577950.66,4.65,-1.98,-20.47,1.44,BK1092,concept,麒麟电池
2022-09-09,1018.53,999.45,1019.09,990.73,1058099.0,6948797790.91,2.79,-1.59,-16.11,1.19,BK1092,concept,麒麟电池
2022-09-13,996.73,992.95,1003.8,980.42,1018406.0,5993768472.1,2.34,-0.65,-6.5,1.15,BK1092,concept,麒麟电池
2022-09-14,975.31,969.18,986.54,957.99,1174270.0,12779001044.66,2.88,-2.39,-23.77,1.32,BK1092,concept,麒麟电池
2022-09-15,971.57,920.13,973.85,910.88,1439704.0,12345124617.46,6.5,-5.06,-49.05,1.62,BK1092,concept,麒麟电池
2022-09-16,917.57,894.76,923.44,894.76,924873.0,7310665718.39,3.12,-2.76,-25.37,1.04,BK1092,concept,麒麟电池
2022-09-19,898.47,904.87,922.93,894.14,1150640.0,7201392219.44,3.22,1.13,10.11,1.3,BK1092,concept,麒麟电池
2022-09-20,909.68,927.66,938.76,909.68,1114982.0,8374786255.92,3.21,2.52,22.79,1.26,BK1092,concept,麒麟电池
2022-09-21,923.89,926.4,932.53,905.4,787178.0,4728782075.16,2.92,-0.14,-1.26,0.89,BK1092,concept,麒麟电池
2022-09-22,919.29,930.84,944.44,913.75,756758.0,4964866942.16,3.31,0.48,4.44,0.85,BK1092,concept,麒麟电池
2022-09-23,930.75,910.44,939.52,899.87,842832.0,6056307141.31,4.26,-2.19,-20.4,0.95,BK1092,concept,麒麟电池
2022-09-26,904.95,931.48,946.96,899.75,1522475.0,9961103427.35,5.19,2.31,21.04,1.72,BK1092,concept,麒麟电池
2022-09-27,932.61,940.97,948.0,921.01,1159766.0,6430973735.89,2.9,1.02,9.49,1.31,BK1092,concept,麒麟电池
2022-09-28,936.22,900.16,940.83,900.16,1058310.0,5813956424.08,4.32,-4.34,-40.81,1.19,BK1092,concept,麒麟电池
2022-09-29,912.05,903.94,918.91,895.67,923712.0,4882888885.77,2.58,0.42,3.78,1.04,BK1092,concept,麒麟电池
2022-09-30,901.55,875.03,905.52,874.23,797796.0,5754555475.18,3.46,-3.2,-28.91,0.9,BK1092,concept,麒麟电池
2022-10-10,871.49,839.73,876.75,835.91,1017675.0,5735833510.86,4.67,-4.03,-35.3,1.15,BK1092,concept,麒麟电池
2022-10-11,845.97,864.23,868.66,845.97,930388.0,8629583405.45,2.7,2.92,24.5,1.05,BK1092,concept,麒麟电池
2022-10-12,863.37,902.31,902.31,848.07,1165191.0,9240413146.39,6.28,4.41,38.08,1.31,BK1092,concept,麒麟电池
2022-10-13,897.94,916.64,928.88,894.04,1339139.0,6232047940.11,3.86,1.59,14.33,1.51,BK1092,concept,麒麟电池
2022-10-14,924.94,947.02,948.85,920.42,1185308.0,7435482530.82,3.1,3.31,30.38,1.34,BK1092,concept,麒麟电池
2022-10-17,940.22,943.9,946.95,929.74,988626.0,5762281700.24,1.82,-0.33,-3.12,1.11,BK1092,concept,麒麟电池
2022-10-18,959.81,954.03,963.93,943.37,1180173.0,5552197665.61,2.18,1.07,10.13,1.33,BK1092,concept,麒麟电池
2022-10-19,956.1,954.55,974.16,949.44,1062477.0,6908127041.32,2.59,0.05,0.52,1.2,BK1092,concept,麒麟电池
2022-10-20,944.08,922.65,944.08,909.29,1213688.0,8648894467.42,3.64,-3.34,-31.9,1.37,BK1092,concept,麒麟电池
2022-10-21,919.8,916.04,929.52,910.88,747989.0,4389131027.1,2.02,-0.72,-6.61,0.84,BK1092,concept,麒麟电池
2022-10-24,918.07,914.02,937.88,905.83,1071017.0,7278419455.89,3.5,-0.22,-2.02,1.21,BK1092,concept,麒麟电池
2022-10-25,904.89,932.35,938.81,881.1,1589560.0,7491725074.54,6.31,2.01,18.33,1.79,BK1092,concept,麒麟电池
2022-10-26,937.36,954.89,960.2,930.69,1638857.0,7827227000.8,3.17,2.42,22.54,1.85,BK1092,concept,麒麟电池
2022-10-27,954.63,937.89,968.06,937.5,1352083.0,7832565415.41,3.2,-1.78,-17.0,1.52,BK1092,concept,麒麟电池
