日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,3248.26,3272.14,3339.41,3211.04,853213.0,758670085.94,3.97,1.16,37.55,0.15,BK0429,industry,交运设备
2010-01-05,3288.57,3315.17,3352.69,3246.84,757141.0,670760836.5,3.23,1.32,43.03,0.14,BK0429,industry,交运设备
2010-01-06,3320.37,3294.68,3387.75,3265.41,848084.0,812131926.31,3.69,-0.62,-20.49,0.15,BK0429,industry,交运设备
2010-01-07,3292.34,3251.44,3365.28,3213.09,1052806.0,913924832.93,4.62,-1.31,-43.24,0.19,BK0429,industry,交运设备
2010-01-08,3251.95,3277.32,3312.8,3192.81,1022569.0,1171895568.99,3.69,0.8,25.88,0.19,BK0429,industry,交运设备
2010-01-11,3299.45,3294.45,3354.32,3226.72,680261.0,587296077.17,3.89,0.52,17.13,0.12,BK0429,industry,交运设备
2010-01-12,3298.93,3367.3,3385.46,3254.94,1364559.0,1824793495.38,3.96,2.21,72.85,0.25,BK0429,industry,交运设备
2010-01-13,3294.98,3312.08,3373.11,3261.87,1149329.0,1350894284.8,3.3,-1.64,-55.22,0.21,BK0429,industry,交运设备
2010-01-14,3313.67,3385.56,3408.22,3297.8,971219.0,1061697970.6,3.33,2.22,73.48,0.18,BK0429,industry,交运设备
2010-01-15,3385.33,3386.41,3445.63,3336.68,917583.0,998129593.42,3.22,0.03,0.85,0.17,BK0429,industry,交运设备
2010-01-18,3393.87,3512.6,3539.06,3373.42,1389571.0,1448625829.26,4.89,3.73,126.19,0.25,BK0429,industry,交运设备
2010-01-19,3517.4,3490.9,3545.51,3449.73,1033588.0,1046823130.22,2.73,-0.62,-21.7,0.19,BK0429,industry,交运设备
2010-01-20,3489.76,3461.69,3612.29,3382.82,1635005.0,1594391289.19,6.57,-0.84,-29.21,0.3,BK0429,industry,交运设备
2010-01-21,3469.62,3434.91,3533.35,3374.14,930638.0,926439953.14,4.6,-0.77,-26.78,0.17,BK0429,industry,交运设备
2010-01-22,3401.54,3407.87,3487.18,3295.5,947639.0,962984688.46,5.58,-0.79,-27.04,0.17,BK0429,industry,交运设备
2010-01-25,3406.19,3340.34,3481.35,3313.55,950793.0,887500703.48,4.92,-1.98,-67.53,0.17,BK0429,industry,交运设备
2010-01-26,3328.57,3156.54,3363.36,3122.99,886704.0,799351533.08,7.2,-5.5,-183.8,0.16,BK0429,industry,交运设备
2010-01-27,3138.94,3112.59,3204.21,3062.36,579411.0,532316326.98,4.49,-1.39,-43.95,0.11,BK0429,industry,交运设备
2010-01-28,3115.72,3187.62,3209.74,3090.64,536172.0,474826726.89,3.83,2.41,75.03,0.1,BK0429,industry,交运设备
2010-01-29,3169.27,3216.96,3301.45,3148.97,693456.0,611254503.85,4.78,0.92,29.34,0.13,BK0429,industry,交运设备
2010-02-01,3208.64,3235.89,3311.75,3122.67,856895.0,745463748.18,5.88,0.59,18.93,0.16,BK0429,industry,交运设备
2010-02-02,3233.84,3240.04,3315.73,3201.98,758117.0,695627874.94,3.52,0.13,4.15,0.14,BK0429,industry,交运设备
2010-02-03,3245.75,3349.14,3396.17,3147.32,1380342.0,1159437600.04,7.68,3.37,109.1,0.25,BK0429,industry,交运设备
2010-02-04,3331.55,3444.07,3508.72,3287.74,1920965.0,1672371222.19,6.6,2.83,94.93,0.35,BK0429,industry,交运设备
2010-02-05,3365.32,3297.84,3464.32,3253.33,1561734.0,1345153174.46,6.13,-4.25,-146.23,0.28,BK0429,industry,交运设备
2010-02-08,3288.1,3335.55,3395.71,3249.59,832451.0,714037215.54,4.43,1.14,37.71,0.15,BK0429,industry,交运设备
2010-02-09,3307.28,3304.62,3387.98,3271.1,630419.0,550556994.53,3.5,-0.93,-30.93,0.11,BK0429,industry,交运设备
2010-02-10,3321.63,3309.87,3353.58,3268.33,407987.0,360970604.78,2.58,0.16,5.25,0.07,BK0429,industry,交运设备
2010-02-11,3328.4,3338.56,3416.96,3287.68,576006.0,563463095.51,3.91,0.87,28.69,0.1,BK0429,industry,交运设备
2010-02-12,3342.82,3407.15,3448.74,3316.48,741526.0,694926248.98,3.96,2.05,68.59,0.13,BK0429,industry,交运设备
2010-02-22,3384.04,3405.65,3456.29,3342.9,792819.0,747783112.4,3.33,-0.04,-1.5,0.14,BK0429,industry,交运设备
2010-02-23,3396.68,3482.79,3501.41,3355.58,968804.0,889662438.33,4.28,2.27,77.14,0.18,BK0429,industry,交运设备
