日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-03-01,1004.2,1025.24,1035.89,997.21,19435718.0,18230449769.0,3.87,2.52,25.24,1.47,BK1038,industry,光学光电子
2021-03-02,1027.48,1022.32,1041.41,1005.11,20658735.0,19494327597.0,3.54,-0.28,-2.92,1.56,BK1038,industry,光学光电子
2021-03-03,1020.6,1030.5,1040.17,1007.71,22253135.0,19698164375.0,3.18,0.8,8.18,1.68,BK1038,industry,光学光电子
2021-03-04,1026.59,1023.24,1049.21,1009.94,22340069.0,20711009579.0,3.81,-0.7,-7.26,1.69,BK1038,industry,光学光电子
2021-03-05,1018.48,1039.38,1055.62,1006.7,27354454.0,22505186118.0,4.78,1.58,16.14,2.07,BK1038,industry,光学光电子
2021-03-08,1047.66,1039.77,1076.91,1026.66,32644197.0,28525281713.0,4.83,0.04,0.39,2.46,BK1038,industry,光学光电子
2021-03-09,1040.31,1003.66,1055.39,982.12,32290935.0,28385818088.0,7.05,-3.47,-36.11,2.44,BK1038,industry,光学光电子
2021-03-10,1010.11,991.47,1026.54,975.36,23700837.0,20286352501.0,5.1,-1.21,-12.19,1.79,BK1038,industry,光学光电子
2021-03-11,990.28,1012.27,1023.97,973.41,26022231.0,22126673614.0,5.1,2.1,20.8,1.96,BK1038,industry,光学光电子
2021-03-12,1011.32,1003.99,1028.25,988.44,27205428.0,23209369009.0,3.93,-0.82,-8.28,2.05,BK1038,industry,光学光电子
2021-03-15,1001.18,1001.3,1022.13,980.21,25372732.0,21803793232.0,4.18,-0.27,-2.69,1.92,BK1038,industry,光学光电子
2021-03-16,1002.94,1010.04,1025.05,988.11,21612464.0,20424956743.0,3.69,0.87,8.74,1.63,BK1038,industry,光学光电子
2021-03-17,1006.81,1027.01,1039.2,994.64,29390905.0,26129766051.0,4.41,1.68,16.97,2.22,BK1038,industry,光学光电子
2021-03-18,1024.82,1019.43,1042.54,1003.93,25260244.0,23506120436.0,3.76,-0.74,-7.58,1.91,BK1038,industry,光学光电子
2021-03-19,1010.43,1014.46,1038.13,996.06,23668100.0,22487248773.0,4.13,-0.49,-4.97,1.79,BK1038,industry,光学光电子
2021-03-22,1015.62,1041.61,1051.61,1006.43,33160338.0,30806159682.0,4.45,2.68,27.15,2.5,BK1038,industry,光学光电子
2021-03-23,1042.25,1032.82,1062.58,1018.49,29219984.0,27672727234.0,4.23,-0.84,-8.79,2.21,BK1038,industry,光学光电子
2021-03-24,1027.09,1020.03,1044.31,1007.45,18822465.0,17075018114.0,3.57,-1.24,-12.79,1.42,BK1038,industry,光学光电子
2021-03-25,1015.32,1007.93,1031.62,995.27,22592770.0,19698594880.0,3.56,-1.19,-12.1,1.71,BK1038,industry,光学光电子
2021-03-26,1008.42,1020.06,1031.42,997.6,22710455.0,19775911927.0,3.36,1.2,12.13,1.71,BK1038,industry,光学光电子
2021-03-29,1021.49,1020.29,1040.92,1005.03,19601181.0,17981210057.0,3.52,0.02,0.23,1.48,BK1038,industry,光学光电子
2021-03-30,1019.77,1010.45,1032.58,996.83,19254512.0,17341301122.0,3.5,-0.96,-9.84,1.45,BK1038,industry,光学光电子
2021-03-31,1010.18,1017.5,1031.47,996.42,14960549.0,13874272932.0,3.47,0.7,7.05,1.13,BK1038,industry,光学光电子
2021-04-01,1019.38,1026.38,1041.42,1006.34,15967857.0,16139001307.0,3.45,0.87,8.88,1.21,BK1038,industry,光学光电子
2021-04-02,1027.66,1050.4,1065.56,1017.27,26808223.0,25561467486.0,4.7,2.34,24.02,2.02,BK1038,industry,光学光电子
2021-04-06,1055.79,1062.31,1079.98,1037.84,21791013.0,21046908691.0,4.01,1.13,11.91,1.65,BK1038,industry,光学光电子
2021-04-07,1060.33,1068.38,1082.22,1045.21,29729121.0,26293484690.0,3.48,0.57,6.07,2.24,BK1038,industry,光学光电子
2021-04-08,1064.15,1053.6,1081.4,1044.16,22800383.0,20987352316.0,3.49,-1.38,-14.78,1.72,BK1038,industry,光学光电子
2021-04-09,1052.71,1053.37,1074.08,1037.16,26417781.0,23181447951.0,3.5,-0.02,-0.23,1.99,BK1038,industry,光学光电子
2021-04-12,1053.38,1033.17,1069.13,1020.5,30643872.0,26634177569.0,4.62,-1.92,-20.2,2.31,BK1038,industry,光学光电子
2021-04-13,1032.95,1025.72,1051.21,1011.12,30828209.0,24812914954.0,3.88,-0.72,-7.45,2.33,BK1038,industry,光学光电子
2021-04-14,1022.83,1042.87,1055.7,1011.19,32415908.0,26769864000.0,4.34,1.67,17.15,2.45,BK1038,industry,光学光电子
2021-04-15,1038.92,1032.25,1051.92,1017.75,21633760.0,18038054105.0,3.28,-1.02,-10.62,1.63,BK1038,industry,光学光电子
2021-04-16,1032.47,1051.02,1062.27,1021.19,20220871.0,18122811547.0,3.98,1.82,18.77,1.53,BK1038,industry,光学光电子
2021-04-19,1057.77,1081.75,1096.47,1048.8,29867190.0,27562453154.0,4.54,2.92,30.73,2.26,BK1038,industry,光学光电子
2021-04-20,1082.86,1068.91,1102.35,1056.93,25566527.0,25183273092.0,4.2,-1.19,-12.84,1.93,BK1038,industry,光学光电子
2021-04-21,1063.26,1057.14,1082.26,1040.77,26336672.0,24754370680.0,3.88,-1.1,-11.77,1.99,BK1038,industry,光学光电子
2021-04-22,1058.99,1066.4,1087.26,1045.04,21190409.0,20896934567.0,3.99,0.88,9.26,1.6,BK1038,industry,光学光电子
2021-04-23,1066.03,1056.35,1080.31,1038.51,22436322.0,20908255388.0,3.92,-0.94,-10.05,1.69,BK1038,industry,光学光电子
2021-04-26,1055.77,1055.81,1086.19,1035.72,33270303.0,30755724302.0,4.78,-0.05,-0.54,2.51,BK1038,industry,光学光电子
2021-04-27,1051.91,1038.01,1069.17,1020.98,22711247.0,20537249527.0,4.56,-1.69,-17.8,1.71,BK1038,industry,光学光电子
2021-04-28,1034.3,1031.0,1054.07,1010.3,23407147.0,22111948277.0,4.22,-0.68,-7.01,1.77,BK1038,industry,光学光电子
2021-04-29,1027.43,1022.85,1051.43,1009.72,18340135.0,18516064903.0,4.05,-0.79,-8.15,1.38,BK1038,industry,光学光电子
2021-04-30,1022.56,1016.1,1038.16,1000.26,20133479.0,18523213564.0,3.71,-0.66,-6.75,1.52,BK1038,industry,光学光电子
2021-05-06,1014.43,1017.7,1037.85,999.87,22589700.0,19277528978.0,3.74,0.16,1.6,1.71,BK1038,industry,光学光电子
2021-05-07,1017.82,1006.14,1033.61,993.92,26934420.0,22168844497.0,3.9,-1.14,-11.56,2.03,BK1038,industry,光学光电子
2021-05-10,1005.98,1004.74,1025.96,984.46,17723998.0,15870553542.0,4.12,-0.14,-1.4,1.34,BK1038,industry,光学光电子
2021-05-11,1001.27,1013.5,1025.62,988.44,17997599.0,14894091786.0,3.7,0.87,8.76,1.36,BK1038,industry,光学光电子
2021-05-12,1010.0,1025.67,1036.01,998.05,16767471.0,14470937617.0,3.75,1.2,12.17,1.27,BK1038,industry,光学光电子
2021-05-13,1017.73,1021.54,1043.79,1007.43,20368419.0,17164888241.0,3.55,-0.4,-4.13,1.54,BK1038,industry,光学光电子
2021-05-14,1026.0,1034.13,1045.92,1015.12,19159599.0,16852186045.0,3.02,1.23,12.59,1.45,BK1038,industry,光学光电子
