日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,4233.13,4203.15,4273.4,4180.42,2176193.0,2632198888.86,2.2,-0.35,-14.88,0.72,BK0427,industry,公用事业
2010-01-05,4210.73,4215.65,4237.09,4145.4,2104672.0,2452864481.48,2.18,0.3,12.5,0.7,BK0427,industry,公用事业
2010-01-06,4223.35,4219.31,4294.89,4200.22,2575356.0,3023911707.55,2.25,0.09,3.66,0.86,BK0427,industry,公用事业
2010-01-07,4216.0,4122.24,4231.71,4101.41,2027523.0,2321564717.52,3.09,-2.3,-97.07,0.67,BK0427,industry,公用事业
2010-01-08,4103.79,4147.87,4161.66,4065.79,1374845.0,1512191554.84,2.33,0.62,25.63,0.46,BK0427,industry,公用事业
2010-01-11,4193.38,4149.89,4229.28,4114.94,1695380.0,1888468802.09,2.76,0.05,2.02,0.56,BK0427,industry,公用事业
2010-01-12,4158.56,4233.69,4243.35,4118.63,2147446.0,2692477519.15,3.01,2.02,83.8,0.71,BK0427,industry,公用事业
2010-01-13,4157.12,4165.72,4245.37,4130.19,1987189.0,2367124343.13,2.72,-1.61,-67.97,0.66,BK0427,industry,公用事业
2010-01-14,4169.48,4238.51,4258.71,4153.65,2066542.0,2350538930.52,2.52,1.75,72.79,0.69,BK0427,industry,公用事业
2010-01-15,4240.78,4264.85,4293.09,4203.85,2365478.0,2677278061.19,2.11,0.62,26.34,0.79,BK0427,industry,公用事业
2010-01-18,4261.47,4328.84,4345.92,4234.53,2475023.0,2809560603.99,2.61,1.5,63.99,0.82,BK0427,industry,公用事业
2010-01-19,4348.36,4314.61,4372.24,4278.85,2194242.0,2530830964.83,2.16,-0.33,-14.23,0.73,BK0427,industry,公用事业
2010-01-20,4321.89,4216.85,4354.11,4188.56,2714442.0,3086801931.43,3.84,-2.27,-97.76,0.9,BK0427,industry,公用事业
2010-01-21,4223.81,4285.03,4322.82,4187.31,2556655.0,2932114585.45,3.21,1.62,68.18,0.85,BK0427,industry,公用事业
2010-01-22,4242.0,4194.88,4300.09,4126.07,2905225.0,3325994991.2,4.06,-2.1,-90.15,0.96,BK0427,industry,公用事业
2010-01-25,4175.67,4122.52,4224.76,4105.49,1595678.0,1699147361.15,2.84,-1.72,-72.36,0.53,BK0427,industry,公用事业
2010-01-26,4124.15,3966.61,4158.43,3928.63,1868464.0,2019093118.18,5.57,-3.78,-155.91,0.62,BK0427,industry,公用事业
2010-01-27,3971.02,3937.62,4019.62,3902.36,1325064.0,1417930553.97,2.96,-0.73,-28.99,0.44,BK0427,industry,公用事业
2010-01-28,3950.86,3968.68,4006.93,3923.36,1279713.0,1371734842.46,2.12,0.79,31.06,0.42,BK0427,industry,公用事业
2010-01-29,3953.07,3954.02,4010.49,3916.25,1341033.0,1457805549.99,2.37,-0.37,-14.66,0.45,BK0427,industry,公用事业
2010-02-01,3951.42,3924.08,4003.42,3835.43,1454276.0,1436437355.53,4.25,-0.76,-29.94,0.48,BK0427,industry,公用事业
2010-02-02,3931.49,3886.68,3979.96,3870.64,1131406.0,1177688167.5,2.79,-0.95,-37.4,0.38,BK0427,industry,公用事业
2010-02-03,3914.03,4017.53,4026.67,3841.5,2181129.0,2057382514.59,4.76,3.37,130.85,0.72,BK0427,industry,公用事业
2010-02-04,4021.87,4085.39,4124.17,3975.96,3097616.0,2882519173.53,3.69,1.69,67.86,1.03,BK0427,industry,公用事业
2010-02-05,4038.19,4044.77,4154.21,3949.44,3563901.0,3304526967.73,5.01,-0.99,-40.62,1.18,BK0427,industry,公用事业
2010-02-08,4026.79,4066.34,4116.76,3987.63,1840671.0,1758259301.6,3.19,0.53,21.57,0.61,BK0427,industry,公用事业
2010-02-09,4038.43,4075.41,4126.84,3999.17,1736162.0,1654042827.38,3.14,0.22,9.07,0.58,BK0427,industry,公用事业
2010-02-10,4095.23,4102.0,4137.76,4037.97,1498638.0,1588836509.63,2.45,0.65,26.59,0.5,BK0427,industry,公用事业
2010-02-11,4100.33,4065.9,4129.82,4041.01,1305053.0,1468218123.76,2.17,-0.88,-36.1,0.43,BK0427,industry,公用事业
2010-02-12,4074.78,4097.95,4125.61,4052.92,1183730.0,1328348367.62,1.79,0.79,32.05,0.39,BK0427,industry,公用事业
2010-02-22,4093.6,4105.19,4152.29,4053.35,1386753.0,1428199697.11,2.41,0.18,7.24,0.46,BK0427,industry,公用事业
