日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,992.78,970.59,997.47,965.93,3031117.0,4234959280.0,3.15,-2.94,-29.41,1.07,BK0730,industry,农药兽药
2015-12-10,967.05,968.03,979.73,961.5,2656358.0,3812048160.0,1.88,-0.26,-2.56,0.94,BK0730,industry,农药兽药
2015-12-11,967.51,955.02,968.67,951.59,1833241.0,2654544688.0,1.76,-1.34,-13.01,0.65,BK0730,industry,农药兽药
2015-12-14,944.31,967.32,968.42,940.73,1669117.0,2378110512.0,2.9,1.29,12.3,0.59,BK0730,industry,农药兽药
2015-12-15,969.34,975.25,981.01,968.8,1716393.0,2666399056.0,1.26,0.82,7.93,0.61,BK0730,industry,农药兽药
2015-12-16,979.89,981.3,987.2,972.99,2235912.0,3276554992.0,1.46,0.62,6.05,0.79,BK0730,industry,农药兽药
2015-12-17,986.5,1013.08,1013.09,985.62,3398859.0,5424438528.0,2.8,3.24,31.78,1.2,BK0730,industry,农药兽药
2015-12-18,1012.2,1005.72,1018.98,997.71,2667429.0,4243345632.0,2.1,-0.73,-7.36,0.94,BK0730,industry,农药兽药
2015-12-21,1005.75,1013.88,1016.95,1003.32,2352948.0,3756774992.0,1.36,0.81,8.16,0.83,BK0730,industry,农药兽药
2015-12-22,1014.38,1011.42,1018.61,1002.13,2238001.0,3526873648.0,1.63,-0.24,-2.46,0.79,BK0730,industry,农药兽药
2015-12-23,1012.76,1008.47,1023.56,1003.46,2761687.0,4236744528.0,1.99,-0.29,-2.95,0.98,BK0730,industry,农药兽药
2015-12-24,1005.85,1012.35,1012.97,987.38,2169541.0,3500667472.0,2.54,0.38,3.88,0.77,BK0730,industry,农药兽药
2015-12-25,1012.12,1019.65,1022.64,1004.78,2267651.0,3596869520.0,1.76,0.72,7.3,0.8,BK0730,industry,农药兽药
2015-12-28,1024.21,998.17,1031.19,998.17,2833064.0,4639350016.0,3.24,-2.11,-21.48,1.0,BK0730,industry,农药兽药
2015-12-29,998.24,1015.11,1015.34,987.32,1769626.0,2781138032.0,2.81,1.7,16.94,0.63,BK0730,industry,农药兽药
2015-12-30,1019.04,1016.64,1020.72,1006.44,1947093.0,2930986240.0,1.41,0.15,1.53,0.69,BK0730,industry,农药兽药
2015-12-31,1016.03,999.93,1017.23,998.53,1798047.0,2869801776.0,1.84,-1.64,-16.71,0.64,BK0730,industry,农药兽药
2016-01-04,998.73,922.47,999.78,922.32,1657211.0,2445085248.0,7.75,-7.75,-77.46,0.59,BK0730,industry,农药兽药
2016-01-05,872.32,889.62,920.14,861.39,2414521.0,3327689280.0,6.37,-3.56,-32.85,0.85,BK0730,industry,农药兽药
2016-01-06,896.85,912.13,912.83,888.06,1675003.0,2454586208.0,2.78,2.53,22.51,0.59,BK0730,industry,农药兽药
2016-01-07,897.18,835.0,897.18,833.27,469819.0,640522608.0,7.01,-8.46,-77.13,0.17,BK0730,industry,农药兽药
2016-01-08,844.34,845.59,865.85,801.5,2113570.0,2732658336.0,7.71,1.27,10.59,0.75,BK0730,industry,农药兽药
2016-01-11,824.58,779.51,843.86,779.37,1841979.0,2327727136.0,7.63,-7.81,-66.08,0.65,BK0730,industry,农药兽药
2016-01-12,777.54,785.86,796.39,765.13,1498699.0,1869576912.0,4.01,0.81,6.35,0.53,BK0730,industry,农药兽药
2016-01-13,791.1,748.83,796.95,748.63,1544469.0,1836757824.0,6.15,-4.71,-37.03,0.55,BK0730,industry,农药兽药
2016-01-14,728.11,769.11,772.36,722.51,1854961.0,2216122368.0,6.66,2.71,20.28,0.66,BK0730,industry,农药兽药
2016-01-15,765.49,746.13,776.23,737.74,1736688.0,2119702224.0,5.0,-2.99,-22.98,0.61,BK0730,industry,农药兽药
2016-01-18,728.39,761.29,771.06,728.18,1236609.0,1497579504.0,5.75,2.03,15.16,0.44,BK0730,industry,农药兽药
2016-01-19,759.66,790.68,791.65,757.85,1500292.0,1889489312.0,4.44,3.86,29.39,0.53,BK0730,industry,农药兽药
2016-01-20,784.15,782.94,798.56,775.54,1330515.0,1744121040.0,2.91,-0.98,-7.74,0.47,BK0730,industry,农药兽药
2016-01-21,773.05,760.03,789.65,760.03,1092943.0,1571527344.0,3.78,-2.93,-22.91,0.39,BK0730,industry,农药兽药
2016-01-22,766.79,766.56,772.51,749.35,1008453.0,1402188000.0,3.05,0.86,6.53,0.36,BK0730,industry,农药兽药
2016-01-25,772.19,774.7,779.87,766.79,927013.0,1381107008.0,1.71,1.06,8.14,0.33,BK0730,industry,农药兽药
2016-01-26,766.68,723.92,770.39,722.53,1299471.0,1670509264.0,6.18,-6.55,-50.78,0.46,BK0730,industry,农药兽药
2016-01-27,729.37,717.3,730.44,688.95,1326233.0,1590018992.0,5.73,-0.91,-6.62,0.47,BK0730,industry,农药兽药
2016-01-28,698.53,680.16,707.78,678.9,976971.0,1180677888.0,4.03,-5.18,-37.14,0.35,BK0730,industry,农药兽药
2016-01-29,670.19,696.41,699.03,666.52,1900032.0,1842895856.0,4.78,2.39,16.25,0.67,BK0730,industry,农药兽药
2016-02-01,689.01,679.86,692.4,672.97,1312308.0,1307892400.0,2.79,-2.38,-16.55,0.46,BK0730,industry,农药兽药
2016-02-02,676.48,701.9,702.84,676.48,1322789.0,1426737936.0,3.88,3.24,22.04,0.47,BK0730,industry,农药兽药
2016-02-03,692.68,704.37,705.13,682.83,1067968.0,1161338480.0,3.18,0.35,2.47,0.38,BK0730,industry,农药兽药
2016-02-04,705.89,722.11,726.5,705.89,1302168.0,1487864496.0,2.93,2.52,17.74,0.46,BK0730,industry,农药兽药
2016-02-05,723.69,723.46,730.71,718.58,1105706.0,1361232640.0,1.68,0.19,1.35,0.39,BK0730,industry,农药兽药
2016-02-15,698.92,726.86,729.81,694.3,1039660.0,1168656704.0,4.91,0.47,3.4,0.37,BK0730,industry,农药兽药
2016-02-16,728.45,753.13,755.45,728.45,1367590.0,1653553392.0,3.71,3.61,26.27,0.48,BK0730,industry,农药兽药
2016-02-17,751.12,762.11,763.3,741.63,1380977.0,1650272048.0,2.88,1.19,8.98,0.49,BK0730,industry,农药兽药
2016-02-18,764.91,760.15,770.82,757.2,1578348.0,1963326848.0,1.79,-0.26,-1.96,0.56,BK0730,industry,农药兽药
2016-02-19,755.92,764.97,769.05,754.18,1250388.0,1575583552.0,1.96,0.63,4.82,0.44,BK0730,industry,农药兽药
2016-02-22,773.9,783.99,783.99,769.36,1577263.0,2093643520.0,1.91,2.49,19.02,0.56,BK0730,industry,农药兽药
2016-02-23,786.8,783.41,788.11,770.03,1526483.0,1904826640.0,2.31,-0.07,-0.58,0.54,BK0730,industry,农药兽药
2016-02-24,781.24,785.51,787.83,768.91,1476074.0,1991025504.0,2.42,0.27,2.1,0.52,BK0730,industry,农药兽药
2016-02-25,781.73,718.82,781.87,716.58,1839873.0,2254159216.0,8.31,-8.49,-66.69,0.65,BK0730,industry,农药兽药
2016-02-26,727.22,721.57,729.65,704.22,1321599.0,1535323776.0,3.54,0.38,2.75,0.47,BK0730,industry,农药兽药
2016-02-29,719.47,693.03,719.84,685.89,1228461.0,1473768224.0,4.71,-3.96,-28.54,0.43,BK0730,industry,农药兽药
2016-03-01,692.99,706.01,708.57,684.46,1126764.0,1443143824.0,3.48,1.87,12.98,0.4,BK0730,industry,农药兽药
2016-03-02,706.01,733.41,735.82,703.97,1538540.0,2010888000.0,4.51,3.88,27.4,0.54,BK0730,industry,农药兽药
2016-03-03,741.59,754.45,762.47,738.98,1947929.0,2339294352.0,3.2,2.87,21.04,0.69,BK0730,industry,农药兽药
2016-03-04,750.99,725.57,757.45,717.75,1810743.0,2052333568.0,5.26,-3.83,-28.88,0.64,BK0730,industry,农药兽药
2016-03-07,733.26,739.8,748.41,732.02,1233645.0,1489403696.0,2.26,1.96,14.23,0.44,BK0730,industry,农药兽药
2016-03-08,740.62,748.31,748.31,711.71,1480073.0,1784291456.0,4.95,1.15,8.51,0.52,BK0730,industry,农药兽药
2016-03-09,733.96,735.25,749.36,728.15,1288455.0,1701430224.0,2.83,-1.75,-13.06,0.46,BK0730,industry,农药兽药
2016-03-10,730.46,715.75,734.49,713.91,1072034.0,1336196912.0,2.8,-2.65,-19.5,0.38,BK0730,industry,农药兽药
2016-03-11,705.88,713.88,718.78,703.06,801042.0,922600992.0,2.2,-0.26,-1.87,0.28,BK0730,industry,农药兽药
2016-03-14,721.62,734.98,743.8,721.62,1368481.0,1741355520.0,3.11,2.96,21.1,0.48,BK0730,industry,农药兽药
2016-03-15,732.41,732.59,741.67,728.67,1028986.0,1366741424.0,1.77,-0.33,-2.39,0.36,BK0730,industry,农药兽药
2016-03-16,737.53,722.04,741.06,719.66,920081.0,1199345584.0,2.92,-1.44,-10.55,0.33,BK0730,industry,农药兽药
2016-03-17,723.86,747.24,748.5,723.86,1467686.0,1972225760.0,3.41,3.49,25.2,0.52,BK0730,industry,农药兽药
2016-03-18,751.9,775.39,777.56,750.13,1947629.0,2454541328.0,3.67,3.77,28.15,0.69,BK0730,industry,农药兽药
2016-03-21,781.5,790.35,791.34,781.17,2864444.0,4823529472.0,1.31,1.93,14.96,1.01,BK0730,industry,农药兽药
2016-03-22,785.24,797.0,804.2,781.49,2313766.0,3787616112.0,2.87,0.84,6.65,0.82,BK0730,industry,农药兽药
2016-03-23,791.8,810.7,811.37,790.05,2278175.0,3521713040.0,2.68,1.72,13.7,0.81,BK0730,industry,农药兽药
2016-03-24,804.2,805.08,819.26,797.82,2450702.0,4099757872.0,2.64,-0.69,-5.62,0.87,BK0730,industry,农药兽药
2016-03-25,803.06,814.41,814.88,801.56,1659290.0,2791832832.0,1.65,1.16,9.33,0.59,BK0730,industry,农药兽药
2016-03-28,815.87,804.63,825.25,803.02,1796458.0,2763356720.0,2.73,-1.2,-9.78,0.64,BK0730,industry,农药兽药
2016-03-29,803.04,787.39,805.89,781.83,1556841.0,2319674208.0,2.99,-2.14,-17.24,0.55,BK0730,industry,农药兽药
2016-03-30,793.3,814.39,815.01,793.3,1874836.0,3078137264.0,2.76,3.43,27.0,0.66,BK0730,industry,农药兽药
2016-03-31,819.65,826.81,830.17,814.81,2310498.0,4093637648.0,1.89,1.53,12.42,0.82,BK0730,industry,农药兽药
2016-04-01,820.72,829.82,830.58,812.88,2106891.0,3415689792.0,2.14,0.36,3.01,0.75,BK0730,industry,农药兽药
2016-04-05,830.26,845.65,850.69,827.91,2169895.0,3555498992.0,2.75,1.91,15.83,0.77,BK0730,industry,农药兽药
2016-04-06,844.5,852.96,853.35,841.17,2188637.0,3911295280.0,1.44,0.86,7.31,0.77,BK0730,industry,农药兽药
2016-04-07,853.14,838.26,858.73,837.89,2251147.0,3931483728.0,2.44,-1.72,-14.7,0.8,BK0730,industry,农药兽药
2016-04-08,830.92,831.32,832.91,819.34,1897035.0,3081428432.0,1.62,-0.83,-6.94,0.67,BK0730,industry,农药兽药
2016-04-11,836.52,846.87,849.79,835.18,2150036.0,3351110752.0,1.76,1.87,15.55,0.76,BK0730,industry,农药兽药
2016-04-12,846.72,837.48,849.15,826.94,2035127.0,3146989904.0,2.62,-1.11,-9.39,0.72,BK0730,industry,农药兽药
