日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,992.95,995.29,1004.08,984.39,4163014.0,5810454016.0,1.97,-0.47,-4.71,2.0,BK0733,industry,包装材料
2015-12-10,993.42,992.45,1008.12,990.34,4653975.0,6171418624.0,1.79,-0.29,-2.84,2.23,BK0733,industry,包装材料
2015-12-11,977.26,971.81,981.91,968.37,4346240.0,5569605376.0,1.36,-2.08,-20.64,2.09,BK0733,industry,包装材料
2015-12-14,951.26,971.0,971.38,942.24,3393708.0,4613501440.0,3.0,-0.08,-0.81,1.63,BK0733,industry,包装材料
2015-12-15,964.62,976.64,982.47,963.14,7037996.0,9526818048.0,1.99,0.58,5.64,3.38,BK0733,industry,包装材料
2015-12-16,979.48,982.39,988.83,974.59,5409812.0,7468900352.0,1.46,0.59,5.75,2.6,BK0733,industry,包装材料
2015-12-17,990.09,1012.59,1012.59,987.57,5945869.0,8643708416.0,2.55,3.07,30.2,2.85,BK0733,industry,包装材料
2015-12-18,1011.1,1010.14,1021.54,1003.97,5045326.0,8139954176.0,1.74,-0.24,-2.45,2.42,BK0733,industry,包装材料
2015-12-21,1006.33,1011.73,1011.94,1002.0,4059414.0,6174441472.0,0.98,0.16,1.59,1.95,BK0733,industry,包装材料
2015-12-22,1012.4,1017.3,1017.38,999.93,3858202.0,5759755008.0,1.72,0.55,5.57,1.85,BK0733,industry,包装材料
2015-12-23,1018.22,996.41,1019.97,994.17,4956062.0,7482967808.0,2.54,-2.05,-20.89,2.38,BK0733,industry,包装材料
2015-12-24,992.78,991.24,995.67,974.06,3406803.0,5267588608.0,2.17,-0.52,-5.17,1.64,BK0733,industry,包装材料
2015-12-25,993.66,1004.14,1004.63,993.52,2957071.0,4795696896.0,1.12,1.3,12.9,1.42,BK0733,industry,包装材料
2015-12-28,1009.9,982.72,1014.17,982.72,4836087.0,7726212608.0,3.13,-2.13,-21.42,2.32,BK0733,industry,包装材料
2015-12-29,980.35,996.61,996.96,976.76,3412513.0,5308778496.0,2.06,1.41,13.89,1.64,BK0733,industry,包装材料
2015-12-30,998.52,1006.64,1009.61,996.84,3485075.0,6066192384.0,1.28,1.01,10.03,1.67,BK0733,industry,包装材料
2015-12-31,1008.76,996.84,1017.27,996.46,3829289.0,6360304128.0,2.07,-0.97,-9.8,1.84,BK0733,industry,包装材料
2016-01-04,994.74,920.95,1000.63,918.25,3756812.0,5825048832.0,8.26,-7.61,-75.89,1.8,BK0733,industry,包装材料
2016-01-05,878.83,908.2,926.6,872.67,5651190.0,8993232640.0,5.86,-1.38,-12.75,2.71,BK0733,industry,包装材料
2016-01-06,911.96,925.95,926.9,899.67,4529300.0,7760812544.0,3.0,1.95,17.75,2.17,BK0733,industry,包装材料
2016-01-07,906.93,843.34,907.0,842.76,1023415.0,1567134528.0,6.94,-8.92,-82.61,0.49,BK0733,industry,包装材料
2016-01-08,861.72,842.33,873.65,793.31,4341300.0,6494671872.0,9.53,-0.12,-1.01,2.08,BK0733,industry,包装材料
2016-01-11,821.06,771.61,827.68,769.75,3776385.0,5078179072.0,6.88,-8.4,-70.72,1.81,BK0733,industry,包装材料
