日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,8409.19,8373.98,8522.75,8282.83,5560668.0,8999196305.54,2.86,-0.15,-12.92,0.57,BK0465,industry,化学制药
2010-01-05,8370.98,8430.57,8502.09,8234.93,5976410.0,9587684991.58,3.19,0.68,56.59,0.61,BK0465,industry,化学制药
2010-01-06,8427.81,8435.55,8589.93,8329.52,6936497.0,11046451174.29,3.09,0.06,4.98,0.71,BK0465,industry,化学制药
2010-01-07,8418.32,8214.61,8492.26,8152.92,6204345.0,9531321459.7,4.02,-2.62,-220.94,0.64,BK0465,industry,化学制药
2010-01-08,8175.51,8262.55,8326.64,8077.74,4487940.0,7325066713.48,3.03,0.58,47.94,0.46,BK0465,industry,化学制药
2010-01-11,8316.76,8246.72,8427.25,8127.94,5605949.0,8818939993.82,3.62,-0.19,-15.83,0.58,BK0465,industry,化学制药
2010-01-12,8255.07,8475.09,8536.87,8181.17,8234597.0,15737910139.19,4.31,2.77,228.37,0.85,BK0465,industry,化学制药
2010-01-13,8323.98,8495.15,8647.27,8249.42,8912829.0,15615727809.35,4.69,0.24,20.06,0.91,BK0465,industry,化学制药
2010-01-14,8498.56,8733.19,8802.41,8446.53,9733512.0,16180681207.15,4.19,2.8,238.04,1.0,BK0465,industry,化学制药
2010-01-15,8742.4,8766.04,8908.77,8636.17,8049008.0,13237706531.12,3.12,0.38,32.85,0.83,BK0465,industry,化学制药
2010-01-18,8762.59,8936.06,9011.69,8684.08,8655055.0,14135694203.4,3.74,1.94,170.02,0.89,BK0465,industry,化学制药
2010-01-19,8943.21,8914.88,9074.98,8776.06,8571385.0,13893021840.44,3.35,-0.24,-21.18,0.88,BK0465,industry,化学制药
2010-01-20,8908.65,8625.35,9042.65,8544.41,10007039.0,16201085761.48,5.59,-3.25,-289.53,1.03,BK0465,industry,化学制药
2010-01-21,8618.52,8655.23,8787.48,8480.09,6107385.0,9693844917.69,3.56,0.35,29.88,0.63,BK0465,industry,化学制药
2010-01-22,8563.76,8497.57,8702.41,8282.11,7482456.0,11760677551.62,4.86,-1.82,-157.66,0.77,BK0465,industry,化学制药
2010-01-25,8437.48,8401.27,8599.48,8308.66,4764004.0,7129225115.81,3.42,-1.13,-96.3,0.49,BK0465,industry,化学制药
2010-01-26,8402.12,8125.82,8506.69,8032.8,5993970.0,9342135559.29,5.64,-3.28,-275.45,0.62,BK0465,industry,化学制药
2010-01-27,8116.45,8076.59,8267.06,7941.38,4405036.0,6978453685.36,4.01,-0.61,-49.23,0.45,BK0465,industry,化学制药
2010-01-28,8068.89,8231.08,8298.69,7989.9,4298711.0,7297933430.71,3.82,1.91,154.49,0.44,BK0465,industry,化学制药
2010-01-29,8214.4,8412.81,8563.9,8140.94,6087541.0,9543508805.44,5.14,2.21,181.73,0.62,BK0465,industry,化学制药
2010-02-01,8387.31,8451.65,8595.79,8226.43,6473869.0,11158974104.71,4.39,0.46,38.84,0.66,BK0465,industry,化学制药
2010-02-02,8463.47,8362.42,8589.05,8300.38,5051949.0,8269884676.07,3.42,-1.06,-89.23,0.52,BK0465,industry,化学制药
2010-02-03,8361.57,8366.42,8490.65,8018.42,6380442.0,10578120482.61,5.65,0.05,4.0,0.65,BK0465,industry,化学制药
2010-02-04,8339.05,8444.45,8575.27,8233.53,6658177.0,10233853343.53,4.08,0.93,78.03,0.68,BK0465,industry,化学制药
2010-02-05,8292.29,8304.1,8496.07,8144.79,5940264.0,9159069183.67,4.16,-1.66,-140.35,0.61,BK0465,industry,化学制药
2010-02-08,8290.96,8306.08,8447.11,8165.38,4437568.0,6700558271.96,3.39,0.02,1.98,0.46,BK0465,industry,化学制药
2010-02-09,8287.16,8287.92,8409.22,8185.3,3469055.0,5323776381.73,2.7,-0.22,-18.16,0.36,BK0465,industry,化学制药
2010-02-10,8318.15,8364.81,8434.56,8228.48,3374952.0,5798886736.26,2.49,0.93,76.89,0.35,BK0465,industry,化学制药
2010-02-11,8372.14,8373.0,8484.6,8278.43,3695678.0,6355531446.0,2.46,0.1,8.19,0.38,BK0465,industry,化学制药
2010-02-12,8388.89,8459.76,8541.53,8333.37,3638151.0,6279279068.79,2.49,1.04,86.76,0.37,BK0465,industry,化学制药
2010-02-22,8448.53,8470.73,8606.39,8349.65,4067129.0,6307955817.74,3.03,0.13,10.97,0.42,BK0465,industry,化学制药
2010-02-23,8467.11,8568.77,8631.44,8335.72,4694682.0,7545042613.95,3.49,1.16,98.04,0.48,BK0465,industry,化学制药
2010-02-24,8554.65,8820.19,8897.16,8494.33,7584045.0,11973533302.45,4.7,2.93,251.42,0.78,BK0465,industry,化学制药
2010-02-25,8833.27,8891.93,8985.94,8737.93,7640626.0,12614594897.62,2.81,0.81,71.74,0.78,BK0465,industry,化学制药
2010-02-26,8877.75,8974.92,9134.13,8804.16,7774167.0,13271861892.6,3.71,0.93,82.99,0.8,BK0465,industry,化学制药
2010-03-01,8979.21,9054.5,9162.21,8887.9,7670157.0,12664020773.95,3.06,0.89,79.58,0.79,BK0465,industry,化学制药
2010-03-02,9059.65,9008.27,9166.3,8899.81,7128308.0,11195821404.54,2.94,-0.51,-46.23,0.73,BK0465,industry,化学制药
2010-03-03,8993.27,9080.0,9155.17,8875.45,6835621.0,10477324659.32,3.11,0.8,71.73,0.7,BK0465,industry,化学制药
2010-03-04,9074.08,8784.69,9177.32,8718.4,7478412.0,11991530851.35,5.05,-3.25,-295.31,0.77,BK0465,industry,化学制药
2010-03-05,8785.49,8821.89,8935.72,8686.44,4771543.0,8296027446.69,2.84,0.42,37.2,0.49,BK0465,industry,化学制药
