日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-10-12,1001.11,976.54,1005.72,960.27,23448978.0,26709331968.0,4.55,-2.35,-23.46,2.45,BK1019,industry,化学原料
2021-10-13,975.91,963.76,975.91,947.5,21836635.0,22636909056.0,2.91,-1.31,-12.78,2.28,BK1019,industry,化学原料
2021-10-14,953.26,966.66,970.99,942.61,19154686.0,20378768384.0,2.94,0.3,2.9,2.0,BK1019,industry,化学原料
2021-10-15,963.43,956.13,963.43,945.0,18767478.0,20317663232.0,1.91,-1.09,-10.53,1.96,BK1019,industry,化学原料
2021-10-18,956.43,986.56,986.56,954.66,22022096.0,23508862464.0,3.34,3.18,30.43,2.3,BK1019,industry,化学原料
2021-10-19,984.97,999.72,1004.61,979.42,23330148.0,26553100544.0,2.55,1.33,13.16,2.44,BK1019,industry,化学原料
2021-10-20,982.29,993.08,1001.68,973.21,24478978.0,27082351872.0,2.85,-0.66,-6.64,2.56,BK1019,industry,化学原料
2021-10-21,994.33,1014.85,1024.32,994.03,25512808.0,30997564160.0,3.05,2.19,21.77,2.67,BK1019,industry,化学原料
2021-10-22,1010.48,985.75,1021.07,985.75,29484009.0,32891705344.0,3.48,-2.87,-29.1,3.08,BK1019,industry,化学原料
2021-10-25,980.72,1003.53,1003.53,980.3,20011987.0,24694500096.0,2.36,1.8,17.78,2.09,BK1019,industry,化学原料
2021-10-26,1007.19,994.85,1014.5,991.23,24707816.0,28552601856.0,2.32,-0.86,-8.68,2.58,BK1019,industry,化学原料
2021-10-27,990.43,991.68,995.45,975.72,24703446.0,30097590272.0,1.98,-0.32,-3.17,2.58,BK1019,industry,化学原料
2021-10-28,990.9,946.54,990.9,945.3,26097481.0,31878038528.0,4.6,-4.55,-45.14,2.73,BK1019,industry,化学原料
2021-10-29,949.55,958.5,964.24,945.24,23220658.0,27694186496.0,2.01,1.26,11.96,2.43,BK1019,industry,化学原料
2021-11-01,957.85,969.03,977.19,955.07,21807110.0,26428863744.0,2.31,1.1,10.53,2.28,BK1019,industry,化学原料
2021-11-02,968.88,928.02,969.1,919.33,25957782.0,30557725952.0,5.14,-4.23,-41.01,2.71,BK1019,industry,化学原料
2021-11-03,927.0,929.75,929.77,907.69,19038557.0,21905580032.0,2.38,0.19,1.73,1.99,BK1019,industry,化学原料
2021-11-04,930.72,936.73,938.07,926.8,18787764.0,23398118656.0,1.21,0.75,6.98,1.96,BK1019,industry,化学原料
