日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,5544.61,5543.86,5619.12,5461.38,1660265.0,1746510846.89,2.86,0.59,32.71,0.36,BK0471,industry,化纤行业
2010-01-05,5549.95,5596.72,5650.09,5454.98,2119137.0,2164379318.86,3.52,0.95,52.86,0.46,BK0471,industry,化纤行业
2010-01-06,5591.97,5618.79,5745.78,5533.13,2305508.0,2481518619.14,3.8,0.39,22.07,0.5,BK0471,industry,化纤行业
2010-01-07,5616.95,5587.18,5752.96,5510.27,2656520.0,2651176975.4,4.32,-0.56,-31.61,0.57,BK0471,industry,化纤行业
2010-01-08,5562.87,5658.76,5696.45,5461.42,2367895.0,2259487075.22,4.21,1.28,71.58,0.51,BK0471,industry,化纤行业
2010-01-11,5697.24,5700.15,5803.5,5580.43,2763458.0,2771018019.27,3.94,0.73,41.39,0.59,BK0471,industry,化纤行业
2010-01-12,5691.16,5880.48,5927.97,5621.61,2827990.0,3204516435.21,5.37,3.16,180.33,0.61,BK0471,industry,化纤行业
2010-01-13,5786.46,5985.99,6080.9,5741.2,4699544.0,4747010870.96,5.78,1.79,105.51,1.01,BK0471,industry,化纤行业
2010-01-14,5979.54,6046.23,6129.27,5895.54,3619773.0,3692557033.27,3.9,1.01,60.24,0.78,BK0471,industry,化纤行业
2010-01-15,6047.74,6022.21,6179.48,5925.97,2989346.0,3245057312.97,4.19,-0.4,-24.02,0.64,BK0471,industry,化纤行业
2010-01-18,6001.66,6073.26,6127.1,5931.0,2420088.0,2667645070.83,3.26,0.85,51.05,0.52,BK0471,industry,化纤行业
2010-01-19,6074.81,6036.66,6149.85,5936.81,2591272.0,2933582832.82,3.51,-0.6,-36.6,0.56,BK0471,industry,化纤行业
2010-01-20,6033.57,5740.39,6069.0,5714.45,2889628.0,3009214276.81,5.87,-4.91,-296.27,0.62,BK0471,industry,化纤行业
2010-01-21,5737.8,5761.77,5838.92,5646.23,1718516.0,1834134095.6,3.36,0.37,21.38,0.37,BK0471,industry,化纤行业
2010-01-22,5713.6,5668.17,5831.44,5505.65,2312874.0,2409314058.35,5.65,-1.62,-93.6,0.5,BK0471,industry,化纤行业
2010-01-25,5635.4,5556.19,5732.4,5529.39,1392288.0,1492085305.86,3.58,-1.98,-111.98,0.3,BK0471,industry,化纤行业
2010-01-26,5563.75,5280.54,5618.93,5227.12,1609223.0,1566014574.86,7.05,-4.96,-275.65,0.35,BK0471,industry,化纤行业
2010-01-27,5276.98,5251.81,5371.48,5175.83,1046310.0,1014318472.33,3.71,-0.54,-28.73,0.23,BK0471,industry,化纤行业
2010-01-28,5246.07,5305.65,5359.04,5198.92,993131.0,966951615.97,3.05,1.03,53.84,0.21,BK0471,industry,化纤行业
2010-01-29,5301.29,5335.71,5419.56,5244.23,1170781.0,1177666454.47,3.3,0.57,30.06,0.25,BK0471,industry,化纤行业
2010-02-01,5326.31,5159.57,5368.44,5078.58,1325584.0,1209935712.83,5.43,-3.3,-176.14,0.29,BK0471,industry,化纤行业
2010-02-02,5199.61,5149.87,5285.89,5118.34,1105587.0,1016891555.65,3.25,-0.19,-9.7,0.24,BK0471,industry,化纤行业
2010-02-03,5160.75,5241.18,5271.43,4970.86,1476650.0,1354086275.84,5.84,1.77,91.31,0.32,BK0471,industry,化纤行业
