日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,994.81,1010.66,1013.09,994.01,4079099.0,5308614912.0,1.91,1.07,10.66,1.27,BK0731,industry,化肥行业
2015-12-10,1005.88,994.43,1010.28,993.19,3975142.0,4876369664.0,1.69,-1.61,-16.23,1.24,BK0731,industry,化肥行业
2015-12-11,992.36,995.13,1002.85,983.88,3534648.0,3919376016.0,1.91,0.07,0.7,1.1,BK0731,industry,化肥行业
2015-12-14,985.48,1012.9,1012.9,984.17,3076525.0,3527120672.0,2.89,1.79,17.77,0.96,BK0731,industry,化肥行业
2015-12-15,1013.37,1016.59,1022.9,1013.1,2891494.0,3566964816.0,0.97,0.36,3.69,0.9,BK0731,industry,化肥行业
2015-12-16,1019.88,1022.79,1030.56,1019.41,3264539.0,3824374608.0,1.1,0.61,6.2,1.02,BK0731,industry,化肥行业
2015-12-17,1028.93,1046.86,1046.86,1028.45,4589020.0,5718369280.0,1.8,2.35,24.07,1.43,BK0731,industry,化肥行业
2015-12-18,1046.34,1048.05,1055.63,1040.62,4288780.0,5428695296.0,1.43,0.11,1.19,1.34,BK0731,industry,化肥行业
2015-12-21,1043.24,1060.45,1061.56,1042.77,4765885.0,5877736448.0,1.79,1.18,12.4,1.48,BK0731,industry,化肥行业
2015-12-22,1062.66,1075.1,1075.1,1055.82,4913855.0,5974122240.0,1.82,1.38,14.65,1.53,BK0731,industry,化肥行业
2015-12-23,1075.36,1058.57,1077.48,1057.51,4861378.0,6082792704.0,1.86,-1.54,-16.53,1.51,BK0731,industry,化肥行业
2015-12-24,1068.59,1082.63,1083.71,1061.74,4133809.0,5571815936.0,2.08,2.27,24.06,1.29,BK0731,industry,化肥行业
2015-12-25,1090.44,1101.04,1104.49,1089.02,4470794.0,6844188672.0,1.43,1.7,18.41,1.39,BK0731,industry,化肥行业
2015-12-28,1103.08,1067.87,1112.2,1067.87,6127663.0,7736174336.0,4.03,-3.01,-33.17,1.91,BK0731,industry,化肥行业
2015-12-29,1066.83,1073.79,1074.2,1051.99,3863262.0,4874518272.0,2.08,0.55,5.92,1.2,BK0731,industry,化肥行业
2015-12-30,1074.65,1082.03,1082.65,1068.32,3535493.0,4271639200.0,1.33,0.77,8.24,1.1,BK0731,industry,化肥行业
2015-12-31,1082.84,1065.82,1087.25,1065.71,3321652.0,4110792160.0,1.99,-1.5,-16.21,1.03,BK0731,industry,化肥行业
2016-01-04,1065.35,975.29,1066.74,974.89,3348574.0,3961159136.0,8.62,-8.49,-90.53,1.04,BK0731,industry,化肥行业
