日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-03-02,1002.44,984.65,1015.33,972.11,3926279.0,17960874015.0,4.32,-1.54,-15.35,1.0,BK1041,industry,医疗器械
2021-03-03,981.99,1002.31,1011.75,970.14,3877192.0,16727639155.0,4.23,1.79,17.66,0.99,BK1041,industry,医疗器械
2021-03-04,998.81,978.86,1013.24,969.35,4334280.0,18767685047.0,4.38,-2.34,-23.45,1.11,BK1041,industry,医疗器械
2021-03-05,971.13,989.64,1001.97,961.51,3556210.0,15212765542.0,4.13,1.1,10.78,0.91,BK1041,industry,医疗器械
2021-03-08,995.02,969.45,1016.75,961.57,4453845.0,18496766501.0,5.58,-2.04,-20.19,1.14,BK1041,industry,医疗器械
2021-03-09,967.72,933.7,982.6,914.98,4764096.0,18692351531.0,6.98,-3.69,-35.75,1.22,BK1041,industry,医疗器械
2021-03-10,942.96,924.82,959.32,912.91,3633994.0,15294903614.0,4.97,-0.95,-8.88,0.93,BK1041,industry,医疗器械
2021-03-11,925.73,938.82,950.72,912.99,3212047.0,14447358325.0,4.08,1.51,14.0,0.82,BK1041,industry,医疗器械
2021-03-12,939.81,932.35,952.39,917.87,3123403.0,12449203325.0,3.68,-0.69,-6.47,0.8,BK1041,industry,医疗器械
2021-03-15,929.49,917.83,945.65,903.51,3270154.0,14327884790.0,4.52,-1.56,-14.52,0.83,BK1041,industry,医疗器械
2021-03-16,918.7,925.16,937.87,905.18,3086249.0,12381179145.0,3.56,0.8,7.33,0.79,BK1041,industry,医疗器械
2021-03-17,923.62,933.0,943.01,913.82,2492919.0,10314534465.0,3.16,0.85,7.84,0.64,BK1041,industry,医疗器械
2021-03-18,933.32,942.57,957.79,923.57,3175207.0,12068878952.0,3.67,1.03,9.57,0.81,BK1041,industry,医疗器械
2021-03-19,935.23,943.78,962.79,922.51,3330649.0,12786403625.0,4.27,0.13,1.21,0.85,BK1041,industry,医疗器械
2021-03-22,944.94,952.86,967.21,934.36,3101835.0,11131333899.0,3.48,0.96,9.08,0.79,BK1041,industry,医疗器械
2021-03-23,952.89,946.24,969.22,933.57,2930311.0,11573995232.0,3.74,-0.69,-6.62,0.75,BK1041,industry,医疗器械
2021-03-24,943.55,940.07,961.74,922.57,2805146.0,11569730471.0,4.14,-0.65,-6.17,0.72,BK1041,industry,医疗器械
2021-03-25,936.51,939.27,956.13,920.96,2770557.0,11307061362.0,3.74,-0.09,-0.8,0.71,BK1041,industry,医疗器械
2021-03-26,942.25,953.91,964.45,930.57,3485646.0,14402279777.0,3.61,1.56,14.64,0.89,BK1041,industry,医疗器械
2021-03-29,958.72,959.38,977.78,943.31,3526132.0,13872514718.0,3.61,0.57,5.47,0.9,BK1041,industry,医疗器械
2021-03-30,959.0,956.19,975.95,941.78,3130175.0,12203644614.0,3.56,-0.33,-3.19,0.8,BK1041,industry,医疗器械
2021-03-31,956.64,954.88,972.24,940.44,3068142.0,12585308460.0,3.33,-0.14,-1.31,0.78,BK1041,industry,医疗器械
2021-04-01,955.49,961.04,972.95,941.55,2704597.0,11613249748.0,3.29,0.65,6.16,0.69,BK1041,industry,医疗器械
2021-04-02,961.58,967.2,983.28,948.69,2847859.0,12202073349.0,3.6,0.64,6.16,0.73,BK1041,industry,医疗器械
2021-04-06,968.37,975.05,988.17,955.72,2753694.0,10456034300.0,3.36,0.81,7.85,0.7,BK1041,industry,医疗器械
2021-04-07,977.78,975.36,990.41,959.5,3106178.0,11617300330.0,3.17,0.03,0.31,0.79,BK1041,industry,医疗器械
2021-04-08,975.74,984.49,999.05,962.68,3079459.0,13107727477.0,3.73,0.94,9.13,0.79,BK1041,industry,医疗器械
2021-04-09,986.41,982.52,1003.66,965.72,3367684.0,13854897252.0,3.85,-0.2,-1.97,0.86,BK1041,industry,医疗器械
2021-04-12,981.59,960.52,995.7,951.22,3433205.0,14755265358.0,4.53,-2.24,-22.0,0.88,BK1041,industry,医疗器械
2021-04-13,962.77,975.36,993.18,952.76,3140286.0,13436363420.0,4.21,1.54,14.84,0.8,BK1041,industry,医疗器械
2021-04-14,977.46,984.72,999.27,959.35,3304631.0,14541185490.0,4.09,0.96,9.36,0.84,BK1041,industry,医疗器械
2021-04-15,986.01,994.75,1013.68,967.61,4118900.0,16957023637.0,4.68,1.02,10.03,1.05,BK1041,industry,医疗器械
2021-04-16,994.82,1017.73,1033.74,979.11,4912092.0,17837694772.0,5.49,2.31,22.98,1.25,BK1041,industry,医疗器械
2021-04-19,1017.81,1042.76,1055.43,1003.28,4698306.0,18528247647.0,5.12,2.46,25.03,1.2,BK1041,industry,医疗器械
2021-04-20,1043.34,1037.73,1073.49,1019.58,4684954.0,19994009525.0,5.17,-0.48,-5.03,1.19,BK1041,industry,医疗器械
2021-04-21,1035.35,1062.43,1081.29,1024.79,5749116.0,21860876244.0,5.44,2.38,24.7,1.47,BK1041,industry,医疗器械
2021-04-22,1061.36,1077.37,1096.35,1044.3,5336846.0,20669532070.0,4.9,1.41,14.94,1.36,BK1041,industry,医疗器械
2021-04-23,1075.49,1092.71,1117.45,1059.29,5840787.0,25387628721.0,5.4,1.42,15.34,1.49,BK1041,industry,医疗器械
2021-04-26,1104.8,1117.89,1161.64,1085.43,9580465.0,37553334722.0,6.97,2.3,25.18,2.44,BK1041,industry,医疗器械
2021-04-27,1116.13,1126.5,1150.72,1085.67,8361375.0,30619841411.0,5.82,0.77,8.61,2.13,BK1041,industry,医疗器械
2021-04-28,1122.09,1129.53,1157.82,1090.56,7930660.0,30115679507.0,5.97,0.27,3.03,2.02,BK1041,industry,医疗器械
2021-04-29,1123.04,1113.03,1152.69,1093.35,6883912.0,27249789949.0,5.25,-1.46,-16.5,1.76,BK1041,industry,医疗器械
2021-04-30,1111.83,1135.93,1157.88,1097.42,7125526.0,27215148436.0,5.43,2.06,22.9,1.82,BK1041,industry,医疗器械
2021-05-06,1138.34,1115.56,1163.79,1091.61,7711391.0,28313226576.0,6.35,-1.79,-20.37,1.97,BK1041,industry,医疗器械
2021-05-07,1117.58,1065.9,1128.71,1057.95,6320590.0,24811358592.0,6.34,-4.45,-49.66,1.61,BK1041,industry,医疗器械
2021-05-10,1070.07,1080.03,1103.52,1053.8,5438778.0,19831117147.0,4.66,1.33,14.13,1.39,BK1041,industry,医疗器械
2021-05-11,1075.77,1081.64,1102.27,1049.23,5802366.0,19126206814.0,4.91,0.15,1.61,1.48,BK1041,industry,医疗器械
2021-05-12,1076.77,1106.06,1117.9,1057.31,6269668.0,21403058535.0,5.6,2.26,24.42,1.6,BK1041,industry,医疗器械
2021-05-13,1098.96,1120.24,1146.78,1087.17,8071601.0,24486031434.0,5.39,1.28,14.18,2.06,BK1041,industry,医疗器械
2021-05-14,1123.42,1148.64,1168.23,1108.62,8006882.0,26473661126.0,5.32,2.54,28.4,2.04,BK1041,industry,医疗器械
2021-05-17,1152.42,1170.31,1199.21,1136.41,8624271.0,29683668300.0,5.47,1.89,21.67,2.2,BK1041,industry,医疗器械
2021-05-18,1165.65,1158.32,1184.6,1130.2,6163251.0,21877166878.0,4.65,-1.02,-11.99,1.57,BK1041,industry,医疗器械
2021-05-19,1156.7,1153.63,1180.37,1134.72,5555692.0,18020327447.0,3.94,-0.4,-4.69,1.42,BK1041,industry,医疗器械
2021-05-20,1149.84,1160.13,1183.43,1131.41,5485996.0,20452236592.0,4.51,0.56,6.5,1.4,BK1041,industry,医疗器械
2021-05-21,1162.82,1144.81,1177.99,1131.24,4892042.0,17896902995.0,4.03,-1.32,-15.32,1.25,BK1041,industry,医疗器械
2021-05-24,1144.87,1142.02,1163.67,1108.83,5255864.0,21234364291.0,4.79,-0.24,-2.79,1.34,BK1041,industry,医疗器械
2021-05-25,1146.09,1167.31,1184.47,1134.12,5979360.0,22013214245.0,4.41,2.21,25.29,1.52,BK1041,industry,医疗器械
