日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-03-02,1001.22,994.92,1014.62,981.66,1750315.0,3862185467.0,3.3,-0.51,-5.08,0.68,BK1042,industry,医药商业
2021-03-03,991.01,1003.64,1012.22,985.04,1567163.0,3221940130.0,2.73,0.88,8.72,0.61,BK1042,industry,医药商业
2021-03-04,998.64,996.27,1011.83,985.04,1569468.0,3461671275.0,2.67,-0.73,-7.37,0.61,BK1042,industry,医药商业
2021-03-05,993.65,1004.93,1013.94,986.09,1485278.0,3450712013.0,2.8,0.87,8.66,0.58,BK1042,industry,医药商业
2021-03-08,1008.57,991.6,1024.49,987.99,1631458.0,3349701471.0,3.63,-1.33,-13.33,0.63,BK1042,industry,医药商业
2021-03-09,989.27,967.9,998.96,951.95,1689366.0,3339895007.0,4.74,-2.39,-23.7,0.66,BK1042,industry,医药商业
2021-03-10,973.0,963.93,986.36,953.05,1332627.0,2639018236.0,3.44,-0.41,-3.97,0.52,BK1042,industry,医药商业
2021-03-11,965.79,968.8,978.57,948.26,1218136.0,2805055686.0,3.14,0.51,4.87,0.47,BK1042,industry,医药商业
2021-03-12,969.06,964.81,977.13,951.93,1110996.0,2540948884.0,2.6,-0.41,-3.99,0.43,BK1042,industry,医药商业
2021-03-15,962.1,961.99,977.94,948.82,1269215.0,2343787970.0,3.02,-0.29,-2.82,0.49,BK1042,industry,医药商业
2021-03-16,965.31,984.11,989.63,959.55,1396943.0,2987939478.0,3.13,2.3,22.12,0.54,BK1042,industry,医药商业
2021-03-17,982.8,991.98,1000.09,974.78,1260462.0,2705275587.0,2.57,0.8,7.87,0.49,BK1042,industry,医药商业
2021-03-18,989.87,997.03,1010.2,982.79,1335277.0,2820042385.0,2.76,0.51,5.05,0.52,BK1042,industry,医药商业
2021-03-19,989.08,996.04,1011.01,981.49,1523495.0,2622632750.0,2.96,-0.1,-0.99,0.59,BK1042,industry,医药商业
2021-03-22,996.95,1006.19,1015.49,989.38,1374138.0,2603386814.0,2.62,1.02,10.15,0.53,BK1042,industry,医药商业
2021-03-23,1003.82,1001.54,1017.13,987.3,1339127.0,2526696895.0,2.96,-0.46,-4.65,0.52,BK1042,industry,医药商业
2021-03-24,1000.88,994.7,1012.03,986.42,1423892.0,2060039640.0,2.56,-0.68,-6.84,0.55,BK1042,industry,医药商业
2021-03-25,990.98,993.14,1005.83,980.01,1332983.0,1802618248.0,2.6,-0.16,-1.56,0.52,BK1042,industry,医药商业
2021-03-26,994.77,1001.35,1010.37,986.74,1291078.0,1893792445.0,2.38,0.83,8.21,0.5,BK1042,industry,医药商业
2021-03-29,1002.71,997.44,1012.55,988.66,1302475.0,2148045818.0,2.39,-0.39,-3.91,0.51,BK1042,industry,医药商业
2021-03-30,996.84,1000.95,1016.69,983.09,1434821.0,3036268413.0,3.37,0.35,3.51,0.56,BK1042,industry,医药商业
2021-03-31,1000.0,1004.28,1019.15,988.11,1332307.0,2685555981.0,3.1,0.33,3.33,0.52,BK1042,industry,医药商业
2021-04-01,1004.54,1006.73,1016.13,993.26,1040558.0,1967409288.0,2.28,0.24,2.45,0.4,BK1042,industry,医药商业
2021-04-02,1006.55,1008.47,1020.19,995.56,1099651.0,1942933517.0,2.45,0.17,1.74,0.43,BK1042,industry,医药商业
2021-04-06,1010.19,1013.12,1024.4,1001.11,1232326.0,2057375133.0,2.31,0.46,4.65,0.48,BK1042,industry,医药商业
2021-04-07,1012.65,1014.79,1024.87,1000.58,1346156.0,2207589669.0,2.4,0.16,1.67,0.52,BK1042,industry,医药商业
2021-04-08,1013.0,1011.19,1027.27,998.7,1444557.0,2568256766.0,2.82,-0.35,-3.6,0.56,BK1042,industry,医药商业
2021-04-09,1009.76,1009.44,1021.57,997.49,1104980.0,2050378829.0,2.38,-0.17,-1.75,0.43,BK1042,industry,医药商业
2021-04-12,1011.45,999.16,1021.33,991.96,1199938.0,2081010645.0,2.91,-1.02,-10.28,0.47,BK1042,industry,医药商业
2021-04-13,999.24,998.03,1013.72,986.31,1410005.0,1967191959.0,2.74,-0.11,-1.13,0.55,BK1042,industry,医药商业
2021-04-14,998.22,1002.01,1012.05,984.15,1331591.0,1984057018.0,2.8,0.4,3.98,0.52,BK1042,industry,医药商业
2021-04-15,1003.15,999.62,1016.41,985.02,1727364.0,2541189852.0,3.13,-0.24,-2.39,0.67,BK1042,industry,医药商业
2021-04-16,995.92,1004.61,1016.54,984.89,1844636.0,2435509894.0,3.17,0.5,4.99,0.72,BK1042,industry,医药商业
