日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-03-01,1009.08,1042.22,1051.73,1000.18,6525671.0,28881651900.0,5.16,4.22,42.22,0.99,BK1036,industry,半导体
2021-03-02,1049.02,1044.48,1067.44,1025.01,6219902.0,32911320798.0,4.07,0.22,2.26,0.94,BK1036,industry,半导体
2021-03-03,1039.15,1047.0,1057.95,1021.05,5049633.0,24965150097.0,3.53,0.24,2.52,0.77,BK1036,industry,半导体
2021-03-04,1044.31,1023.64,1067.49,1014.87,6184630.0,30204459661.0,5.03,-2.23,-23.36,0.94,BK1036,industry,半导体
2021-03-05,1009.25,1022.05,1038.49,995.71,4551866.0,22645617450.0,4.18,-0.16,-1.59,0.69,BK1036,industry,半导体
2021-03-08,1028.79,993.08,1046.16,984.57,5494278.0,27233838230.0,6.03,-2.83,-28.97,0.83,BK1036,industry,半导体
2021-03-09,990.16,949.89,1005.73,934.98,6469348.0,26681075095.0,7.12,-4.35,-43.19,0.98,BK1036,industry,半导体
2021-03-10,963.36,939.78,976.12,928.78,4585206.0,19443739366.0,4.98,-1.06,-10.11,0.69,BK1036,industry,半导体
2021-03-11,940.81,970.72,986.87,925.96,5813848.0,24800646209.0,6.48,3.29,30.94,0.88,BK1036,industry,半导体
2021-03-12,970.11,950.05,978.97,940.16,4453674.0,20158102774.0,4.0,-2.13,-20.67,0.68,BK1036,industry,半导体
2021-03-15,940.12,918.65,949.92,907.29,4649898.0,21161662372.0,4.49,-3.31,-31.4,0.7,BK1036,industry,半导体
2021-03-16,923.76,922.27,939.88,905.74,4195434.0,17919168961.0,3.72,0.39,3.62,0.64,BK1036,industry,半导体
2021-03-17,924.12,940.92,953.96,914.12,4262997.0,18069939881.0,4.32,2.02,18.65,0.65,BK1036,industry,半导体
2021-03-18,945.09,930.4,953.93,921.35,4420075.0,15870606915.0,3.46,-1.12,-10.52,0.67,BK1036,industry,半导体
2021-03-19,917.29,930.35,947.11,908.18,4176654.0,17490733477.0,4.18,-0.01,-0.05,0.63,BK1036,industry,半导体
2021-03-22,929.85,936.77,948.26,918.82,3553780.0,14971323563.0,3.16,0.69,6.42,0.54,BK1036,industry,半导体
2021-03-23,939.37,942.16,969.27,925.47,5713136.0,19120886412.0,4.68,0.58,5.39,0.87,BK1036,industry,半导体
