日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,11612.92,11593.36,11842.53,11438.98,5453911.0,7118078428.47,3.49,0.39,44.89,0.6,BK0482,industry,商业百货
2010-01-05,11603.67,11616.7,11755.29,11364.45,5367380.0,6971540854.49,3.37,0.2,23.34,0.59,BK0482,industry,商业百货
2010-01-06,11603.77,11543.34,11786.87,11412.07,5517754.0,6966215660.64,3.23,-0.63,-73.36,0.6,BK0482,industry,商业百货
2010-01-07,11519.39,11274.56,11637.51,11158.66,5548798.0,7384755601.56,4.15,-2.33,-268.78,0.61,BK0482,industry,商业百货
2010-01-08,11235.77,11435.68,11509.71,11137.08,4163803.0,5423126563.22,3.31,1.43,161.12,0.46,BK0482,industry,商业百货
2010-01-11,11553.94,11454.07,11734.37,11271.62,4812296.0,6691735635.87,4.05,0.16,18.39,0.53,BK0482,industry,商业百货
2010-01-12,11457.4,11676.78,11763.0,11298.04,5565562.0,9198079809.05,4.06,1.94,222.71,0.61,BK0482,industry,商业百货
2010-01-13,11439.66,11495.74,11735.54,11261.53,6401430.0,10553193725.02,4.06,-1.55,-181.04,0.7,BK0482,industry,商业百货
2010-01-14,11514.69,11823.56,11944.78,11419.38,6827121.0,10684570177.63,4.57,2.85,327.82,0.75,BK0482,industry,商业百货
2010-01-15,11828.63,11902.79,12043.24,11681.24,6207113.0,9275759557.79,3.06,0.67,79.23,0.68,BK0482,industry,商业百货
2010-01-18,11907.25,12205.05,12310.69,11814.56,6893033.0,10654388662.76,4.17,2.54,302.26,0.75,BK0482,industry,商业百货
2010-01-19,12223.58,12197.91,12400.46,12026.79,6563846.0,9861357804.37,3.06,-0.06,-7.14,0.72,BK0482,industry,商业百货
2010-01-20,12189.42,11775.28,12294.88,11664.54,7169950.0,10584532103.81,5.17,-3.46,-422.63,0.78,BK0482,industry,商业百货
2010-01-21,11757.06,11894.07,12068.81,11623.88,5873824.0,8107972475.04,3.78,1.01,118.79,0.64,BK0482,industry,商业百货
2010-01-22,11748.45,11615.73,11979.69,11350.13,6058066.0,8463948222.83,5.29,-2.34,-278.34,0.66,BK0482,industry,商业百货
2010-01-25,11564.86,11455.86,11802.82,11334.54,3856438.0,5294810546.04,4.03,-1.38,-159.87,0.42,BK0482,industry,商业百货
2010-01-26,11467.31,11049.48,11597.93,10890.69,4915384.0,7258791442.87,6.17,-3.55,-406.38,0.54,BK0482,industry,商业百货
2010-01-27,11033.48,10915.53,11230.54,10775.52,3543007.0,5144013379.72,4.12,-1.21,-133.95,0.39,BK0482,industry,商业百货
2010-01-28,10911.85,11061.37,11166.86,10806.88,3027483.0,4345181600.93,3.3,1.34,145.84,0.33,BK0482,industry,商业百货
2010-01-29,11006.3,11223.79,11437.93,10934.12,4050819.0,5737674305.11,4.55,1.47,162.42,0.44,BK0482,industry,商业百货
2010-02-01,11213.71,11169.5,11363.04,10903.71,3991508.0,5586814690.89,4.09,-0.48,-54.29,0.44,BK0482,industry,商业百货
2010-02-02,11230.76,11053.3,11413.81,10979.31,3800048.0,5247832312.89,3.89,-1.04,-116.2,0.42,BK0482,industry,商业百货
2010-02-03,11023.76,11143.26,11240.36,10598.42,5430842.0,7069394124.54,5.81,0.81,89.96,0.59,BK0482,industry,商业百货
2010-02-04,11082.59,11226.14,11412.06,10937.54,5732887.0,7437466451.55,4.26,0.74,82.88,0.63,BK0482,industry,商业百货
2010-02-05,11003.8,11111.33,11366.66,10865.54,6187739.0,7295900976.32,4.46,-1.02,-114.81,0.68,BK0482,industry,商业百货
2010-02-08,11112.36,11196.63,11366.38,10986.08,4683179.0,5531184367.57,3.42,0.77,85.3,0.51,BK0482,industry,商业百货
2010-02-09,11167.94,11152.82,11323.87,10997.79,3384328.0,4130289444.6,2.91,-0.39,-43.81,0.37,BK0482,industry,商业百货
2010-02-10,11239.0,11257.99,11361.44,11083.29,3030198.0,4337593251.53,2.49,0.94,105.17,0.33,BK0482,industry,商业百货
2010-02-11,11262.24,11210.12,11375.83,11124.95,2527986.0,3110015773.84,2.23,-0.43,-47.87,0.28,BK0482,industry,商业百货
2010-02-12,11231.97,11405.38,11497.75,11156.16,3501312.0,5119871523.73,3.05,1.74,195.26,0.38,BK0482,industry,商业百货
2010-02-22,11410.46,11372.84,11578.49,11197.21,4067513.0,5250428867.23,3.34,-0.29,-32.54,0.45,BK0482,industry,商业百货
2010-02-23,11354.59,11416.6,11562.85,11112.18,5085833.0,6360205338.89,3.96,0.38,43.76,0.56,BK0482,industry,商业百货
2010-02-24,11382.78,11595.21,11689.35,11291.48,5642404.0,7364920916.68,3.49,1.56,178.61,0.62,BK0482,industry,商业百货
2010-02-25,11612.45,11868.32,11970.35,11543.86,7360642.0,10031866118.45,3.68,2.36,273.11,0.81,BK0482,industry,商业百货
2010-02-26,11833.11,11845.65,12029.5,11700.58,7048558.0,9321592643.26,2.77,-0.19,-22.67,0.77,BK0482,industry,商业百货
2010-03-01,11843.21,12018.75,12163.71,11755.93,6953401.0,9069332679.52,3.44,1.46,173.1,0.76,BK0482,industry,商业百货
2010-03-02,12033.99,11982.24,12160.75,11822.55,6321275.0,8127782619.88,2.81,-0.3,-36.51,0.69,BK0482,industry,商业百货
2010-03-03,11962.82,12034.12,12131.83,11840.49,5265288.0,7107704379.68,2.43,0.43,51.88,0.58,BK0482,industry,商业百货
2010-03-04,12021.43,11674.66,12178.79,11602.05,6152029.0,8255102276.64,4.79,-2.99,-359.46,0.67,BK0482,industry,商业百货
2010-03-05,11681.54,11705.12,11870.64,11495.57,4223147.0,5907900899.16,3.21,0.26,30.46,0.46,BK0482,industry,商业百货
2010-03-08,11730.2,11781.82,11918.83,11619.13,3635537.0,5104213429.91,2.56,0.66,76.7,0.4,BK0482,industry,商业百货
2010-03-09,11780.33,11782.83,11919.62,11599.85,4203183.0,5612410944.5,2.71,0.01,1.01,0.46,BK0482,industry,商业百货
2010-03-10,11775.49,11661.43,11909.25,11534.73,4004056.0,5604433357.88,3.18,-1.03,-121.4,0.44,BK0482,industry,商业百货
2010-03-11,11659.4,11631.9,11817.16,11476.18,3695401.0,5026841290.11,2.92,-0.25,-29.53,0.4,BK0482,industry,商业百货
2010-03-12,11621.64,11453.24,11748.91,11381.3,3489020.0,4781761386.57,3.16,-1.54,-178.66,0.38,BK0482,industry,商业百货
2010-03-15,11435.41,11334.56,11568.75,11185.79,3312214.0,4527483829.55,3.34,-1.04,-118.68,0.36,BK0482,industry,商业百货
2010-03-16,11359.93,11426.98,11508.5,11216.16,2951875.0,3990052973.84,2.58,0.82,92.42,0.32,BK0482,industry,商业百货
2010-03-17,11462.94,11666.12,11706.4,11381.72,4528031.0,6181485541.15,2.84,2.09,239.14,0.5,BK0482,industry,商业百货
2010-03-18,11678.69,11673.64,11825.71,11547.03,4500044.0,6431496306.53,2.39,0.06,7.52,0.49,BK0482,industry,商业百货
2010-03-19,11682.21,11751.39,11855.08,11570.06,4522510.0,6084140508.15,2.44,0.67,77.75,0.5,BK0482,industry,商业百货
2010-03-22,11753.22,11794.94,11903.39,11640.77,4265582.0,5525357965.68,2.23,0.37,43.55,0.47,BK0482,industry,商业百货
2010-03-23,11795.88,11732.08,11922.39,11607.13,4309441.0,5646815359.35,2.67,-0.53,-62.86,0.47,BK0482,industry,商业百货
2010-03-24,11744.52,11742.91,11893.01,11615.73,4303153.0,5967301705.22,2.36,0.09,10.83,0.47,BK0482,industry,商业百货
2010-03-25,11730.23,11611.45,11845.7,11494.49,5575075.0,7220215038.56,2.99,-1.12,-131.46,0.61,BK0482,industry,商业百货
