日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,10115.29,10175.17,10396.05,9954.33,611603.0,838274339.06,4.38,0.91,91.83,0.4,BK0440,industry,家用轻工
2010-01-05,10171.22,10231.04,10405.47,10043.58,543633.0,751071413.43,3.56,0.55,55.87,0.35,BK0440,industry,家用轻工
2010-01-06,10244.82,10211.0,10440.02,10098.47,515322.0,709383788.3,3.34,-0.2,-20.04,0.33,BK0440,industry,家用轻工
2010-01-07,10184.47,9981.05,10354.37,9900.61,467229.0,636456195.61,4.44,-2.25,-229.95,0.3,BK0440,industry,家用轻工
2010-01-08,9923.99,10163.42,10229.34,9851.96,324198.0,457998948.73,3.78,1.83,182.37,0.21,BK0440,industry,家用轻工
2010-01-11,10258.79,10394.84,10544.06,10072.12,506047.0,705686835.43,4.64,2.28,231.42,0.33,BK0440,industry,家用轻工
2010-01-12,10370.6,10539.01,10651.87,10243.58,429656.0,558243322.98,3.93,1.39,144.17,0.28,BK0440,industry,家用轻工
2010-01-13,10339.77,10540.03,10710.45,10251.96,748672.0,1123443579.87,4.35,0.01,1.02,0.48,BK0440,industry,家用轻工
2010-01-14,10496.28,10778.33,10863.44,10409.28,675680.0,986623503.93,4.31,2.26,238.3,0.44,BK0440,industry,家用轻工
2010-01-15,10802.88,10939.57,11038.99,10692.91,419103.0,677120738.11,3.21,1.5,161.24,0.27,BK0440,industry,家用轻工
2010-01-18,10911.78,11014.0,11138.02,10709.71,630138.0,977263625.06,3.92,0.68,74.43,0.41,BK0440,industry,家用轻工
2010-01-19,11061.7,10953.98,11162.49,10765.61,674494.0,1279158587.46,3.6,-0.54,-60.02,0.44,BK0440,industry,家用轻工
2010-01-20,10984.21,10510.44,11072.61,10347.26,852356.0,1893277812.07,6.62,-4.05,-443.54,0.55,BK0440,industry,家用轻工
2010-01-21,10500.15,10713.0,10861.13,10431.27,489635.0,1010858133.22,4.09,1.93,202.56,0.32,BK0440,industry,家用轻工
2010-01-22,10551.53,10513.16,10820.1,10290.65,576508.0,1111153061.8,4.94,-1.87,-199.84,0.37,BK0440,industry,家用轻工
2010-01-25,10475.75,10406.82,10747.2,10270.06,485727.0,779471066.5,4.54,-1.01,-106.34,0.31,BK0440,industry,家用轻工
2010-01-26,10310.03,9975.25,10550.14,9793.96,480813.0,788280802.85,7.27,-4.15,-431.57,0.31,BK0440,industry,家用轻工
2010-01-27,9962.78,10065.57,10258.77,9747.18,589076.0,1006618592.7,5.13,0.91,90.32,0.38,BK0440,industry,家用轻工
2010-01-28,10014.18,10311.05,10443.18,9853.83,711960.0,1489018737.54,5.86,2.44,245.48,0.46,BK0440,industry,家用轻工
2010-01-29,10223.72,10396.23,10602.93,10126.81,736659.0,1607033835.78,4.62,0.83,85.18,0.48,BK0440,industry,家用轻工
2010-02-01,10377.67,10105.26,10497.54,9951.57,658334.0,1413259165.44,5.25,-2.8,-290.97,0.43,BK0440,industry,家用轻工
2010-02-02,10125.08,10076.23,10398.02,9963.91,543354.0,1129526282.23,4.3,-0.29,-29.03,0.35,BK0440,industry,家用轻工
2010-02-03,10071.64,10239.57,10364.78,9701.73,738951.0,1422619393.57,6.58,1.62,163.34,0.48,BK0440,industry,家用轻工
2010-02-04,10183.77,10357.77,10533.23,10050.07,745633.0,1443293676.78,4.72,1.15,118.2,0.48,BK0440,industry,家用轻工
2010-02-05,10143.64,10073.42,10337.34,9797.02,652846.0,1272493437.04,5.22,-2.75,-284.35,0.42,BK0440,industry,家用轻工
2010-02-08,10094.23,10224.71,10350.78,9972.58,601409.0,1270501078.87,3.75,1.5,151.29,0.39,BK0440,industry,家用轻工
2010-02-09,10129.86,10078.77,10301.27,9958.18,378411.0,775757757.07,3.36,-1.43,-145.94,0.24,BK0440,industry,家用轻工
2010-02-10,10145.75,10176.24,10295.26,10009.11,357724.0,674427056.98,2.84,0.97,97.47,0.23,BK0440,industry,家用轻工
2010-02-11,10194.08,10089.81,10284.02,10022.99,336254.0,649855763.06,2.57,-0.85,-86.43,0.22,BK0440,industry,家用轻工
2010-02-12,10098.56,10270.75,10369.65,10041.23,336660.0,662538212.08,3.25,1.79,180.94,0.22,BK0440,industry,家用轻工
2010-02-22,10260.45,10297.26,10409.13,10174.63,364908.0,642109349.99,2.28,0.26,26.51,0.24,BK0440,industry,家用轻工
2010-02-23,10223.97,10322.19,10397.75,10014.92,429275.0,700113367.24,3.72,0.24,24.93,0.28,BK0440,industry,家用轻工
2010-02-24,10219.52,10522.23,10558.65,10127.45,518411.0,911124266.37,4.18,1.94,200.04,0.34,BK0440,industry,家用轻工
