日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,4235.46,4195.37,4275.93,4141.58,2869170.0,3159916093.95,3.18,-0.8,-33.92,0.38,BK0456,industry,家电行业
2010-01-05,4188.17,4185.13,4263.66,4095.0,3829946.0,4166868233.99,4.02,-0.24,-10.24,0.51,BK0456,industry,家电行业
2010-01-06,4180.28,4106.31,4235.53,4073.42,4415345.0,5335564129.14,3.87,-1.88,-78.82,0.59,BK0456,industry,家电行业
2010-01-07,4094.05,3988.15,4128.82,3935.56,4110730.0,5561917158.03,4.71,-2.88,-118.16,0.55,BK0456,industry,家电行业
2010-01-08,3966.16,4056.13,4069.94,3925.47,2452825.0,2939897588.55,3.62,1.7,67.98,0.33,BK0456,industry,家电行业
2010-01-11,4090.15,4002.3,4132.86,3957.68,2995686.0,3826814813.1,4.32,-1.33,-53.83,0.4,BK0456,industry,家电行业
2010-01-12,3994.39,4094.17,4124.4,3958.12,3256385.0,3661060074.27,4.15,2.3,91.87,0.43,BK0456,industry,家电行业
2010-01-13,4007.46,4066.36,4149.67,3978.16,3364251.0,3698787111.91,4.19,-0.68,-27.81,0.45,BK0456,industry,家电行业
2010-01-14,4082.49,4259.85,4293.56,4067.26,5786395.0,5779407584.17,5.57,4.76,193.49,0.77,BK0456,industry,家电行业
2010-01-15,4254.03,4262.09,4337.05,4189.65,4115006.0,4085188479.42,3.46,0.05,2.24,0.55,BK0456,industry,家电行业
2010-01-18,4255.35,4303.87,4360.23,4198.4,3938857.0,4158801648.27,3.8,0.98,41.78,0.53,BK0456,industry,家电行业
2010-01-19,4304.54,4302.5,4366.62,4236.3,3523535.0,3870490546.26,3.03,-0.03,-1.37,0.47,BK0456,industry,家电行业
2010-01-20,4302.03,4154.53,4338.06,4104.02,3781217.0,4235331296.17,5.44,-3.44,-147.97,0.5,BK0456,industry,家电行业
2010-01-21,4155.29,4158.9,4232.87,4066.65,2907106.0,3554183131.33,4.0,0.11,4.37,0.39,BK0456,industry,家电行业
2010-01-22,4117.05,4091.29,4173.65,3997.94,3056616.0,3635659737.84,4.22,-1.63,-67.61,0.41,BK0456,industry,家电行业
