日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-02-09,998.86,1046.7,1057.54,994.82,11892851.0,15294187666.0,6.27,4.67,46.7,2.53,BK1027,industry,小金属
2021-02-10,1053.46,1069.75,1084.19,1035.29,13835506.0,20013977987.0,4.67,2.2,23.05,2.95,BK1027,industry,小金属
2021-02-18,1117.02,1120.54,1142.57,1097.15,19028906.0,25788081968.0,4.25,4.75,50.79,4.05,BK1027,industry,小金属
2021-02-19,1122.07,1145.04,1158.03,1096.52,20246518.0,26978240075.0,5.49,2.19,24.5,4.31,BK1027,industry,小金属
2021-02-22,1169.22,1209.54,1255.54,1160.8,27900511.0,38968819406.0,8.27,5.63,64.5,5.94,BK1027,industry,小金属
2021-02-23,1190.42,1208.08,1245.62,1165.14,25520804.0,37303378756.0,6.65,-0.12,-1.46,5.44,BK1027,industry,小金属
2021-02-24,1202.43,1189.69,1233.84,1160.67,23052435.0,31169538235.0,6.06,-1.52,-18.39,4.91,BK1027,industry,小金属
2021-02-25,1215.42,1171.25,1231.77,1150.7,19570477.0,26131253993.0,6.81,-1.55,-18.44,4.17,BK1027,industry,小金属
2021-02-26,1132.47,1151.65,1190.17,1119.8,17713624.0,22808013598.0,6.01,-1.67,-19.6,3.77,BK1027,industry,小金属
2021-03-01,1155.01,1216.07,1227.85,1141.15,20670267.0,30647638339.0,7.53,5.59,64.42,4.4,BK1027,industry,小金属
2021-03-02,1215.58,1205.07,1253.15,1177.15,23165693.0,35556150216.0,6.25,-0.9,-11.0,4.94,BK1027,industry,小金属
2021-03-03,1197.84,1251.22,1266.35,1188.28,19560047.0,30285700814.0,6.48,3.83,46.15,4.17,BK1027,industry,小金属
2021-03-04,1237.75,1256.41,1306.39,1218.95,24526207.0,39024453191.0,6.99,0.41,5.19,5.23,BK1027,industry,小金属
2021-03-05,1228.62,1220.28,1260.48,1191.96,18915522.0,27797299156.0,5.45,-2.88,-36.13,4.03,BK1027,industry,小金属
2021-03-08,1236.09,1197.89,1268.34,1185.4,17915546.0,27609873827.0,6.8,-1.83,-22.39,3.82,BK1027,industry,小金属
2021-03-09,1182.96,1136.9,1196.56,1115.55,16704358.0,23239538496.0,6.76,-5.09,-60.99,3.56,BK1027,industry,小金属
2021-03-10,1148.1,1136.63,1168.97,1116.24,13383243.0,18042137649.0,4.64,-0.02,-0.27,2.85,BK1027,industry,小金属
2021-03-11,1143.25,1182.99,1195.04,1120.83,17141738.0,22423839356.0,6.53,4.08,46.36,3.65,BK1027,industry,小金属
2021-03-12,1179.48,1171.49,1202.81,1149.66,15979973.0,21697185793.0,4.49,-0.97,-11.5,3.4,BK1027,industry,小金属
2021-03-15,1162.64,1170.35,1202.39,1143.8,12322313.0,16343653100.0,5.0,-0.1,-1.14,2.63,BK1027,industry,小金属
2021-03-16,1171.24,1143.95,1182.19,1125.45,13447055.0,17868528265.0,4.85,-2.26,-26.4,2.87,BK1027,industry,小金属
2021-03-17,1137.0,1149.02,1163.95,1114.28,10525997.0,13240985769.0,4.34,0.44,5.07,2.24,BK1027,industry,小金属
2021-03-18,1149.49,1132.49,1166.31,1123.81,10198923.0,13696075757.0,3.7,-1.44,-16.53,2.17,BK1027,industry,小金属
2021-03-19,1118.37,1132.5,1161.49,1108.09,10614949.0,14416228345.0,4.72,0.0,0.01,2.26,BK1027,industry,小金属
2021-03-22,1129.78,1146.65,1163.33,1116.44,10121251.0,13514690835.0,4.14,1.25,14.15,2.16,BK1027,industry,小金属
2021-03-23,1144.89,1099.59,1154.74,1087.66,12376954.0,15748182901.0,5.85,-4.1,-47.06,2.64,BK1027,industry,小金属
2021-03-24,1091.79,1069.41,1107.29,1060.13,10367573.0,12455034003.0,4.29,-2.74,-30.18,2.21,BK1027,industry,小金属
2021-03-25,1070.56,1079.52,1102.91,1062.83,8289509.0,10660213667.0,3.75,0.95,10.11,1.77,BK1027,industry,小金属
2021-03-26,1079.23,1105.95,1117.73,1070.09,10431078.0,13354809838.0,4.41,2.45,26.43,2.22,BK1027,industry,小金属
2021-03-29,1104.33,1102.02,1125.13,1085.53,8785796.0,11072567681.0,3.58,-0.36,-3.93,1.87,BK1027,industry,小金属
2021-03-30,1099.49,1119.64,1139.21,1080.17,11506560.0,15747344554.0,5.36,1.6,17.62,2.45,BK1027,industry,小金属
2021-03-31,1110.88,1098.49,1122.3,1084.25,9085533.0,12362361862.0,3.4,-1.89,-21.15,1.94,BK1027,industry,小金属
2021-04-01,1095.51,1095.07,1111.7,1078.97,6785724.0,9049986739.0,2.98,-0.31,-3.42,1.45,BK1027,industry,小金属
2021-04-02,1097.15,1091.03,1111.09,1075.35,7501742.0,9219696672.0,3.26,-0.37,-4.04,1.6,BK1027,industry,小金属
2021-04-06,1094.82,1103.87,1118.61,1087.25,7491128.0,8755247731.0,2.87,1.18,12.84,1.6,BK1027,industry,小金属
2021-04-07,1103.54,1125.76,1134.81,1085.47,10551982.0,13219258229.0,4.47,1.98,21.89,2.25,BK1027,industry,小金属
2021-04-08,1121.32,1130.74,1152.01,1107.59,12603102.0,14761398972.0,3.95,0.44,4.98,2.69,BK1027,industry,小金属
2021-04-09,1130.01,1131.35,1153.16,1111.41,10150461.0,13073048757.0,3.69,0.05,0.61,2.16,BK1027,industry,小金属
2021-04-12,1130.6,1094.66,1144.9,1088.78,11667055.0,13812353906.0,4.96,-3.24,-36.69,2.49,BK1027,industry,小金属
2021-04-13,1089.74,1073.14,1103.54,1062.91,8146246.0,9558700982.0,3.71,-1.97,-21.52,1.74,BK1027,industry,小金属
2021-04-14,1072.85,1089.94,1096.72,1064.48,6579435.0,7518462837.0,3.0,1.57,16.8,1.4,BK1027,industry,小金属
