日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,981.11,979.09,996.22,975.1,1342473.0,2210746352.0,2.11,-2.09,-20.91,1.02,BK0726,industry,工程咨询服务
2015-12-10,971.17,973.59,989.25,970.79,2055383.0,4396288256.0,1.89,-0.56,-5.5,1.56,BK0726,industry,工程咨询服务
2015-12-11,965.15,943.73,967.09,941.4,1525261.0,3015627120.0,2.64,-3.07,-29.86,1.16,BK0726,industry,工程咨询服务
2015-12-14,935.54,954.82,954.82,929.0,1174660.0,2213823392.0,2.74,1.18,11.09,0.89,BK0726,industry,工程咨询服务
2015-12-15,957.99,973.88,977.66,956.51,1182414.0,2188416800.0,2.22,2.0,19.06,0.9,BK0726,industry,工程咨询服务
2015-12-16,978.57,983.84,991.52,974.23,1121994.0,2178307888.0,1.78,1.02,9.96,0.85,BK0726,industry,工程咨询服务
2015-12-17,997.25,1019.48,1019.63,996.65,1992238.0,3645994096.0,2.34,3.62,35.64,1.51,BK0726,industry,工程咨询服务
2015-12-18,1020.15,1019.08,1029.57,1011.55,1728998.0,3475575248.0,1.77,-0.04,-0.4,1.31,BK0726,industry,工程咨询服务
2015-12-21,1018.08,1024.73,1024.73,1012.2,1428305.0,2804535744.0,1.23,0.55,5.65,1.08,BK0726,industry,工程咨询服务
2015-12-22,1025.25,1034.1,1035.21,1020.7,1300030.0,2400424208.0,1.42,0.91,9.37,0.99,BK0726,industry,工程咨询服务
2015-12-23,1037.56,1025.35,1042.21,1022.96,1359281.0,2327177408.0,1.86,-0.85,-8.75,1.03,BK0726,industry,工程咨询服务
2015-12-24,1021.42,1021.72,1025.16,997.73,955679.0,1666463008.0,2.68,-0.35,-3.63,0.73,BK0726,industry,工程咨询服务
2015-12-25,1021.2,1025.99,1031.08,1020.0,852049.0,1539111712.0,1.08,0.42,4.27,0.65,BK0726,industry,工程咨询服务
2015-12-28,1027.41,1012.38,1042.88,1012.38,1270441.0,2396943936.0,2.97,-1.33,-13.61,0.96,BK0726,industry,工程咨询服务
2015-12-29,1010.67,1010.23,1013.61,995.37,1113786.0,2455592048.0,1.8,-0.21,-2.15,0.85,BK0726,industry,工程咨询服务
2015-12-30,1017.36,1016.81,1020.98,1012.22,950618.0,1911574768.0,0.87,0.65,6.58,0.72,BK0726,industry,工程咨询服务
2015-12-31,1021.13,1018.1,1039.98,1018.01,1294017.0,2450176896.0,2.16,0.13,1.29,0.98,BK0726,industry,工程咨询服务
