日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,8610.76,8476.49,8636.89,8440.08,5849496.0,5233936708.38,2.29,-1.19,-101.89,0.26,BK0425,industry,工程建设
2010-01-05,8476.53,8474.03,8544.1,8328.78,5895850.0,5155224387.82,2.54,-0.03,-2.46,0.26,BK0425,industry,工程建设
2010-01-06,8460.61,8501.1,8617.14,8388.97,6341435.0,5933044500.04,2.69,0.32,27.07,0.28,BK0425,industry,工程建设
2010-01-07,8484.44,8377.97,8567.21,8309.55,6408649.0,5530695968.15,3.03,-1.45,-123.13,0.28,BK0425,industry,工程建设
2010-01-08,8354.51,8446.94,8479.2,8296.44,4530725.0,4283249559.03,2.18,0.82,68.97,0.2,BK0425,industry,工程建设
2010-01-11,8592.88,8478.92,8689.71,8393.24,6286465.0,5710633727.68,3.51,0.38,31.98,0.28,BK0425,industry,工程建设
2010-01-12,8459.85,8585.97,8623.48,8387.34,6144266.0,5390083694.73,2.79,1.26,107.05,0.27,BK0425,industry,工程建设
2010-01-13,8433.81,8402.95,8561.32,8344.37,7113586.0,6300644176.07,2.53,-2.13,-183.02,0.31,BK0425,industry,工程建设
2010-01-14,8425.93,8496.24,8529.48,8372.62,5590922.0,5092539004.71,1.87,1.11,93.29,0.25,BK0425,industry,工程建设
2010-01-15,8510.23,8521.58,8581.93,8435.37,4627291.0,4331729984.02,1.72,0.3,25.34,0.2,BK0425,industry,工程建设
2010-01-18,8508.21,8568.04,8612.39,8420.07,6942668.0,6357066045.96,2.26,0.55,46.46,0.31,BK0425,industry,工程建设
2010-01-19,8573.54,8579.68,8649.37,8508.06,5532851.0,5404675099.71,1.65,0.14,11.64,0.24,BK0425,industry,工程建设
2010-01-20,8583.03,8332.15,8627.65,8287.67,8092105.0,6939088736.38,3.96,-2.89,-247.53,0.36,BK0425,industry,工程建设
2010-01-21,8350.2,8353.58,8434.39,8263.86,5620700.0,4439817859.48,2.05,0.26,21.43,0.25,BK0425,industry,工程建设
2010-01-22,8296.35,8301.03,8401.09,8106.41,7671834.0,6045750819.85,3.53,-0.63,-52.55,0.34,BK0425,industry,工程建设
2010-01-25,8245.56,8160.6,8351.75,8108.17,2286203.0,2379653655.97,2.93,-1.69,-140.43,0.1,BK0425,industry,工程建设
2010-01-26,8125.2,7876.03,8193.4,7798.87,5411115.0,3951405131.63,4.83,-3.49,-284.57,0.24,BK0425,industry,工程建设
2010-01-27,7869.63,7843.05,7960.99,7761.91,3476311.0,2826239656.97,2.53,-0.42,-32.98,0.15,BK0425,industry,工程建设
2010-01-28,7847.76,7880.4,7919.06,7765.98,2957793.0,2368462048.91,1.95,0.48,37.35,0.13,BK0425,industry,工程建设
2010-01-29,7844.42,7880.14,7972.43,7794.64,3431753.0,2926515912.72,2.26,0.0,-0.26,0.15,BK0425,industry,工程建设
2010-02-01,7863.62,7805.12,7912.75,7690.12,3836224.0,3104291224.06,2.83,-0.95,-75.02,0.17,BK0425,industry,工程建设
2010-02-02,7829.62,7755.34,7902.48,7735.73,2772451.0,2224901880.1,2.14,-0.64,-49.78,0.12,BK0425,industry,工程建设
2010-02-03,7769.54,7885.7,7922.14,7620.4,4278028.0,3520221105.56,3.89,1.68,130.36,0.19,BK0425,industry,工程建设
2010-02-04,7873.6,7987.97,8094.63,7800.52,5340756.0,5031953669.28,3.73,1.3,102.27,0.24,BK0425,industry,工程建设
2010-02-05,7833.86,7873.22,7969.87,7764.12,4455788.0,4419194295.3,2.58,-1.44,-114.75,0.2,BK0425,industry,工程建设
2010-02-08,7857.94,7883.02,7947.44,7784.3,2550834.0,2340118091.87,2.07,0.12,9.8,0.11,BK0425,industry,工程建设
2010-02-09,7869.19,7908.5,7968.09,7807.13,2332631.0,2062800153.83,2.04,0.32,25.48,0.1,BK0425,industry,工程建设
