日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,995.17,986.01,1001.97,981.87,4912297.0,8714577664.0,2.01,-1.4,-13.99,1.01,BK0739,industry,工程机械
2015-12-10,986.19,987.81,1000.63,984.18,5424007.0,8963553792.0,1.67,0.18,1.8,1.11,BK0739,industry,工程机械
2015-12-11,985.13,975.66,988.21,973.4,4575713.0,7324709376.0,1.5,-1.23,-12.15,0.94,BK0739,industry,工程机械
2015-12-14,968.21,999.89,999.89,965.45,4907469.0,7437365760.0,3.53,2.48,24.23,1.01,BK0739,industry,工程机械
2015-12-15,999.24,1006.0,1009.22,998.55,4734544.0,7393881600.0,1.07,0.61,6.11,0.97,BK0739,industry,工程机械
2015-12-16,1009.65,1008.23,1017.85,1005.1,4623002.0,8102037760.0,1.27,0.22,2.23,0.95,BK0739,industry,工程机械
2015-12-17,1015.88,1039.43,1039.43,1015.78,7061016.0,11992645888.0,2.35,3.09,31.2,1.45,BK0739,industry,工程机械
2015-12-18,1037.95,1036.44,1044.56,1029.08,5834825.0,9045720576.0,1.49,-0.29,-2.99,1.2,BK0739,industry,工程机械
2015-12-21,1041.03,1043.08,1043.93,1032.88,5720039.0,8579015168.0,1.07,0.64,6.64,1.18,BK0739,industry,工程机械
2015-12-22,1046.48,1057.32,1057.32,1041.7,6052051.0,9231065856.0,1.5,1.37,14.24,1.24,BK0739,industry,工程机械
2015-12-23,1059.21,1044.19,1061.31,1042.25,6306576.0,10785473536.0,1.8,-1.24,-13.13,1.3,BK0739,industry,工程机械
2015-12-24,1040.82,1040.17,1043.14,1021.0,4421477.0,7426761216.0,2.12,-0.38,-4.02,0.91,BK0739,industry,工程机械
2015-12-25,1041.83,1052.87,1055.4,1041.83,4779079.0,8055847168.0,1.3,1.22,12.7,0.98,BK0739,industry,工程机械
2015-12-28,1056.86,1032.78,1065.21,1032.77,6463627.0,10450702080.0,3.08,-1.91,-20.09,1.33,BK0739,industry,工程机械
2015-12-29,1031.56,1045.38,1045.38,1023.5,4553631.0,7129020416.0,2.12,1.22,12.6,0.94,BK0739,industry,工程机械
2015-12-30,1048.2,1059.37,1060.37,1045.49,4811671.0,7596144128.0,1.42,1.34,13.99,0.99,BK0739,industry,工程机械
2015-12-31,1056.45,1040.78,1059.76,1040.29,5056797.0,8164619776.0,1.84,-1.75,-18.59,1.04,BK0739,industry,工程机械
2016-01-04,1039.69,947.35,1044.8,947.22,4804221.0,7195168768.0,9.38,-8.98,-93.43,0.99,BK0739,industry,工程机械
2016-01-05,894.81,931.06,952.78,890.59,6814285.0,9708403456.0,6.56,-1.72,-16.29,1.4,BK0739,industry,工程机械
2016-01-06,935.9,966.78,967.07,931.08,6013178.0,8741271808.0,3.87,3.84,35.72,1.24,BK0739,industry,工程机械
