日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-11-29,986.49,999.44,999.9,985.14,1664523.0,1040382384.0,1.48,-0.06,-0.56,0.98,BK1045,industry,房地产服务
2021-11-30,1002.38,1004.65,1010.5,998.52,1740846.0,1260186064.0,1.2,0.52,5.21,1.02,BK1045,industry,房地产服务
2021-12-01,1007.13,1017.64,1018.51,1002.31,1919841.0,1457087504.0,1.61,1.29,12.99,1.13,BK1045,industry,房地产服务
2021-12-02,1018.29,1023.8,1025.3,1011.9,1368481.0,880648496.0,1.32,0.61,6.16,0.8,BK1045,industry,房地产服务
2021-12-03,1022.81,1021.5,1025.0,1014.34,1515618.0,925557600.0,1.04,-0.22,-2.3,0.89,BK1045,industry,房地产服务
2021-12-06,1027.09,1016.23,1032.87,1014.34,1875003.0,1267162128.0,1.81,-0.52,-5.27,1.1,BK1045,industry,房地产服务
2021-12-07,1028.71,1038.16,1038.83,1021.06,2478681.0,1548347392.0,1.75,2.16,21.93,1.46,BK1045,industry,房地产服务
2021-12-08,1030.92,1030.27,1036.05,1025.62,1661193.0,1141421520.0,1.0,-0.76,-7.89,0.98,BK1045,industry,房地产服务
2021-12-09,1027.59,1034.87,1038.64,1025.24,2019073.0,1204453504.0,1.3,0.45,4.6,1.19,BK1045,industry,房地产服务
2021-12-10,1030.38,1032.33,1036.51,1024.74,1892604.0,1070613648.0,1.14,-0.25,-2.54,1.11,BK1045,industry,房地产服务
2021-12-13,1035.34,1026.19,1035.37,1020.61,1915824.0,990043104.0,1.43,-0.59,-6.14,1.13,BK1045,industry,房地产服务
2021-12-14,1023.53,1023.24,1025.24,1014.6,2641137.0,1363813376.0,1.04,-0.29,-2.95,1.55,BK1045,industry,房地产服务
2021-12-15,1022.78,1021.2,1032.05,1018.07,2522298.0,1244909584.0,1.37,-0.2,-2.04,1.48,BK1045,industry,房地产服务
2021-12-16,1018.28,1015.56,1023.14,1010.6,2105017.0,1025549696.0,1.23,-0.55,-5.64,1.24,BK1045,industry,房地产服务
2021-12-17,1014.33,1021.5,1028.37,1009.72,2247266.0,1040086640.0,1.84,0.58,5.94,1.32,BK1045,industry,房地产服务
2021-12-20,1019.62,1025.16,1039.33,1018.9,3165593.0,1434852176.0,2.0,0.36,3.66,1.86,BK1045,industry,房地产服务
2021-12-21,1029.38,1096.99,1097.72,1029.3,6155590.0,3034302592.0,6.67,7.01,71.83,3.62,BK1045,industry,房地产服务
2021-12-22,1097.76,1081.57,1104.36,1072.88,5137445.0,2772993968.0,2.87,-1.41,-15.42,3.02,BK1045,industry,房地产服务
2021-12-23,1072.05,1057.37,1081.26,1055.28,2902663.0,1561845872.0,2.4,-2.24,-24.2,1.71,BK1045,industry,房地产服务
2021-12-24,1060.89,1043.63,1062.55,1039.77,2158565.0,1141239680.0,2.15,-1.3,-13.74,1.27,BK1045,industry,房地产服务
2021-12-27,1046.27,1048.93,1060.23,1045.85,1858022.0,1135880496.0,1.38,0.51,5.3,1.09,BK1045,industry,房地产服务
2021-12-28,1051.09,1050.34,1053.73,1041.23,1628839.0,983744256.0,1.19,0.13,1.41,0.96,BK1045,industry,房地产服务
2021-12-29,1051.32,1052.64,1060.23,1049.11,1764216.0,970626256.0,1.06,0.22,2.3,1.04,BK1045,industry,房地产服务
2021-12-30,1055.18,1065.35,1070.08,1055.18,2078358.0,1274181168.0,1.42,1.21,12.71,1.22,BK1045,industry,房地产服务
2021-12-31,1062.86,1084.11,1086.85,1062.86,1931912.0,1275397744.0,2.25,1.76,18.76,1.14,BK1045,industry,房地产服务
2022-01-04,1085.25,1107.53,1107.89,1077.42,2773679.0,1590423456.0,2.81,2.16,23.42,1.63,BK1045,industry,房地产服务
2022-01-05,1109.39,1115.85,1122.43,1103.34,2780388.0,1746334320.0,1.72,0.75,8.32,1.63,BK1045,industry,房地产服务
2022-01-06,1115.28,1131.31,1140.65,1113.32,3460575.0,1822317648.0,2.45,1.39,15.46,2.03,BK1045,industry,房地产服务
2022-01-07,1133.68,1141.62,1161.34,1133.68,5534981.0,2719999728.0,2.44,0.91,10.31,3.25,BK1045,industry,房地产服务
2022-01-10,1132.27,1145.47,1149.82,1120.91,4204987.0,2241086720.0,2.53,0.34,3.85,2.47,BK1045,industry,房地产服务
2022-01-11,1141.62,1142.77,1159.24,1135.6,3853090.0,2062701488.0,2.06,-0.24,-2.7,2.26,BK1045,industry,房地产服务
2022-01-12,1142.25,1146.15,1146.15,1131.22,2996465.0,1753722544.0,1.31,0.3,3.38,1.76,BK1045,industry,房地产服务
2022-01-13,1140.51,1140.23,1160.85,1140.23,3247418.0,1889328672.0,1.8,-0.52,-5.92,1.91,BK1045,industry,房地产服务
2022-01-14,1139.4,1126.69,1142.24,1125.16,2872881.0,1592198896.0,1.5,-1.19,-13.54,1.69,BK1045,industry,房地产服务
