日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,993.82,989.6,1002.37,984.22,2155682.0,4822885888.0,1.82,-1.04,-10.4,1.84,BK0740,industry,教育
2015-12-10,987.68,988.46,1002.61,982.41,2098934.0,4771294208.0,2.04,-0.12,-1.14,1.79,BK0740,industry,教育
2015-12-11,984.9,977.24,984.9,971.24,1480040.0,3305797200.0,1.38,-1.14,-11.22,1.26,BK0740,industry,教育
2015-12-14,970.05,998.46,998.49,965.89,1919032.0,4360001792.0,3.34,2.17,21.22,1.64,BK0740,industry,教育
2015-12-15,996.23,1010.66,1014.38,995.94,2095898.0,4704474624.0,1.85,1.22,12.2,1.79,BK0740,industry,教育
2015-12-16,1015.98,1021.66,1032.15,1010.48,2134558.0,5282568192.0,2.14,1.09,11.0,1.82,BK0740,industry,教育
2015-12-17,1024.78,1046.02,1046.09,1024.62,2332337.0,6000045056.0,2.1,2.38,24.36,1.99,BK0740,industry,教育
2015-12-18,1043.05,1040.95,1049.13,1032.29,1980746.0,5249825024.0,1.61,-0.48,-5.07,1.69,BK0740,industry,教育
2015-12-21,1036.45,1040.04,1040.55,1032.92,1480727.0,3860683392.0,0.73,-0.09,-0.91,1.26,BK0740,industry,教育
2015-12-22,1041.08,1050.76,1050.92,1034.13,1492983.0,3703195312.0,1.61,1.03,10.72,1.27,BK0740,industry,教育
2015-12-23,1048.67,1039.42,1050.61,1037.71,1954813.0,5065794304.0,1.23,-1.08,-11.34,1.67,BK0740,industry,教育
2015-12-24,1035.31,1032.38,1038.5,1021.97,1436023.0,3825593792.0,1.59,-0.68,-7.04,1.22,BK0740,industry,教育
2015-12-25,1033.96,1034.21,1041.05,1029.93,1272848.0,3331258160.0,1.08,0.18,1.83,1.09,BK0740,industry,教育
2015-12-28,1033.23,1023.73,1039.32,1022.9,2212884.0,5748758016.0,1.59,-1.01,-10.48,1.89,BK0740,industry,教育
2015-12-29,1017.7,1028.36,1028.47,1013.21,1888020.0,5160201728.0,1.49,0.45,4.63,1.61,BK0740,industry,教育
2015-12-30,1029.26,1035.58,1038.66,1027.03,1835825.0,5057937408.0,1.13,0.7,7.22,1.57,BK0740,industry,教育
2015-12-31,1037.33,1025.45,1039.47,1025.45,1851451.0,4928214016.0,1.35,-0.98,-10.13,1.58,BK0740,industry,教育
2016-01-04,1022.39,969.87,1025.0,969.58,1382918.0,3504224176.0,5.4,-5.42,-55.58,1.18,BK0740,industry,教育
2016-01-05,932.74,951.11,972.56,927.82,1676767.0,3951019776.0,4.61,-1.93,-18.76,1.43,BK0740,industry,教育
2016-01-06,951.0,972.33,972.65,950.79,2201109.0,4882064896.0,2.3,2.23,21.22,1.88,BK0740,industry,教育
2016-01-07,960.37,914.93,963.79,913.07,596750.0,1271576624.0,5.22,-5.9,-57.4,0.51,BK0740,industry,教育
2016-01-08,927.47,900.75,942.3,873.02,2286512.0,4758696704.0,7.57,-1.55,-14.18,1.95,BK0740,industry,教育
2016-01-11,874.12,845.61,881.98,845.55,1538256.0,3232383008.0,4.04,-6.12,-55.14,1.31,BK0740,industry,教育
2016-01-12,831.09,831.5,843.08,815.31,1906198.0,3765406304.0,3.28,-1.67,-14.11,1.63,BK0740,industry,教育
2016-01-13,839.84,800.39,845.44,800.31,1782575.0,3941919952.0,5.43,-3.74,-31.11,1.52,BK0740,industry,教育
2016-01-14,778.94,824.77,824.77,776.44,2017964.0,4293209648.0,6.04,3.05,24.38,1.72,BK0740,industry,教育
2016-01-15,820.53,814.06,840.81,808.66,2254162.0,5249211392.0,3.9,-1.3,-10.71,1.92,BK0740,industry,教育
2016-01-18,795.41,830.3,839.44,791.87,1956827.0,4299639296.0,5.84,1.99,16.24,1.67,BK0740,industry,教育
2016-01-19,814.15,839.98,840.66,811.99,2110118.0,4662823424.0,3.45,1.17,9.68,1.8,BK0740,industry,教育
2016-01-20,831.67,842.57,853.23,830.5,2292742.0,5153735168.0,2.71,0.31,2.59,1.96,BK0740,industry,教育
2016-01-21,822.33,791.51,838.96,791.51,2021613.0,4346860800.0,5.63,-6.06,-51.06,1.72,BK0740,industry,教育
2016-01-22,794.08,796.61,801.25,767.67,2078045.0,4200369840.0,4.24,0.64,5.1,1.77,BK0740,industry,教育
2016-01-25,803.81,810.03,818.44,798.2,1775423.0,3884208176.0,2.54,1.68,13.42,1.51,BK0740,industry,教育
2016-01-26,801.37,752.82,806.84,750.3,2029813.0,4326391552.0,6.98,-7.06,-57.21,1.73,BK0740,industry,教育
2016-01-27,747.29,740.17,755.3,705.13,1958898.0,3694576304.0,6.66,-1.68,-12.65,1.67,BK0740,industry,教育
2016-01-28,731.71,710.17,745.6,706.76,1663358.0,3033757440.0,5.25,-4.05,-30.0,1.42,BK0740,industry,教育
2016-01-29,710.78,735.17,742.36,704.6,1826265.0,3288421024.0,5.32,3.52,25.0,1.56,BK0740,industry,教育
2016-02-01,732.76,730.73,742.8,715.08,1777015.0,3122546832.0,3.77,-0.6,-4.44,1.52,BK0740,industry,教育
2016-02-02,729.19,756.2,757.59,728.53,1629519.0,2915986160.0,3.98,3.49,25.47,1.39,BK0740,industry,教育
2016-02-03,747.0,768.6,773.14,741.14,1764827.0,3193850368.0,4.23,1.64,12.4,1.51,BK0740,industry,教育
2016-02-04,770.04,800.92,803.42,768.6,2352028.0,4260865184.0,4.53,4.21,32.32,2.01,BK0740,industry,教育
2016-02-05,801.69,801.06,809.5,792.66,1938475.0,3563894240.0,2.1,0.02,0.14,1.65,BK0740,industry,教育
2016-02-15,772.87,811.29,818.36,771.9,1873969.0,3631314304.0,5.8,1.28,10.23,1.6,BK0740,industry,教育
2016-02-16,823.5,852.3,856.41,822.28,2245541.0,4429632512.0,4.21,5.05,41.01,1.92,BK0740,industry,教育
2016-02-17,857.98,867.38,869.94,847.22,2873597.0,5584668160.0,2.67,1.77,15.08,2.45,BK0740,industry,教育
2016-02-18,870.58,874.01,884.3,865.71,2526348.0,5058832384.0,2.14,0.76,6.63,2.15,BK0740,industry,教育
2016-02-19,875.65,874.25,878.63,864.98,2354176.0,4683955456.0,1.56,0.03,0.24,2.01,BK0740,industry,教育
2016-02-22,883.72,888.86,890.96,880.09,2113529.0,4328922112.0,1.24,1.67,14.61,1.8,BK0740,industry,教育
2016-02-23,891.66,885.03,897.27,874.37,1826264.0,3817483504.0,2.58,-0.43,-3.83,1.56,BK0740,industry,教育
2016-02-24,888.17,901.56,901.59,883.33,3162165.0,6870925056.0,2.06,1.87,16.53,2.7,BK0740,industry,教育
2016-02-25,893.87,828.57,894.27,827.95,2698047.0,5528676352.0,7.36,-8.1,-72.99,2.3,BK0740,industry,教育
