日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,5994.75,6044.46,6124.17,5929.11,1038960.0,1491915536.79,3.26,1.15,69.01,0.09,BK0486,industry,文化传媒
2010-01-05,6055.51,6179.82,6258.69,6006.07,1484523.0,2257044980.14,4.18,2.24,135.36,0.13,BK0486,industry,文化传媒
2010-01-06,6166.62,6149.9,6319.46,6092.38,1485035.0,2252847311.39,3.67,-0.48,-29.92,0.13,BK0486,industry,文化传媒
2010-01-07,6132.51,6065.56,6270.4,5965.17,1347572.0,1847100300.31,4.96,-1.37,-84.34,0.12,BK0486,industry,文化传媒
2010-01-08,6041.51,6255.98,6314.71,6001.15,1355329.0,1952687278.94,5.17,3.14,190.42,0.12,BK0486,industry,文化传媒
2010-01-11,6330.9,6482.39,6545.2,6211.64,2206607.0,3162076973.26,5.33,3.62,226.41,0.2,BK0486,industry,文化传媒
2010-01-12,6479.61,6544.52,6641.15,6390.14,2062140.0,2975268235.19,3.87,0.96,62.13,0.19,BK0486,industry,文化传媒
2010-01-13,6433.19,6716.65,6953.23,6367.84,3241374.0,5417523282.13,8.94,2.63,172.13,0.29,BK0486,industry,文化传媒
2010-01-14,6826.02,6979.28,7150.58,6740.3,3547224.0,5994839071.79,6.11,3.91,262.63,0.32,BK0486,industry,文化传媒
2010-01-15,7011.17,6878.92,7077.94,6801.31,2315896.0,3458904385.02,3.96,-1.44,-100.36,0.21,BK0486,industry,文化传媒
2010-01-18,6840.59,6974.99,7051.27,6756.16,2410717.0,4020409612.54,4.29,1.4,96.07,0.22,BK0486,industry,文化传媒
2010-01-19,6965.14,7026.46,7161.61,6820.25,2060295.0,3747012403.67,4.89,0.74,51.47,0.19,BK0486,industry,文化传媒
2010-01-20,7002.99,6762.91,7117.84,6674.95,2436003.0,4084730843.75,6.3,-3.75,-263.55,0.22,BK0486,industry,文化传媒
2010-01-21,6745.1,6876.53,6992.76,6595.23,1717966.0,2752124001.11,5.88,1.68,113.62,0.16,BK0486,industry,文化传媒
2010-01-22,6769.59,6676.7,6895.54,6468.62,1553381.0,2611114824.27,6.21,-2.91,-199.83,0.14,BK0486,industry,文化传媒
2010-01-25,6619.65,6537.63,6751.3,6442.43,1057492.0,1867213810.14,4.63,-2.08,-139.07,0.1,BK0486,industry,文化传媒
2010-01-26,6508.21,6281.53,6594.34,6150.31,1267798.0,2047437954.41,6.79,-3.92,-256.1,0.11,BK0486,industry,文化传媒
2010-01-27,6261.45,6234.54,6404.65,6137.21,980987.0,1564532282.42,4.26,-0.75,-46.99,0.09,BK0486,industry,文化传媒
2010-01-28,6237.55,6456.12,6499.95,6158.96,1179876.0,1848054364.54,5.47,3.55,221.58,0.11,BK0486,industry,文化传媒
