日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,7024.95,6909.1,7087.42,6886.32,1828790.0,2501587604.17,2.89,-0.83,-57.61,0.84,BK0485,industry,旅游酒店
2010-01-05,6920.43,6900.61,6988.86,6788.95,2145218.0,2849482460.01,2.89,-0.12,-8.49,0.98,BK0485,industry,旅游酒店
2010-01-06,6904.08,6873.0,7013.02,6788.47,1889928.0,2350998051.78,3.25,-0.4,-27.61,0.87,BK0485,industry,旅游酒店
2010-01-07,6867.14,6891.12,7031.6,6765.08,2828473.0,3224064776.03,3.88,0.26,18.12,1.3,BK0485,industry,旅游酒店
2010-01-08,6862.75,7031.08,7063.66,6795.69,2306140.0,2743607228.53,3.89,2.03,139.96,1.06,BK0485,industry,旅游酒店
2010-01-11,7070.27,7079.29,7234.67,6923.7,3184974.0,3898769692.74,4.42,0.69,48.21,1.46,BK0485,industry,旅游酒店
2010-01-12,7055.26,7162.27,7242.64,6974.65,3282627.0,4177772966.89,3.79,1.17,82.98,1.51,BK0485,industry,旅游酒店
2010-01-13,7008.74,7162.16,7355.05,6946.63,3342197.0,4339201740.67,5.7,0.0,-0.11,1.53,BK0485,industry,旅游酒店
2010-01-14,7194.39,7277.5,7370.69,7115.85,2983677.0,3777596055.46,3.56,1.61,115.34,1.37,BK0485,industry,旅游酒店
2010-01-15,7290.32,7341.8,7462.4,7236.1,2531401.0,3367414480.29,3.11,0.88,64.3,1.16,BK0485,industry,旅游酒店
2010-01-18,7376.57,7621.81,7667.53,7321.4,3241473.0,4342527358.97,4.71,3.81,280.01,1.49,BK0485,industry,旅游酒店
2010-01-19,7644.08,7639.39,7738.1,7511.69,2815717.0,3958648341.42,2.97,0.23,17.58,1.29,BK0485,industry,旅游酒店
2010-01-20,7626.66,7330.9,7700.77,7266.87,3164329.0,4211918361.39,5.68,-4.04,-308.49,1.45,BK0485,industry,旅游酒店
2010-01-21,7331.85,7467.56,7600.67,7290.24,1965947.0,2522362281.99,4.23,1.86,136.66,0.9,BK0485,industry,旅游酒店
2010-01-22,7387.14,7391.18,7575.77,7173.2,2747086.0,3561629479.6,5.39,-1.02,-76.38,1.26,BK0485,industry,旅游酒店
2010-01-25,7328.15,7251.33,7484.15,7141.74,2012211.0,2543264435.56,4.63,-1.89,-139.85,0.92,BK0485,industry,旅游酒店
2010-01-26,7262.6,6951.7,7339.3,6885.84,2116206.0,2566704951.03,6.25,-4.13,-299.63,0.97,BK0485,industry,旅游酒店
2010-01-27,6956.81,6931.43,7130.96,6792.33,1738501.0,2092005828.99,4.87,-0.29,-20.27,0.8,BK0485,industry,旅游酒店
2010-01-28,6912.87,7065.25,7102.7,6859.12,1551371.0,1973912880.4,3.51,1.93,133.82,0.71,BK0485,industry,旅游酒店
2010-01-29,7015.46,7083.86,7237.29,6953.64,1754175.0,2183450729.64,4.01,0.26,18.61,0.81,BK0485,industry,旅游酒店
2010-02-01,7060.77,7082.98,7200.99,6885.55,1985157.0,2641319159.98,4.45,-0.01,-0.88,0.91,BK0485,industry,旅游酒店
2010-02-02,7109.91,6990.58,7207.31,6967.58,1732090.0,2266696915.05,3.38,-1.3,-92.4,0.8,BK0485,industry,旅游酒店
2010-02-03,6999.08,7130.13,7176.41,6745.63,2482805.0,3232800030.66,6.16,2.0,139.55,1.14,BK0485,industry,旅游酒店
2010-02-04,7117.33,7459.51,7560.63,7044.36,4066473.0,4826200571.96,7.24,4.62,329.38,1.87,BK0485,industry,旅游酒店
2010-02-05,7304.42,7272.72,7480.28,7134.71,3596434.0,4323953235.75,4.63,-2.5,-186.79,1.65,BK0485,industry,旅游酒店
2010-02-08,7239.56,7283.45,7419.74,7141.03,2317030.0,2859537863.18,3.83,0.15,10.73,1.06,BK0485,industry,旅游酒店
2010-02-09,7277.49,7237.33,7373.17,7123.09,1636842.0,1964574144.71,3.43,-0.63,-46.12,0.75,BK0485,industry,旅游酒店
2010-02-10,7284.79,7309.67,7370.82,7175.56,1454212.0,1765590287.48,2.7,1.0,72.34,0.67,BK0485,industry,旅游酒店
2010-02-11,7308.09,7245.04,7399.73,7185.57,1453946.0,1950783011.96,2.93,-0.88,-64.63,0.67,BK0485,industry,旅游酒店
2010-02-12,7264.07,7358.72,7403.96,7212.37,1399185.0,1831464865.31,2.64,1.57,113.68,0.64,BK0485,industry,旅游酒店
2010-02-22,7332.65,7324.05,7461.61,7235.48,1751260.0,2235783364.68,3.07,-0.47,-34.67,0.8,BK0485,industry,旅游酒店
2010-02-23,7317.53,7408.43,7460.09,7175.48,2156751.0,2534805638.28,3.89,1.15,84.38,0.99,BK0485,industry,旅游酒店
2010-02-24,7364.11,7479.78,7532.51,7299.88,2110672.0,2467096087.86,3.14,0.96,71.35,0.97,BK0485,industry,旅游酒店
2010-02-25,7499.05,7604.62,7669.6,7448.23,2680699.0,3421499852.1,2.96,1.67,124.84,1.23,BK0485,industry,旅游酒店
2010-02-26,7577.12,7577.08,7704.99,7497.61,2396988.0,2958944904.27,2.73,-0.36,-27.54,1.1,BK0485,industry,旅游酒店
2010-03-01,7572.0,7663.02,7757.96,7503.51,2745242.0,3395404733.59,3.36,1.13,85.94,1.26,BK0485,industry,旅游酒店
2010-03-02,7667.96,7614.44,7756.77,7518.26,2684601.0,3324268818.47,3.11,-0.63,-48.58,1.23,BK0485,industry,旅游酒店
