日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-10-12,998.27,980.5,1001.78,970.77,3385185.0,4011691520.0,3.1,-1.95,-19.5,1.45,BK1018,industry,橡胶制品
2021-10-13,980.01,987.61,988.6,971.0,2867414.0,3309966864.0,1.8,0.73,7.11,1.23,BK1018,industry,橡胶制品
2021-10-14,986.18,987.63,992.38,977.36,2473988.0,3131641520.0,1.52,0.0,0.02,1.06,BK1018,industry,橡胶制品
2021-10-15,986.09,982.1,986.47,974.26,3403584.0,4485266688.0,1.24,-0.56,-5.53,1.46,BK1018,industry,橡胶制品
2021-10-18,983.03,995.44,996.1,982.61,3086835.0,4048252816.0,1.37,1.36,13.34,1.33,BK1018,industry,橡胶制品
2021-10-19,995.91,1012.78,1013.51,993.08,3652465.0,4071140928.0,2.05,1.74,17.34,1.57,BK1018,industry,橡胶制品
2021-10-20,1009.21,1006.01,1009.8,1000.8,3726413.0,4378376704.0,0.89,-0.67,-6.77,1.6,BK1018,industry,橡胶制品
2021-10-21,1006.47,1000.94,1012.84,999.99,3731842.0,4548962048.0,1.28,-0.5,-5.07,1.6,BK1018,industry,橡胶制品
2021-10-22,1003.76,985.13,1004.92,985.05,3302053.0,4459470080.0,1.99,-1.58,-15.81,1.42,BK1018,industry,橡胶制品
2021-10-25,987.83,991.33,992.06,975.9,3249981.0,4797762816.0,1.64,0.63,6.2,1.4,BK1018,industry,橡胶制品
2021-10-26,993.24,985.17,995.06,982.18,3800013.0,5335868928.0,1.3,-0.62,-6.16,1.63,BK1018,industry,橡胶制品
2021-10-27,979.68,966.27,980.35,963.51,3535169.0,4522574336.0,1.71,-1.92,-18.9,1.52,BK1018,industry,橡胶制品
2021-10-28,962.54,951.5,969.01,946.29,3287517.0,4195438592.0,2.35,-1.53,-14.77,1.41,BK1018,industry,橡胶制品
2021-10-29,949.59,964.96,966.51,946.31,3374807.0,4790281728.0,2.12,1.41,13.46,1.45,BK1018,industry,橡胶制品
2021-11-01,960.99,986.94,991.51,960.36,3776557.0,5709972224.0,3.23,2.28,21.98,1.62,BK1018,industry,橡胶制品
2021-11-02,990.5,988.55,1004.43,979.88,4709064.0,6824628224.0,2.49,0.16,1.61,2.02,BK1018,industry,橡胶制品
2021-11-03,986.98,991.95,992.04,982.65,3352152.0,5132015872.0,0.95,0.34,3.4,1.44,BK1018,industry,橡胶制品
2021-11-04,993.57,1005.75,1006.48,993.25,3954755.0,5539209984.0,1.33,1.39,13.8,1.7,BK1018,industry,橡胶制品
2021-11-05,1002.67,989.54,1006.17,989.15,3275196.0,4895388928.0,1.69,-1.61,-16.21,1.41,BK1018,industry,橡胶制品
2021-11-08,988.5,1003.16,1003.16,985.64,2569095.0,4160891904.0,1.77,1.38,13.62,1.1,BK1018,industry,橡胶制品
2021-11-09,1009.69,1030.78,1031.02,1005.79,3592378.0,6041335040.0,2.52,2.75,27.62,1.54,BK1018,industry,橡胶制品
2021-11-10,1029.88,1028.23,1030.44,1014.01,3767413.0,5579149056.0,1.59,-0.25,-2.55,1.62,BK1018,industry,橡胶制品
2021-11-11,1024.59,1032.63,1037.0,1024.13,3382872.0,5220118784.0,1.25,0.43,4.4,1.45,BK1018,industry,橡胶制品
2021-11-12,1030.63,1049.46,1052.05,1030.63,3499155.0,5125537280.0,2.07,1.63,16.83,1.5,BK1018,industry,橡胶制品
2021-11-15,1049.4,1053.53,1054.53,1047.41,3798428.0,5620040192.0,0.68,0.39,4.07,1.63,BK1018,industry,橡胶制品
2021-11-16,1052.88,1029.69,1054.26,1028.05,3812198.0,5821385472.0,2.49,-2.26,-23.84,1.64,BK1018,industry,橡胶制品
2021-11-17,1030.04,1040.66,1040.69,1029.34,2954782.0,4357077248.0,1.1,1.07,10.97,1.27,BK1018,industry,橡胶制品
2021-11-18,1037.7,1027.57,1039.63,1027.53,2983384.0,4402692608.0,1.16,-1.26,-13.09,1.28,BK1018,industry,橡胶制品
2021-11-19,1027.94,1041.52,1042.7,1016.6,4049520.0,5465125376.0,2.54,1.36,13.95,1.74,BK1018,industry,橡胶制品
2021-11-22,1042.43,1054.91,1056.09,1039.25,4692109.0,6051950592.0,1.62,1.29,13.39,2.02,BK1018,industry,橡胶制品
2021-11-23,1053.98,1053.31,1059.61,1050.62,3798185.0,5167839744.0,0.85,-0.15,-1.6,1.63,BK1018,industry,橡胶制品
2021-11-24,1054.19,1052.2,1057.5,1048.47,3294136.0,4910152192.0,0.86,-0.11,-1.11,1.42,BK1018,industry,橡胶制品
2021-11-25,1054.14,1050.48,1054.95,1043.92,3440161.0,4401639936.0,1.05,-0.16,-1.72,1.48,BK1018,industry,橡胶制品
2021-11-26,1051.36,1061.63,1062.34,1046.38,3486751.0,4792794880.0,1.52,1.06,11.15,1.5,BK1018,industry,橡胶制品
2021-11-29,1045.36,1065.48,1067.1,1041.36,3617582.0,5446041088.0,2.42,0.36,3.85,1.55,BK1018,industry,橡胶制品
2021-11-30,1073.66,1077.72,1082.69,1072.05,4347561.0,6931827968.0,1.0,1.15,12.24,1.87,BK1018,industry,橡胶制品
2021-12-01,1077.2,1086.94,1088.71,1069.75,4882514.0,7133510912.0,1.76,0.86,9.22,2.1,BK1018,industry,橡胶制品
2021-12-02,1087.64,1082.99,1092.68,1079.66,4138528.0,5848667392.0,1.2,-0.36,-3.95,1.78,BK1018,industry,橡胶制品
2021-12-03,1082.2,1080.72,1085.69,1072.84,4112242.0,5672560896.0,1.19,-0.21,-2.27,1.77,BK1018,industry,橡胶制品
2021-12-06,1078.32,1070.02,1085.19,1069.16,4008784.0,5465681664.0,1.48,-0.99,-10.7,1.72,BK1018,industry,橡胶制品
2021-12-07,1075.4,1058.17,1077.09,1049.82,4282154.0,5840957440.0,2.55,-1.11,-11.85,1.84,BK1018,industry,橡胶制品
2021-12-08,1061.58,1080.6,1082.53,1057.98,4007587.0,5372965376.0,2.32,2.12,22.43,1.72,BK1018,industry,橡胶制品
2021-12-09,1079.37,1071.57,1079.37,1066.33,4436521.0,5219871232.0,1.21,-0.84,-9.03,1.91,BK1018,industry,橡胶制品
2021-12-10,1068.34,1083.31,1084.32,1066.93,3616479.0,4698444288.0,1.62,1.1,11.74,1.55,BK1018,industry,橡胶制品
2021-12-13,1086.46,1098.03,1100.87,1083.78,3710373.0,5290138368.0,1.58,1.36,14.72,1.59,BK1018,industry,橡胶制品
2021-12-14,1099.89,1094.39,1101.14,1091.97,3330800.0,4654634496.0,0.84,-0.33,-3.64,1.43,BK1018,industry,橡胶制品
2021-12-15,1096.76,1092.44,1101.35,1088.71,2930346.0,4081289264.0,1.15,-0.18,-1.95,1.26,BK1018,industry,橡胶制品
2021-12-16,1092.83,1103.84,1104.56,1091.42,2812358.0,3878655808.0,1.2,1.04,11.4,1.21,BK1018,industry,橡胶制品
2021-12-17,1105.32,1091.36,1105.43,1089.1,3172220.0,4171686768.0,1.48,-1.13,-12.48,1.36,BK1018,industry,橡胶制品
2021-12-20,1088.73,1078.36,1089.88,1077.66,2789227.0,3595039264.0,1.12,-1.19,-13.0,1.2,BK1018,industry,橡胶制品
