日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,10473.53,10340.73,10607.88,10231.74,2647058.0,4119909843.07,3.61,-0.76,-79.14,0.59,BK0424,industry,水泥建材
2010-01-05,10337.45,10391.46,10512.22,10167.42,2977318.0,4508840473.59,3.33,0.49,50.73,0.66,BK0424,industry,水泥建材
2010-01-06,10367.06,10357.54,10554.18,10251.53,3090163.0,4625926569.42,2.91,-0.33,-33.92,0.69,BK0424,industry,水泥建材
2010-01-07,10334.64,10083.69,10433.2,9999.02,2987843.0,4644947496.27,4.19,-2.64,-273.85,0.67,BK0424,industry,水泥建材
2010-01-08,10031.94,10172.76,10232.95,9897.03,2493591.0,3819633215.1,3.33,0.88,89.07,0.56,BK0424,industry,水泥建材
2010-01-11,10296.7,10150.73,10483.46,9963.17,3168378.0,5114824497.47,5.11,-0.22,-22.03,0.71,BK0424,industry,水泥建材
2010-01-12,10138.14,10353.26,10419.27,9982.49,3675435.0,6109650515.5,4.3,2.0,202.53,0.82,BK0424,industry,水泥建材
2010-01-13,10118.28,10094.9,10327.31,9958.17,3555013.0,5646371704.67,3.57,-2.5,-258.36,0.79,BK0424,industry,水泥建材
2010-01-14,10110.21,10222.07,10302.53,9975.42,3258735.0,5187087124.54,3.24,1.26,127.17,0.73,BK0424,industry,水泥建材
2010-01-15,10224.9,10359.95,10473.16,10110.53,3371965.0,5330756113.55,3.55,1.35,137.88,0.75,BK0424,industry,水泥建材
2010-01-18,10350.59,10489.96,10594.78,10270.58,3733316.0,5690092241.34,3.13,1.25,130.01,0.83,BK0424,industry,水泥建材
2010-01-19,10497.12,10529.22,10695.44,10297.25,4159261.0,6358784451.41,3.8,0.37,39.26,0.93,BK0424,industry,水泥建材
2010-01-20,10535.6,10095.19,10623.07,10007.65,4139300.0,6445984512.71,5.84,-4.12,-434.03,0.92,BK0424,industry,水泥建材
2010-01-21,10094.03,10094.49,10244.48,9911.6,2664186.0,3901348588.76,3.3,-0.01,-0.7,0.59,BK0424,industry,水泥建材
2010-01-22,9991.82,9818.72,10067.41,9606.39,2967979.0,4385647255.11,4.57,-2.73,-275.77,0.66,BK0424,industry,水泥建材
2010-01-25,9782.38,9752.8,9971.12,9660.74,1609579.0,2443486219.55,3.16,-0.67,-65.92,0.36,BK0424,industry,水泥建材
2010-01-26,9770.01,9461.65,9896.27,9351.69,2188766.0,3211710204.87,5.58,-2.99,-291.15,0.49,BK0424,industry,水泥建材
2010-01-27,9460.71,9395.29,9596.35,9269.03,1731662.0,2585093040.67,3.46,-0.7,-66.36,0.39,BK0424,industry,水泥建材
2010-01-28,9405.25,9486.51,9586.35,9268.5,1848715.0,2842047927.13,3.38,0.97,91.22,0.41,BK0424,industry,水泥建材
2010-01-29,9468.78,9741.89,9923.3,9388.04,3084447.0,4441732991.63,5.64,2.69,255.38,0.69,BK0424,industry,水泥建材
2010-02-01,9827.14,9794.7,10011.24,9615.88,4285979.0,5775943687.48,4.06,0.54,52.81,0.96,BK0424,industry,水泥建材
2010-02-02,9799.29,9677.5,9952.13,9611.47,3277933.0,4328167273.77,3.48,-1.2,-117.2,0.73,BK0424,industry,水泥建材
2010-02-03,9702.45,9711.44,9818.54,9311.32,3156182.0,4357482608.44,5.24,0.35,33.94,0.7,BK0424,industry,水泥建材
2010-02-04,9693.62,9955.41,10066.33,9575.66,4251208.0,5881166032.88,5.05,2.51,243.97,0.95,BK0424,industry,水泥建材
2010-02-05,9759.82,9613.75,9927.3,9512.02,3582043.0,5143693880.86,4.17,-3.43,-341.66,0.8,BK0424,industry,水泥建材
2010-02-08,9607.98,9613.85,9765.5,9459.88,2000568.0,2842879029.32,3.18,0.0,0.1,0.45,BK0424,industry,水泥建材
2010-02-09,9581.29,9628.85,9727.72,9494.84,1692720.0,2396529240.87,2.42,0.16,15.0,0.38,BK0424,industry,水泥建材
2010-02-10,9716.66,9780.15,9854.0,9606.07,1676978.0,2552807512.11,2.57,1.57,151.3,0.37,BK0424,industry,水泥建材
2010-02-11,9783.55,9712.07,9895.86,9630.21,1930844.0,2469011339.95,2.72,-0.7,-68.08,0.43,BK0424,industry,水泥建材
2010-02-12,9733.87,9798.35,9852.79,9661.73,1432697.0,2046630048.98,1.97,0.89,86.28,0.32,BK0424,industry,水泥建材
2010-02-22,9776.49,9896.07,10052.89,9699.82,2564692.0,3255397380.48,3.6,1.0,97.72,0.57,BK0424,industry,水泥建材
2010-02-23,9878.93,9965.65,10044.58,9692.17,2925920.0,3997422798.96,3.56,0.7,69.58,0.65,BK0424,industry,水泥建材
2010-02-24,9927.38,10111.48,10174.03,9825.38,3268925.0,4549347840.55,3.5,1.46,145.83,0.73,BK0424,industry,水泥建材
2010-02-25,10124.49,10211.47,10320.53,10061.48,3181147.0,4335171771.16,2.56,0.99,99.99,0.71,BK0424,industry,水泥建材
2010-02-26,10194.39,10243.99,10391.32,10086.88,3597584.0,4863969000.06,2.98,0.32,32.52,0.8,BK0424,industry,水泥建材
2010-03-01,10244.11,10382.67,10482.02,10193.5,3500773.0,4790806239.16,2.82,1.35,138.68,0.78,BK0424,industry,水泥建材
2010-03-02,10436.41,10361.74,10621.47,10261.91,3551144.0,4916430309.94,3.46,-0.2,-20.93,0.79,BK0424,industry,水泥建材
2010-03-03,10358.78,10498.66,10562.97,10241.5,3364169.0,4772379470.4,3.1,1.32,136.92,0.75,BK0424,industry,水泥建材
2010-03-04,10505.47,10154.49,10625.51,10096.97,4035487.0,5631208396.24,5.03,-3.28,-344.17,0.9,BK0424,industry,水泥建材
2010-03-05,10161.88,10216.62,10357.16,10036.06,2664600.0,3727024578.77,3.16,0.61,62.13,0.59,BK0424,industry,水泥建材
2010-03-08,10256.42,10319.6,10428.79,10163.13,2317228.0,3206251512.08,2.6,1.01,102.98,0.52,BK0424,industry,水泥建材
2010-03-09,10314.9,10320.04,10449.17,10170.54,2206224.0,3220771844.95,2.7,0.0,0.44,0.49,BK0424,industry,水泥建材
2010-03-10,10320.66,10240.08,10448.05,10159.85,1939785.0,3056061542.27,2.79,-0.77,-79.96,0.43,BK0424,industry,水泥建材
2010-03-11,10231.52,10240.39,10380.28,10092.66,1886203.0,2886706379.37,2.81,0.0,0.31,0.42,BK0424,industry,水泥建材
2010-03-12,10250.4,10077.83,10354.49,10027.96,1902601.0,2846548995.19,3.19,-1.59,-162.56,0.42,BK0424,industry,水泥建材
2010-03-15,10058.72,9945.08,10140.85,9828.93,1596128.0,2319377419.68,3.1,-1.32,-132.75,0.36,BK0424,industry,水泥建材
2010-03-16,9941.86,9974.13,10054.99,9798.96,1469511.0,2103839587.39,2.57,0.29,29.05,0.33,BK0424,industry,水泥建材
2010-03-17,9998.67,10205.25,10236.66,9939.41,2047944.0,2988113569.16,2.98,2.32,231.12,0.46,BK0424,industry,水泥建材
2010-03-18,10211.64,10244.87,10353.18,10119.08,2048426.0,2933876270.2,2.29,0.39,39.62,0.46,BK0424,industry,水泥建材
2010-03-19,10257.32,10283.14,10356.56,10149.53,1837514.0,2674898878.21,2.02,0.37,38.27,0.41,BK0424,industry,水泥建材
2010-03-22,10298.42,10303.56,10401.53,10198.22,1957045.0,2979377998.69,1.98,0.2,20.42,0.44,BK0424,industry,水泥建材
2010-03-23,10308.32,10270.75,10428.77,10174.38,2190235.0,3394067043.28,2.47,-0.32,-32.81,0.49,BK0424,industry,水泥建材
2010-03-24,10288.38,10482.21,10577.34,10240.02,2967946.0,5043727445.23,3.28,2.06,211.46,0.66,BK0424,industry,水泥建材
2010-03-25,10483.23,10387.52,10580.39,10316.11,2756254.0,4584217710.16,2.52,-0.9,-94.69,0.62,BK0424,industry,水泥建材
2010-03-26,10383.1,10509.68,10597.64,10303.22,2229951.0,3651292415.03,2.83,1.18,122.16,0.5,BK0424,industry,水泥建材
2010-03-29,10569.46,10599.3,10717.57,10441.11,3082016.0,4751730169.62,2.63,0.85,89.62,0.69,BK0424,industry,水泥建材
2010-03-30,10625.58,10613.72,10754.47,10497.54,2928251.0,4888097780.27,2.42,0.14,14.42,0.65,BK0424,industry,水泥建材
2010-03-31,10625.63,10557.6,10723.61,10443.18,2778247.0,4618824641.03,2.64,-0.53,-56.12,0.62,BK0424,industry,水泥建材
2010-04-01,10582.28,10765.67,10832.3,10535.48,3924552.0,6141617615.1,2.81,1.97,208.07,0.88,BK0424,industry,水泥建材
2010-04-02,10778.41,10842.58,10958.1,10687.0,3161304.0,4999754644.19,2.52,0.71,76.91,0.71,BK0424,industry,水泥建材
2010-04-06,10869.64,10811.13,10999.51,10710.57,3160239.0,4841697792.06,2.66,-0.29,-31.45,0.71,BK0424,industry,水泥建材
2010-04-07,10818.02,10804.06,10944.02,10628.4,2843613.0,4494073762.31,2.92,-0.07,-7.07,0.63,BK0424,industry,水泥建材
2010-04-08,10794.73,10773.46,10927.03,10669.02,3027184.0,5043491949.02,2.39,-0.28,-30.6,0.68,BK0424,industry,水泥建材
2010-04-09,10780.6,10907.26,10977.98,10718.42,2982214.0,5010236577.04,2.41,1.24,133.8,0.67,BK0424,industry,水泥建材
2010-04-12,10959.48,10893.33,11123.65,10741.44,3699358.0,6081201150.35,3.5,-0.13,-13.93,0.83,BK0424,industry,水泥建材
2010-04-13,10873.9,10805.81,11034.53,10469.63,4539130.0,7092379735.7,5.19,-0.8,-87.52,1.01,BK0424,industry,水泥建材
2010-04-14,10778.73,10932.2,11023.52,10694.18,3433330.0,5513825373.06,3.05,1.17,126.39,0.77,BK0424,industry,水泥建材
2010-04-15,10960.62,10783.7,11062.71,10665.84,3679136.0,6216293683.1,3.63,-1.36,-148.5,0.82,BK0424,industry,水泥建材
2010-04-16,10761.71,10669.48,10866.54,10521.69,2928860.0,4493843030.13,3.2,-1.06,-114.22,0.65,BK0424,industry,水泥建材
2010-04-19,10569.64,10099.73,10666.38,10038.19,3542449.0,5246706095.51,5.89,-5.34,-569.75,0.79,BK0424,industry,水泥建材
2010-04-20,10086.63,10067.16,10265.47,9835.14,3157290.0,4509388511.2,4.26,-0.32,-32.57,0.7,BK0424,industry,水泥建材
2010-04-21,10077.58,10286.3,10329.78,9989.87,3106168.0,4664750425.71,3.38,2.18,219.14,0.69,BK0424,industry,水泥建材
2010-04-22,10252.15,10251.15,10388.09,10050.17,3122797.0,4725752406.03,3.29,-0.34,-35.15,0.7,BK0424,industry,水泥建材
2010-04-23,10205.96,10153.57,10347.72,10040.96,2891676.0,4368244791.86,2.99,-0.95,-97.58,0.65,BK0424,industry,水泥建材
2010-04-26,10164.12,10087.59,10290.6,9999.97,2582928.0,4305090900.09,2.86,-0.65,-65.98,0.58,BK0424,industry,水泥建材
2010-04-27,10057.48,9736.31,10101.96,9538.9,2988223.0,4342233906.87,5.58,-3.48,-351.28,0.67,BK0424,industry,水泥建材
2010-04-28,9632.98,9632.63,9799.01,9484.43,1948060.0,2924077758.25,3.23,-1.06,-103.68,0.43,BK0424,industry,水泥建材
2010-04-29,9666.27,9530.88,9862.98,9472.52,2339420.0,3535452130.59,4.05,-1.06,-101.75,0.52,BK0424,industry,水泥建材
2010-04-30,9516.81,9329.18,9607.88,9127.94,2191573.0,3186505538.46,5.04,-2.12,-201.7,0.49,BK0424,industry,水泥建材
2010-05-04,9179.13,9208.66,9381.22,9006.21,1493845.0,2200510223.27,4.02,-1.29,-120.52,0.33,BK0424,industry,水泥建材
2010-05-05,9132.88,9332.72,9390.85,8946.24,1958741.0,2915872127.45,4.83,1.35,124.06,0.44,BK0424,industry,水泥建材
2010-05-06,9330.98,9021.22,9444.65,8986.2,2141841.0,2945945177.09,4.91,-3.34,-311.5,0.48,BK0424,industry,水泥建材
2010-05-07,8823.35,8758.86,9040.89,8648.44,1775188.0,2513017702.72,4.35,-2.91,-262.36,0.4,BK0424,industry,水泥建材
2010-05-10,8752.32,8771.27,8936.3,8513.0,1541820.0,2249724059.91,4.83,0.14,12.41,0.34,BK0424,industry,水泥建材
