日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-10-08,1005.3,1021.7,1021.99,1005.3,3238419.0,1264994512.0,1.67,2.17,21.7,3.24,BK1016,industry,汽车服务
2021-10-11,1022.34,1026.38,1030.73,1020.96,2527893.0,1178204032.0,0.96,0.46,4.68,2.53,BK1016,industry,汽车服务
2021-10-12,1025.15,1007.42,1025.15,998.4,2466896.0,1024219040.0,2.61,-1.85,-18.96,2.47,BK1016,industry,汽车服务
2021-10-13,1013.84,1017.11,1020.56,1002.52,2061595.0,914078384.0,1.79,0.96,9.69,2.06,BK1016,industry,汽车服务
2021-10-14,1018.03,1021.13,1025.26,1007.68,2041391.0,982680304.0,1.73,0.4,4.02,2.04,BK1016,industry,汽车服务
2021-10-15,1020.96,1012.46,1020.96,1010.55,1791568.0,917542224.0,1.02,-0.85,-8.67,1.79,BK1016,industry,汽车服务
2021-10-18,1005.35,1020.8,1021.06,998.93,2427012.0,1189013712.0,2.19,0.82,8.34,2.43,BK1016,industry,汽车服务
2021-10-19,1018.23,1011.91,1023.34,1010.29,1842321.0,994263584.0,1.28,-0.87,-8.89,1.84,BK1016,industry,汽车服务
2021-10-20,1013.62,1010.63,1014.97,1004.32,1704038.0,911339696.0,1.05,-0.13,-1.28,1.7,BK1016,industry,汽车服务
2021-10-21,1008.8,1003.14,1015.16,998.46,1686501.0,846997120.0,1.65,-0.74,-7.49,1.69,BK1016,industry,汽车服务
2021-10-22,1001.89,984.95,1004.59,984.3,2151196.0,897929632.0,2.02,-1.81,-18.19,2.15,BK1016,industry,汽车服务
2021-10-25,982.82,982.05,983.46,974.51,1918055.0,813776768.0,0.91,-0.29,-2.9,1.92,BK1016,industry,汽车服务
2021-10-26,983.12,987.3,988.83,980.95,2013681.0,967360800.0,0.8,0.53,5.25,2.01,BK1016,industry,汽车服务
2021-10-27,990.73,981.86,996.5,978.22,2498101.0,1156283712.0,1.85,-0.55,-5.44,2.5,BK1016,industry,汽车服务
2021-10-28,978.2,971.42,981.02,968.12,3391864.0,1518742576.0,1.31,-1.06,-10.44,3.39,BK1016,industry,汽车服务
2021-10-29,972.4,994.86,996.09,968.25,3405547.0,1435439088.0,2.87,2.41,23.44,3.41,BK1016,industry,汽车服务
2021-11-01,992.63,1008.26,1012.74,989.98,3384959.0,1613369408.0,2.29,1.35,13.4,3.39,BK1016,industry,汽车服务
2021-11-02,1008.85,1010.83,1015.17,999.06,3544967.0,1637165808.0,1.6,0.25,2.57,3.55,BK1016,industry,汽车服务
2021-11-03,1007.75,1020.69,1021.39,1006.3,2654763.0,1391209792.0,1.49,0.98,9.86,2.66,BK1016,industry,汽车服务
2021-11-04,1025.47,1036.13,1037.3,1022.9,3310004.0,1942444752.0,1.41,1.51,15.44,3.31,BK1016,industry,汽车服务
2021-11-05,1030.78,1027.86,1035.15,1022.4,3353543.0,1714624560.0,1.23,-0.8,-8.27,3.35,BK1016,industry,汽车服务
2021-11-08,1023.17,1018.49,1023.17,1012.03,2874337.0,1471394224.0,1.08,-0.91,-9.37,2.88,BK1016,industry,汽车服务
2021-11-09,1019.77,1030.12,1031.07,1019.77,2949892.0,1468362896.0,1.11,1.14,11.63,2.95,BK1016,industry,汽车服务
2021-11-10,1029.73,1031.64,1032.46,1020.45,2960784.0,1401653296.0,1.17,0.15,1.52,2.96,BK1016,industry,汽车服务
2021-11-11,1030.9,1031.39,1036.09,1028.6,2934179.0,1196894080.0,0.73,-0.02,-0.25,2.94,BK1016,industry,汽车服务
2021-11-12,1029.4,1045.21,1047.35,1028.51,3717580.0,1558718384.0,1.83,1.34,13.82,3.72,BK1016,industry,汽车服务
2021-11-15,1042.65,1053.47,1056.67,1041.82,3683622.0,1988498208.0,1.42,0.79,8.26,3.68,BK1016,industry,汽车服务
2021-11-16,1047.7,1047.45,1055.0,1044.79,4210643.0,1830748880.0,0.97,-0.57,-6.02,4.21,BK1016,industry,汽车服务
