日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,8765.46,8748.04,8930.8,8658.94,5591308.0,7306671186.59,3.13,0.67,58.34,0.49,BK0481,industry,汽车零部件
2010-01-05,8743.59,8684.06,8837.39,8521.91,5512213.0,7401276980.18,3.61,-0.73,-63.98,0.48,BK0481,industry,汽车零部件
2010-01-06,8698.61,8557.25,8801.18,8480.99,6544734.0,9238330217.33,3.69,-1.46,-126.81,0.57,BK0481,industry,汽车零部件
2010-01-07,8529.84,8287.0,8593.89,8177.45,7870365.0,10433555706.76,4.87,-3.16,-270.25,0.69,BK0481,industry,汽车零部件
2010-01-08,8220.49,8257.79,8335.73,8004.38,5702381.0,7876064746.29,4.0,-0.35,-29.21,0.5,BK0481,industry,汽车零部件
2010-01-11,8281.27,8157.86,8381.06,8041.89,5611267.0,7206607342.5,4.11,-1.21,-99.93,0.49,BK0481,industry,汽车零部件
2010-01-12,8162.82,8382.18,8413.62,8108.5,5719199.0,7542278832.41,3.74,2.75,224.32,0.5,BK0481,industry,汽车零部件
2010-01-13,8220.49,8237.67,8401.69,8128.09,5664369.0,7258764885.04,3.26,-1.72,-144.51,0.49,BK0481,industry,汽车零部件
2010-01-14,8253.16,8413.18,8458.54,8189.08,5688839.0,7256799426.61,3.27,2.13,175.51,0.5,BK0481,industry,汽车零部件
2010-01-15,8420.24,8528.93,8610.98,8365.18,5995295.0,7859935118.95,2.92,1.38,115.75,0.52,BK0481,industry,汽车零部件
2010-01-18,8543.44,8580.24,8672.77,8403.0,5994631.0,7758595164.68,3.16,0.6,51.31,0.52,BK0481,industry,汽车零部件
2010-01-19,8615.13,8568.54,8712.92,8444.03,5938409.0,7520881574.0,3.13,-0.14,-11.7,0.52,BK0481,industry,汽车零部件
2010-01-20,8575.48,8319.27,8702.05,8240.73,8264999.0,9810205087.67,5.38,-2.91,-249.27,0.72,BK0481,industry,汽车零部件
