日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-03-01,1004.94,1028.59,1037.95,996.48,9327786.0,19788770685.0,4.15,2.86,28.59,1.18,BK1037,industry,消费电子
2021-03-02,1029.4,1020.39,1041.14,1006.9,9105425.0,21885568645.0,3.33,-0.8,-8.2,1.15,BK1037,industry,消费电子
2021-03-03,1017.97,1032.24,1042.0,1004.78,7620334.0,17251852766.0,3.65,1.16,11.85,0.96,BK1037,industry,消费电子
2021-03-04,1026.64,1017.54,1044.4,1005.94,8661906.0,19236679324.0,3.73,-1.42,-14.7,1.09,BK1037,industry,消费电子
2021-03-05,1012.26,1033.89,1046.49,1003.06,8527151.0,18873876985.0,4.27,1.61,16.35,1.07,BK1037,industry,消费电子
2021-03-08,1039.99,1020.34,1059.84,1013.42,8878699.0,19470301398.0,4.49,-1.31,-13.55,1.12,BK1037,industry,消费电子
2021-03-09,1017.01,983.47,1030.34,964.84,9668058.0,20058323180.0,6.42,-3.61,-36.87,1.22,BK1037,industry,消费电子
2021-03-10,991.2,965.17,1004.25,955.44,7813298.0,16708940014.0,4.96,-1.86,-18.3,0.98,BK1037,industry,消费电子
2021-03-11,967.3,979.28,991.43,946.24,9571148.0,22419674749.0,4.68,1.46,14.11,1.21,BK1037,industry,消费电子
2021-03-12,979.09,966.37,988.25,954.41,7733313.0,17786096549.0,3.46,-1.32,-12.91,0.97,BK1037,industry,消费电子
2021-03-15,964.35,952.41,975.69,939.0,7702380.0,17485607845.0,3.8,-1.44,-13.96,0.97,BK1037,industry,消费电子
2021-03-16,954.63,964.77,977.38,942.76,6744899.0,14333807932.0,3.63,1.3,12.36,0.85,BK1037,industry,消费电子
2021-03-17,963.91,979.97,992.84,950.37,7393554.0,15688706059.0,4.4,1.58,15.2,0.93,BK1037,industry,消费电子
2021-03-18,980.09,976.04,994.04,965.03,6595820.0,13485678948.0,2.96,-0.4,-3.93,0.83,BK1037,industry,消费电子
2021-03-19,968.4,975.81,994.77,957.0,7719891.0,16907034106.0,3.87,-0.02,-0.23,0.97,BK1037,industry,消费电子
2021-03-22,977.98,994.04,1001.75,968.47,7804939.0,17063616924.0,3.41,1.87,18.23,0.98,BK1037,industry,消费电子
2021-03-23,991.75,985.96,1008.82,973.18,8309017.0,16003710737.0,3.59,-0.81,-8.08,1.05,BK1037,industry,消费电子
2021-03-24,981.8,974.56,997.1,962.4,7111966.0,14506489628.0,3.52,-1.16,-11.4,0.9,BK1037,industry,消费电子
2021-03-25,971.87,975.18,992.18,959.7,6288837.0,12666898792.0,3.33,0.06,0.62,0.79,BK1037,industry,消费电子
