日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,9017.2,8880.4,9058.04,8855.33,1888684.0,4430079545.97,2.26,-0.83,-74.12,0.18,BK0437,industry,煤炭行业
2010-01-05,8966.22,9203.1,9259.68,8935.61,4530096.0,10293995081.32,3.65,3.63,322.7,0.43,BK0437,industry,煤炭行业
2010-01-06,9252.85,9220.54,9484.46,9157.97,4929760.0,10999970075.04,3.55,0.19,17.44,0.47,BK0437,industry,煤炭行业
2010-01-07,9278.41,9039.13,9427.76,8974.49,3642352.0,8669451099.57,4.92,-1.97,-181.41,0.34,BK0437,industry,煤炭行业
2010-01-08,9030.46,8936.61,9070.2,8728.7,2880321.0,6895388013.22,3.78,-1.13,-102.52,0.27,BK0437,industry,煤炭行业
2010-01-11,9126.06,8862.4,9201.09,8773.08,2620205.0,6433980555.94,4.79,-0.83,-74.21,0.25,BK0437,industry,煤炭行业
2010-01-12,8864.42,8945.26,8965.05,8640.92,3700247.0,9099173901.39,3.66,0.93,82.86,0.35,BK0437,industry,煤炭行业
2010-01-13,8708.97,8475.74,8797.58,8404.27,4996781.0,13125481328.67,4.4,-5.25,-469.52,0.47,BK0437,industry,煤炭行业
2010-01-14,8518.76,8594.58,8628.15,8353.32,3333141.0,8060139256.34,3.24,1.4,118.84,0.32,BK0437,industry,煤炭行业
2010-01-15,8557.37,8569.98,8640.43,8418.76,2765095.0,6257747842.71,2.58,-0.29,-24.6,0.26,BK0437,industry,煤炭行业
2010-01-18,8539.1,8566.06,8608.75,8437.96,2688969.0,5947727494.66,1.99,-0.05,-3.92,0.25,BK0437,industry,煤炭行业
2010-01-19,8595.17,8624.38,8794.01,8559.62,3552489.0,8241102717.44,2.74,0.68,58.32,0.34,BK0437,industry,煤炭行业
2010-01-20,8657.12,8257.57,8686.13,8211.99,3697938.0,8368472180.83,5.5,-4.25,-366.81,0.35,BK0437,industry,煤炭行业
2010-01-21,8216.21,8078.66,8300.04,7966.09,3144236.0,8011219714.53,4.04,-2.17,-178.91,0.3,BK0437,industry,煤炭行业
2010-01-22,7962.7,7820.12,7992.3,7638.04,3530012.0,8299405283.34,4.39,-3.2,-258.54,0.33,BK0437,industry,煤炭行业
2010-01-25,7771.2,7779.26,7903.76,7683.4,1430109.0,3249444280.19,2.82,-0.52,-40.86,0.14,BK0437,industry,煤炭行业
2010-01-26,7801.68,7463.85,7851.85,7404.23,2125878.0,4679531900.98,5.75,-4.05,-315.41,0.2,BK0437,industry,煤炭行业
2010-01-27,7460.73,7460.03,7674.49,7299.58,2263853.0,5006954843.18,5.02,-0.05,-3.82,0.21,BK0437,industry,煤炭行业
2010-01-28,7459.07,7520.9,7581.43,7359.9,1615364.0,3721570707.49,2.97,0.82,60.87,0.15,BK0437,industry,煤炭行业
2010-01-29,7485.1,7470.21,7627.37,7410.43,1742839.0,3876163136.51,2.88,-0.67,-50.69,0.16,BK0437,industry,煤炭行业
2010-02-01,7422.71,7131.76,7439.59,7079.78,2209743.0,4729974024.6,4.82,-4.53,-338.45,0.21,BK0437,industry,煤炭行业
2010-02-02,7232.32,7166.42,7377.76,7129.85,2057623.0,4685095305.9,3.48,0.49,34.66,0.19,BK0437,industry,煤炭行业
2010-02-03,7266.09,7669.92,7740.89,7093.7,3397367.0,7578493938.56,9.03,7.03,503.5,0.32,BK0437,industry,煤炭行业
2010-02-04,7580.6,7535.94,7657.44,7464.92,2429276.0,5323407560.09,2.51,-1.75,-133.98,0.23,BK0437,industry,煤炭行业
2010-02-05,7259.45,7270.1,7381.75,7171.65,2457117.0,5222442852.69,2.79,-3.53,-265.84,0.23,BK0437,industry,煤炭行业
2010-02-08,7261.69,7342.45,7438.6,7195.73,1537741.0,3246188746.56,3.34,1.0,72.35,0.15,BK0437,industry,煤炭行业
2010-02-09,7325.36,7394.93,7479.35,7288.61,1250596.0,2808757712.08,2.6,0.71,52.48,0.12,BK0437,industry,煤炭行业
2010-02-10,7525.01,7517.68,7602.39,7447.12,1621406.0,3614348074.23,2.1,1.66,122.75,0.15,BK0437,industry,煤炭行业
2010-02-11,7530.36,7494.14,7583.37,7456.82,1151651.0,2468331094.84,1.68,-0.31,-23.54,0.11,BK0437,industry,煤炭行业
2010-02-12,7539.67,7627.92,7660.1,7515.14,1354012.0,3133226794.59,1.93,1.79,133.78,0.13,BK0437,industry,煤炭行业
2010-02-22,7648.55,7559.55,7727.43,7539.58,1455538.0,3158092503.07,2.46,-0.9,-68.37,0.14,BK0437,industry,煤炭行业
2010-02-23,7547.39,7405.3,7567.91,7276.78,1729741.0,3643037033.51,3.85,-2.04,-154.25,0.16,BK0437,industry,煤炭行业
2010-02-24,7333.91,7506.08,7525.04,7276.2,1766053.0,3564665735.68,3.36,1.36,100.78,0.17,BK0437,industry,煤炭行业
2010-02-25,7544.59,7650.57,7680.89,7518.16,2373331.0,4787181636.89,2.17,1.92,144.49,0.22,BK0437,industry,煤炭行业
2010-02-26,7622.69,7566.1,7680.24,7530.28,1800770.0,3706603837.32,1.96,-1.1,-84.47,0.17,BK0437,industry,煤炭行业
2010-03-01,7582.03,7688.11,7726.21,7550.25,2240162.0,4473179313.76,2.33,1.61,122.01,0.21,BK0437,industry,煤炭行业
2010-03-02,7677.35,7544.69,7750.26,7495.77,2663062.0,5510572926.05,3.31,-1.87,-143.42,0.25,BK0437,industry,煤炭行业
2010-03-03,7543.69,7647.45,7687.46,7442.37,2588681.0,4630903438.48,3.25,1.36,102.76,0.24,BK0437,industry,煤炭行业
2010-03-04,7656.86,7459.17,7727.29,7437.78,2639295.0,5237596217.07,3.79,-2.46,-188.28,0.25,BK0437,industry,煤炭行业
2010-03-05,7462.28,7436.53,7547.62,7382.31,1718061.0,3248903431.44,2.22,-0.3,-22.64,0.16,BK0437,industry,煤炭行业
2010-03-08,7500.0,7509.22,7576.77,7453.44,1538165.0,2966888713.25,1.66,0.98,72.69,0.15,BK0437,industry,煤炭行业
2010-03-09,7515.23,7704.53,7840.04,7408.9,4305327.0,7905632868.36,5.74,2.6,195.31,0.41,BK0437,industry,煤炭行业
2010-03-10,7684.58,7590.61,7719.75,7542.0,2563639.0,4569622523.08,2.31,-1.48,-113.92,0.24,BK0437,industry,煤炭行业
2010-03-11,7584.33,7537.13,7651.94,7473.99,1582504.0,3073246696.62,2.34,-0.7,-53.48,0.15,BK0437,industry,煤炭行业
2010-03-12,7543.48,7432.24,7598.01,7412.76,1667526.0,3300613230.28,2.46,-1.39,-104.89,0.16,BK0437,industry,煤炭行业
2010-03-15,7421.44,7266.33,7453.86,7225.61,1736979.0,3628767176.24,3.07,-2.23,-165.91,0.16,BK0437,industry,煤炭行业
2010-03-16,7265.78,7232.73,7311.76,7148.11,1434056.0,3058672223.44,2.25,-0.46,-33.6,0.14,BK0437,industry,煤炭行业
2010-03-17,7277.87,7395.83,7420.34,7240.75,1821313.0,3722651890.34,2.48,2.26,163.1,0.17,BK0437,industry,煤炭行业
2010-03-18,7412.51,7461.42,7543.87,7362.28,2304231.0,4324484591.17,2.46,0.89,65.59,0.22,BK0437,industry,煤炭行业
2010-03-19,7458.72,7554.65,7594.69,7383.11,2298021.0,4660015561.75,2.84,1.25,93.23,0.22,BK0437,industry,煤炭行业
2010-03-22,7550.93,7612.08,7673.67,7508.14,2216606.0,4733704901.38,2.19,0.76,57.43,0.21,BK0437,industry,煤炭行业
2010-03-23,7618.24,7624.46,7752.89,7566.92,2501918.0,5243548292.67,2.44,0.16,12.38,0.24,BK0437,industry,煤炭行业
2010-03-24,7654.05,7600.37,7739.42,7566.87,2077713.0,4215935141.36,2.26,-0.32,-24.09,0.2,BK0437,industry,煤炭行业
2010-03-25,7572.56,7481.1,7601.36,7415.65,1936375.0,3852194750.42,2.44,-1.57,-119.27,0.18,BK0437,industry,煤炭行业
2010-03-26,7468.55,7581.95,7633.26,7433.7,1604165.0,3367400714.31,2.67,1.35,100.85,0.15,BK0437,industry,煤炭行业
2010-03-29,7647.84,7905.58,7980.81,7624.76,4665162.0,10907817142.17,4.7,4.27,323.63,0.44,BK0437,industry,煤炭行业
2010-03-30,7922.33,7972.92,8027.78,7844.39,3279009.0,7810336633.06,2.32,0.85,67.34,0.31,BK0437,industry,煤炭行业
2010-03-31,7956.07,7871.54,7999.05,7814.12,3165095.0,8050312567.69,2.32,-1.27,-101.38,0.3,BK0437,industry,煤炭行业
2010-04-01,7883.93,7993.81,8065.46,7877.09,3896165.0,8128772021.01,2.39,1.55,122.27,0.37,BK0437,industry,煤炭行业
2010-04-02,8040.21,8175.38,8232.14,8028.54,4739073.0,10671927331.19,2.55,2.27,181.57,0.45,BK0437,industry,煤炭行业
2010-04-06,8263.33,8279.31,8455.58,8177.34,4615094.0,11000976573.72,3.4,1.27,103.93,0.44,BK0437,industry,煤炭行业
2010-04-07,8269.39,8243.17,8332.23,8135.48,2976000.0,7153311142.41,2.38,-0.44,-36.14,0.28,BK0437,industry,煤炭行业
2010-04-08,8200.63,8014.16,8231.73,7979.78,2913923.0,7107661529.02,3.06,-2.78,-229.01,0.28,BK0437,industry,煤炭行业
2010-04-09,8018.47,8136.4,8164.6,7965.09,2650125.0,6047168142.54,2.49,1.53,122.24,0.25,BK0437,industry,煤炭行业
2010-04-12,8180.14,8049.94,8237.87,7969.29,2682596.0,5995901879.78,3.3,-1.06,-86.46,0.25,BK0437,industry,煤炭行业
2010-04-13,8024.09,8149.04,8234.24,7917.46,3282087.0,7469981209.6,3.94,1.23,99.1,0.31,BK0437,industry,煤炭行业
2010-04-14,8194.98,8193.37,8276.85,8112.12,2793873.0,6083232396.19,2.02,0.54,44.33,0.26,BK0437,industry,煤炭行业
2010-04-15,8231.87,8331.39,8408.55,8172.63,3635111.0,7459991945.28,2.88,1.68,138.02,0.34,BK0437,industry,煤炭行业
2010-04-16,8312.07,8166.56,8346.96,8098.27,2489987.0,5415455662.0,2.98,-1.98,-164.83,0.24,BK0437,industry,煤炭行业
2010-04-19,8030.97,7644.92,8060.27,7600.89,3786233.0,8338182791.08,5.63,-6.39,-521.64,0.36,BK0437,industry,煤炭行业
2010-04-20,7634.2,7664.96,7761.07,7492.08,2493075.0,5529755980.78,3.52,0.26,20.04,0.24,BK0437,industry,煤炭行业
2010-04-21,7710.91,7939.95,7962.42,7649.71,2812510.0,6634711127.71,4.08,3.59,274.99,0.27,BK0437,industry,煤炭行业
2010-04-22,7895.68,7920.42,8067.75,7741.24,3211224.0,8332726286.1,4.11,-0.25,-19.53,0.3,BK0437,industry,煤炭行业
2010-04-23,7948.54,8064.29,8292.59,7882.65,4132837.0,11701687194.61,5.18,1.82,143.87,0.39,BK0437,industry,煤炭行业
2010-04-26,8123.31,8010.95,8204.02,7959.61,2602644.0,6421487652.8,3.03,-0.66,-53.34,0.25,BK0437,industry,煤炭行业
