日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-02-10,1000.67,1008.96,1019.62,990.24,1205822.0,861147536.0,2.94,0.9,8.96,0.4,BK1028,industry,燃气
2021-02-18,1023.88,1038.59,1048.21,1013.97,1954960.0,1495860591.0,3.39,2.94,29.63,0.65,BK1028,industry,燃气
2021-02-19,1036.32,1059.1,1065.64,1024.94,2038099.0,1446268569.0,3.92,1.97,20.51,0.68,BK1028,industry,燃气
2021-02-22,1060.2,1071.36,1095.82,1055.17,2512077.0,1802655923.0,3.84,1.16,12.26,0.84,BK1028,industry,燃气
2021-02-23,1069.99,1069.16,1088.64,1055.11,1906498.0,1435148576.0,3.13,-0.21,-2.2,0.64,BK1028,industry,燃气
2021-02-24,1072.38,1062.51,1085.08,1050.75,1733846.0,1325822211.0,3.21,-0.62,-6.65,0.58,BK1028,industry,燃气
2021-02-25,1063.71,1062.73,1079.82,1047.64,1837398.0,1171714583.0,3.03,0.02,0.22,0.62,BK1028,industry,燃气
2021-02-26,1052.52,1056.3,1070.06,1039.11,1802329.0,1243140135.0,2.91,-0.61,-6.43,0.6,BK1028,industry,燃气
2021-03-01,1059.2,1067.27,1072.91,1050.76,1355279.0,907693166.0,2.1,1.04,10.97,0.45,BK1028,industry,燃气
2021-03-02,1068.96,1072.66,1090.05,1054.18,1948064.0,1314197730.0,3.36,0.51,5.39,0.65,BK1028,industry,燃气
2021-03-03,1068.77,1081.94,1090.49,1059.48,1935487.0,1267630688.0,2.89,0.87,9.28,0.65,BK1028,industry,燃气
2021-03-04,1077.97,1089.47,1106.28,1069.64,2248224.0,1510038824.0,3.39,0.7,7.53,0.75,BK1028,industry,燃气
2021-03-05,1087.02,1114.41,1131.03,1078.81,3103366.0,2048177107.0,4.79,2.29,24.94,1.04,BK1028,industry,燃气
2021-03-08,1120.37,1101.94,1134.12,1091.19,3112671.0,2080545023.0,3.85,-1.12,-12.47,1.04,BK1028,industry,燃气
2021-03-09,1099.59,1069.11,1107.3,1044.49,2560000.0,1656106739.0,5.7,-2.98,-32.83,0.86,BK1028,industry,燃气
2021-03-10,1070.03,1063.53,1087.51,1050.1,1659594.0,1104618554.0,3.5,-0.52,-5.58,0.56,BK1028,industry,燃气
2021-03-11,1063.87,1080.04,1085.73,1050.88,1632444.0,1105721600.0,3.28,1.55,16.51,0.55,BK1028,industry,燃气
2021-03-12,1077.82,1099.68,1115.81,1065.7,2678410.0,1942432217.0,4.64,1.82,19.64,0.9,BK1028,industry,燃气
2021-03-15,1097.17,1104.44,1124.51,1085.62,2118440.0,1598126576.0,3.54,0.43,4.76,0.71,BK1028,industry,燃气
2021-03-16,1102.89,1124.98,1134.82,1093.48,2354761.0,1794221647.0,3.74,1.86,20.54,0.79,BK1028,industry,燃气
2021-03-17,1121.5,1116.44,1134.61,1099.92,1905085.0,1433337447.0,3.08,-0.76,-8.54,0.64,BK1028,industry,燃气
2021-03-18,1114.95,1114.84,1135.26,1103.35,1811677.0,1373717931.0,2.86,-0.14,-1.6,0.61,BK1028,industry,燃气
2021-03-19,1106.34,1119.64,1135.61,1094.47,2019850.0,1528314536.0,3.69,0.43,4.8,0.68,BK1028,industry,燃气
2021-03-22,1123.6,1150.82,1158.1,1118.61,2269236.0,1789876212.0,3.53,2.78,31.18,0.76,BK1028,industry,燃气
2021-03-23,1158.22,1179.36,1205.68,1140.38,4618735.0,3967238605.0,5.67,2.48,28.54,1.55,BK1028,industry,燃气
2021-03-24,1171.83,1195.58,1227.68,1146.92,5584469.0,5079658642.0,6.85,1.38,16.22,1.87,BK1028,industry,燃气
2021-03-25,1185.7,1169.04,1212.29,1148.45,4147827.0,3705739551.0,5.34,-2.22,-26.54,1.39,BK1028,industry,燃气
2021-03-26,1170.82,1206.82,1228.97,1164.79,3771619.0,3449997245.0,5.49,3.23,37.78,1.26,BK1028,industry,燃气
2021-03-29,1221.47,1262.31,1276.21,1197.97,5996739.0,6038576157.0,6.48,4.6,55.49,2.01,BK1028,industry,燃气
2021-03-30,1266.31,1272.26,1314.58,1221.0,6875259.0,6940371782.0,7.41,0.79,9.95,2.3,BK1028,industry,燃气
2021-03-31,1260.22,1261.62,1307.15,1232.1,5981586.0,6643731313.0,5.9,-0.84,-10.64,2.0,BK1028,industry,燃气
2021-04-01,1246.62,1245.22,1278.14,1216.2,4780853.0,4982564045.0,4.91,-1.3,-16.4,1.6,BK1028,industry,燃气
2021-04-02,1244.06,1252.04,1287.26,1223.95,4391806.0,4553622734.0,5.08,0.55,6.82,1.47,BK1028,industry,燃气
2021-04-06,1243.16,1265.91,1293.61,1225.97,4042203.0,4448851166.0,5.4,1.11,13.87,1.35,BK1028,industry,燃气
2021-04-07,1263.55,1270.11,1297.73,1244.54,3672571.0,3928712606.0,4.2,0.33,4.2,1.23,BK1028,industry,燃气
2021-04-08,1269.61,1237.16,1282.26,1225.86,4164336.0,4692356925.0,4.44,-2.59,-32.95,1.4,BK1028,industry,燃气
2021-04-09,1228.89,1227.11,1255.05,1209.13,3628145.0,4000380300.0,3.71,-0.81,-10.05,1.22,BK1028,industry,燃气
2021-04-12,1220.87,1224.51,1249.49,1199.87,3406906.0,3435517579.0,4.04,-0.21,-2.6,1.14,BK1028,industry,燃气
2021-04-13,1217.04,1184.63,1225.43,1175.68,2984841.0,2750628905.0,4.06,-3.26,-39.88,1.0,BK1028,industry,燃气
2021-04-14,1177.73,1189.54,1202.1,1161.14,2468698.0,2259628546.0,3.46,0.41,4.91,0.83,BK1028,industry,燃气
2021-04-15,1187.08,1185.07,1205.05,1167.62,2318936.0,2154191147.0,3.15,-0.38,-4.47,0.78,BK1028,industry,燃气
2021-04-16,1189.05,1197.9,1214.08,1178.38,2298433.0,2073943977.0,3.01,1.08,12.83,0.77,BK1028,industry,燃气
2021-04-19,1197.98,1200.87,1217.25,1188.18,2420532.0,2039430884.0,2.43,0.25,2.97,0.81,BK1028,industry,燃气
2021-04-20,1198.56,1198.16,1220.14,1183.84,2489851.0,2281815790.0,3.02,-0.23,-2.71,0.83,BK1028,industry,燃气
2021-04-21,1192.08,1180.82,1201.01,1168.09,2141310.0,1930859393.0,2.75,-1.45,-17.34,0.72,BK1028,industry,燃气
2021-04-22,1180.11,1176.2,1194.54,1163.55,1842031.0,1538760950.0,2.62,-0.39,-4.62,0.62,BK1028,industry,燃气
2021-04-23,1176.44,1160.23,1189.89,1147.3,2068568.0,1698924377.0,3.62,-1.36,-15.97,0.69,BK1028,industry,燃气
2021-04-26,1154.81,1142.79,1165.09,1133.41,1719824.0,1402891284.0,2.73,-1.5,-17.44,0.58,BK1028,industry,燃气
2021-04-27,1139.29,1135.0,1152.32,1115.53,1676226.0,1271955182.0,3.22,-0.68,-7.79,0.56,BK1028,industry,燃气
2021-04-28,1133.66,1133.77,1148.38,1120.78,1503370.0,1151335722.0,2.43,-0.11,-1.23,0.5,BK1028,industry,燃气
2021-04-29,1137.05,1145.87,1162.67,1124.39,1946458.0,2017529129.0,3.38,1.07,12.1,0.65,BK1028,industry,燃气
2021-04-30,1143.14,1127.95,1151.49,1118.29,1868354.0,1634837310.0,2.9,-1.56,-17.92,0.63,BK1028,industry,燃气
2021-05-06,1128.79,1140.84,1156.49,1118.11,1768899.0,1604389378.0,3.4,1.14,12.89,0.59,BK1028,industry,燃气
2021-05-07,1140.11,1150.43,1165.19,1127.94,2240347.0,2048863905.0,3.27,0.84,9.59,0.75,BK1028,industry,燃气
2021-05-10,1150.34,1159.15,1168.67,1133.3,2213530.0,1881014928.0,3.07,0.76,8.72,0.74,BK1028,industry,燃气
2021-05-11,1154.4,1173.17,1184.03,1141.04,2597243.0,2362290364.0,3.71,1.21,14.02,0.87,BK1028,industry,燃气
2021-05-12,1182.23,1182.39,1210.37,1165.54,2711627.0,2395986117.0,3.82,0.79,9.22,0.91,BK1028,industry,燃气
2021-05-13,1172.2,1163.06,1189.63,1154.12,2359940.0,1909623445.0,3.0,-1.63,-19.33,0.79,BK1028,industry,燃气
2021-05-14,1162.29,1176.46,1191.78,1155.47,2110204.0,1667706373.0,3.12,1.15,13.4,0.71,BK1028,industry,燃气
2021-05-17,1172.9,1154.75,1181.11,1143.96,1944692.0,1563948461.0,3.16,-1.85,-21.71,0.65,BK1028,industry,燃气
2021-05-18,1153.85,1164.08,1172.33,1143.29,1678353.0,1472950535.0,2.51,0.81,9.33,0.56,BK1028,industry,燃气
2021-05-19,1160.32,1160.32,1174.96,1147.5,1771639.0,1584376611.0,2.36,-0.32,-3.76,0.59,BK1028,industry,燃气
2021-05-20,1156.47,1143.63,1162.33,1134.68,1734053.0,1557753350.0,2.38,-1.44,-16.69,0.58,BK1028,industry,燃气
