日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,3744.44,3701.74,3779.37,3687.08,6208941.0,5418930762.66,2.47,-0.84,-31.45,0.7,BK0422,industry,物流行业
2010-01-05,3703.54,3702.55,3736.7,3634.29,5695746.0,5160291987.72,2.77,0.02,0.81,0.65,BK0422,industry,物流行业
2010-01-06,3704.7,3691.18,3746.26,3658.86,4887068.0,4632567862.32,2.36,-0.31,-11.37,0.55,BK0422,industry,物流行业
2010-01-07,3686.14,3623.6,3713.21,3602.39,5092687.0,4797836388.1,3.0,-1.83,-67.58,0.58,BK0422,industry,物流行业
2010-01-08,3620.86,3647.97,3662.64,3588.02,3794338.0,3646767700.91,2.06,0.67,24.37,0.43,BK0422,industry,物流行业
2010-01-11,3728.01,3660.85,3763.1,3630.98,5460196.0,5586381065.09,3.62,0.35,12.88,0.62,BK0422,industry,物流行业
2010-01-12,3665.78,3763.93,3780.21,3641.35,6003629.0,5857906225.0,3.79,2.82,103.08,0.68,BK0422,industry,物流行业
2010-01-13,3703.66,3711.3,3784.79,3662.44,6233746.0,5877710857.92,3.25,-1.4,-52.63,0.71,BK0422,industry,物流行业
2010-01-14,3720.35,3774.88,3803.04,3693.47,5289507.0,5159599798.12,2.95,1.71,63.58,0.6,BK0422,industry,物流行业
2010-01-15,3767.3,3798.58,3836.76,3742.13,3725205.0,3929984798.43,2.51,0.63,23.7,0.42,BK0422,industry,物流行业
2010-01-18,3810.73,3872.7,3915.21,3775.03,5050424.0,5069046148.37,3.69,1.95,74.12,0.57,BK0422,industry,物流行业
2010-01-19,3882.26,3863.26,3918.7,3830.01,4748711.0,5135315546.65,2.29,-0.24,-9.44,0.54,BK0422,industry,物流行业
2010-01-20,3862.94,3719.02,3878.8,3676.25,5721111.0,5849290070.81,5.24,-3.73,-144.24,0.65,BK0422,industry,物流行业
2010-01-21,3734.03,3775.86,3808.98,3703.97,4281950.0,4117239486.92,2.82,1.53,56.84,0.49,BK0422,industry,物流行业
2010-01-22,3740.19,3735.49,3799.88,3647.32,5131198.0,5039458512.38,4.04,-1.07,-40.37,0.58,BK0422,industry,物流行业
2010-01-25,3703.88,3675.43,3764.72,3643.58,3336845.0,3117627380.48,3.24,-1.61,-60.06,0.38,BK0422,industry,物流行业
2010-01-26,3682.53,3599.02,3706.92,3573.84,3457251.0,3296565299.66,3.62,-2.08,-76.41,0.39,BK0422,industry,物流行业
2010-01-27,3603.24,3611.59,3660.51,3559.98,2738258.0,2541180884.51,2.79,0.35,12.57,0.31,BK0422,industry,物流行业
2010-01-28,3609.65,3624.5,3667.34,3570.85,3011204.0,2653190597.77,2.67,0.36,12.91,0.34,BK0422,industry,物流行业
2010-01-29,3615.68,3598.49,3656.01,3563.95,2861429.0,2885317031.38,2.54,-0.72,-26.01,0.32,BK0422,industry,物流行业
