日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,988.67,969.49,994.67,962.83,3086560.0,6192410624.0,3.18,-3.05,-30.51,0.41,BK0728,industry,环保行业
2015-12-10,967.91,967.26,975.61,964.46,2368579.0,4690549504.0,1.15,-0.23,-2.23,0.31,BK0728,industry,环保行业
2015-12-11,965.21,957.32,965.46,950.19,2158084.0,4348783872.0,1.58,-1.03,-9.94,0.28,BK0728,industry,环保行业
2015-12-14,953.67,984.38,984.38,951.46,2381785.0,4839452416.0,3.44,2.83,27.06,0.31,BK0728,industry,环保行业
2015-12-15,992.51,994.52,1002.84,990.59,2547515.0,6074655232.0,1.24,1.03,10.14,0.34,BK0728,industry,环保行业
2015-12-16,1000.01,1009.3,1015.78,996.97,3052307.0,7098431744.0,1.89,1.49,14.78,0.4,BK0728,industry,环保行业
2015-12-17,1015.16,1033.19,1033.19,1015.09,3721769.0,7892229632.0,1.79,2.37,23.89,0.49,BK0728,industry,环保行业
2015-12-18,1033.11,1022.22,1037.1,1016.6,3157350.0,6557986560.0,1.98,-1.06,-10.97,0.42,BK0728,industry,环保行业
2015-12-21,1019.84,1025.54,1025.75,1014.05,2605520.0,5600660992.0,1.14,0.32,3.32,0.34,BK0728,industry,环保行业
2015-12-22,1029.59,1033.55,1034.59,1021.9,2525533.0,5280134912.0,1.24,0.78,8.01,0.33,BK0728,industry,环保行业
2015-12-23,1035.03,1021.11,1037.13,1018.38,3140050.0,7057715200.0,1.81,-1.2,-12.44,0.41,BK0728,industry,环保行业
2015-12-24,1017.58,1017.56,1022.26,1002.66,2433474.0,5335511552.0,1.92,-0.35,-3.55,0.32,BK0728,industry,环保行业
2015-12-25,1021.14,1022.84,1028.2,1014.27,2378022.0,5896730880.0,1.37,0.52,5.28,0.31,BK0728,industry,环保行业
2015-12-28,1026.86,1010.94,1038.58,1010.94,3259944.0,7186940160.0,2.7,-1.16,-11.9,0.43,BK0728,industry,环保行业
2015-12-29,1010.05,1015.1,1015.1,1000.91,2105457.0,4556052992.0,1.4,0.41,4.16,0.28,BK0728,industry,环保行业
2015-12-30,1019.09,1025.95,1025.95,1011.02,2536023.0,5453734144.0,1.47,1.07,10.85,0.33,BK0728,industry,环保行业
