日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-12-09,996.7,1000.08,1015.43,995.41,1746291.0,3459662800.0,2.0,0.01,0.08,1.22,BK0734,industry,珠宝首饰
2015-12-10,987.3,1012.46,1018.75,986.76,1546781.0,3383972224.0,3.2,1.24,12.38,1.08,BK0734,industry,珠宝首饰
2015-12-11,1006.86,1000.33,1007.99,986.89,1509635.0,3400097392.0,2.08,-1.2,-12.13,1.05,BK0734,industry,珠宝首饰
2015-12-14,991.04,1032.55,1033.68,987.89,1402624.0,2682565072.0,4.58,3.22,32.22,0.98,BK0734,industry,珠宝首饰
2015-12-15,1031.65,1053.61,1061.3,1030.58,1563388.0,3114067936.0,2.98,2.04,21.06,1.09,BK0734,industry,珠宝首饰
2015-12-16,1053.8,1053.88,1064.68,1048.38,1460739.0,3023121504.0,1.55,0.03,0.27,1.02,BK0734,industry,珠宝首饰
2015-12-17,1056.7,1065.39,1069.2,1056.61,927496.0,2228289200.0,1.19,1.09,11.51,0.65,BK0734,industry,珠宝首饰
2015-12-18,1061.19,1063.42,1067.54,1054.29,997178.0,2477542560.0,1.24,-0.18,-1.97,0.7,BK0734,industry,珠宝首饰
2015-12-21,1058.33,1079.62,1080.59,1052.75,1051733.0,2642699040.0,2.62,1.52,16.2,0.73,BK0734,industry,珠宝首饰
2015-12-22,1085.31,1097.63,1100.18,1081.75,1492786.0,3565946384.0,1.71,1.67,18.01,1.04,BK0734,industry,珠宝首饰
2015-12-23,1102.3,1094.02,1102.83,1082.77,1309422.0,3106914848.0,1.83,-0.33,-3.61,0.91,BK0734,industry,珠宝首饰
2015-12-24,1095.52,1088.89,1100.4,1074.98,1002818.0,2357981776.0,2.32,-0.47,-5.13,0.7,BK0734,industry,珠宝首饰
2015-12-25,1092.41,1094.38,1099.11,1083.68,1057682.0,2525239072.0,1.42,0.5,5.49,0.74,BK0734,industry,珠宝首饰
2015-12-28,1105.03,1085.62,1120.58,1084.95,1570889.0,3240315088.0,3.26,-0.8,-8.76,1.1,BK0734,industry,珠宝首饰
2015-12-29,1083.33,1081.11,1090.17,1056.54,991967.0,2018909296.0,3.1,-0.42,-4.51,0.69,BK0734,industry,珠宝首饰
2015-12-30,1080.76,1091.87,1091.87,1072.38,1000076.0,2086999008.0,1.8,1.0,10.76,0.7,BK0734,industry,珠宝首饰
2015-12-31,1094.4,1087.51,1099.17,1081.31,1070174.0,2365968208.0,1.64,-0.4,-4.36,0.75,BK0734,industry,珠宝首饰
2016-01-04,1084.69,981.09,1088.2,981.01,754457.0,1526457936.0,9.86,-9.79,-106.42,0.53,BK0734,industry,珠宝首饰
2016-01-05,915.12,932.11,985.56,898.32,1442841.0,2564868176.0,8.89,-4.99,-48.98,1.01,BK0734,industry,珠宝首饰
2016-01-06,938.42,970.18,970.85,923.69,1064600.0,1946653888.0,5.06,4.08,38.07,0.74,BK0734,industry,珠宝首饰
2016-01-07,949.69,878.26,949.69,877.34,226639.0,399858784.0,7.46,-9.47,-91.92,0.16,BK0734,industry,珠宝首饰
2016-01-08,899.18,889.01,914.41,830.89,1081736.0,1892610896.0,9.51,1.22,10.75,0.76,BK0734,industry,珠宝首饰
2016-01-11,869.88,813.29,879.4,809.05,999944.0,1600834480.0,7.91,-8.52,-75.72,0.7,BK0734,industry,珠宝首饰
2016-01-12,804.36,808.55,817.73,785.04,850875.0,1303636288.0,4.02,-0.58,-4.74,0.59,BK0734,industry,珠宝首饰
2016-01-13,803.15,775.58,817.94,772.49,948719.0,1409586800.0,5.62,-4.08,-32.97,0.66,BK0734,industry,珠宝首饰
2016-01-14,749.85,799.41,801.72,736.57,868486.0,1277618080.0,8.4,3.07,23.83,0.61,BK0734,industry,珠宝首饰
2016-01-15,788.49,765.77,799.13,758.74,1038532.0,1696135664.0,5.05,-4.21,-33.64,0.73,BK0734,industry,珠宝首饰
2016-01-18,750.05,790.24,794.44,743.93,889750.0,1365221584.0,6.6,3.2,24.47,0.62,BK0734,industry,珠宝首饰
2016-01-19,785.25,824.07,826.86,780.58,833045.0,1304111664.0,5.86,4.28,33.83,0.58,BK0734,industry,珠宝首饰
2016-01-20,818.67,814.64,837.04,803.96,859902.0,1363138336.0,4.01,-1.14,-9.43,0.6,BK0734,industry,珠宝首饰
2016-01-21,799.24,784.52,827.02,783.97,653188.0,991116512.0,5.28,-3.7,-30.12,0.46,BK0734,industry,珠宝首饰
2016-01-22,795.22,800.88,803.07,769.41,623120.0,934945296.0,4.29,2.09,16.36,0.44,BK0734,industry,珠宝首饰
2016-01-25,806.5,803.94,813.71,795.39,470242.0,739808512.0,2.29,0.38,3.06,0.33,BK0734,industry,珠宝首饰
2016-01-26,795.36,732.52,795.54,727.65,741307.0,1079854592.0,8.44,-8.88,-71.42,0.52,BK0734,industry,珠宝首饰
2016-01-27,740.01,713.62,742.32,676.92,958527.0,1252276896.0,8.93,-2.58,-18.9,0.67,BK0734,industry,珠宝首饰
2016-01-28,706.57,681.0,708.92,670.84,595904.0,771218208.0,5.34,-4.57,-32.62,0.42,BK0734,industry,珠宝首饰
2016-01-29,674.58,709.07,712.15,668.48,753347.0,969827792.0,6.41,4.12,28.07,0.53,BK0734,industry,珠宝首饰
