日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-11-29,1018.41,1009.95,1035.87,1004.36,6147905.0,24136804608.0,3.15,1.0,9.95,1.61,BK1044,industry,生物制品
2021-11-30,1004.51,1009.26,1010.44,996.98,5204101.0,19226769920.0,1.33,-0.07,-0.69,1.36,BK1044,industry,生物制品
2021-12-01,1006.24,996.4,1006.24,994.65,4241488.0,14050295808.0,1.15,-1.27,-12.86,1.11,BK1044,industry,生物制品
2021-12-02,994.05,980.3,1000.8,980.08,3399240.0,11123808256.0,2.08,-1.62,-16.1,0.89,BK1044,industry,生物制品
2021-12-03,983.37,984.26,986.05,978.71,2769092.0,10535081472.0,0.75,0.4,3.96,0.73,BK1044,industry,生物制品
2021-12-06,985.01,963.74,986.92,963.31,2973907.0,10744741888.0,2.4,-2.08,-20.52,0.78,BK1044,industry,生物制品
2021-12-07,965.53,961.27,969.81,957.38,2883055.0,9708961024.0,1.29,-0.26,-2.47,0.75,BK1044,industry,生物制品
2021-12-08,962.05,967.03,967.74,957.47,2246520.0,9150365952.0,1.07,0.6,5.76,0.59,BK1044,industry,生物制品
2021-12-09,970.09,985.23,985.59,970.09,3423819.0,14915755008.0,1.6,1.88,18.2,0.9,BK1044,industry,生物制品
2021-12-10,983.76,982.05,986.19,977.89,3277336.0,13441224448.0,0.84,-0.32,-3.18,0.86,BK1044,industry,生物制品
2021-12-13,981.86,984.99,990.67,981.86,2673388.0,10843298304.0,0.9,0.3,2.94,0.7,BK1044,industry,生物制品
2021-12-14,986.32,995.7,999.08,986.32,2962596.0,12526869760.0,1.3,1.09,10.71,0.78,BK1044,industry,生物制品
2021-12-15,999.17,994.42,999.65,987.99,3297108.0,14266960384.0,1.17,-0.13,-1.28,0.86,BK1044,industry,生物制品
2021-12-16,993.22,990.44,995.98,989.48,3324215.0,13114596608.0,0.65,-0.4,-3.98,0.87,BK1044,industry,生物制品
2021-12-17,989.25,983.67,992.0,979.37,3056320.0,12569980672.0,1.28,-0.68,-6.77,0.8,BK1044,industry,生物制品
2021-12-20,987.76,988.88,1002.38,987.73,4036041.0,13139077888.0,1.49,0.53,5.21,1.06,BK1044,industry,生物制品
2021-12-21,989.88,990.32,995.3,984.69,3027582.0,9699650816.0,1.07,0.15,1.44,0.79,BK1044,industry,生物制品
2021-12-22,990.43,995.87,998.42,987.78,3099304.0,9078573312.0,1.07,0.56,5.55,0.81,BK1044,industry,生物制品
2021-12-23,994.12,979.03,994.12,977.76,3045188.0,10492390912.0,1.64,-1.69,-16.84,0.8,BK1044,industry,生物制品
2021-12-24,978.93,978.9,987.05,974.21,4650681.0,12380583680.0,1.31,-0.01,-0.13,1.22,BK1044,industry,生物制品
2021-12-27,977.66,983.05,984.91,974.67,4387931.0,10839083520.0,1.05,0.42,4.15,1.15,BK1044,industry,生物制品
2021-12-28,983.46,984.21,985.06,974.35,3484765.0,10722203648.0,1.09,0.12,1.16,0.91,BK1044,industry,生物制品
