日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,7311.67,7238.12,7357.41,7206.75,4142392.0,3421225596.42,2.07,-0.67,-48.83,0.11,BK0428,industry,电力行业
2010-01-05,7246.65,7278.39,7320.79,7137.39,5197187.0,4334097165.11,2.53,0.56,40.27,0.14,BK0428,industry,电力行业
2010-01-06,7276.52,7268.17,7342.35,7212.27,5705991.0,4790448944.91,1.79,-0.14,-10.22,0.15,BK0428,industry,电力行业
2010-01-07,7260.46,7128.7,7290.7,7094.48,5588446.0,4612449927.76,2.7,-1.92,-139.47,0.15,BK0428,industry,电力行业
2010-01-08,7110.16,7188.88,7216.0,7055.95,4431253.0,3766405854.25,2.25,0.84,60.18,0.12,BK0428,industry,电力行业
2010-01-11,7253.54,7216.36,7322.37,7154.9,4582182.0,3939981917.15,2.33,0.38,27.48,0.12,BK0428,industry,电力行业
2010-01-12,7214.06,7328.54,7354.66,7168.21,6143243.0,5091937476.2,2.58,1.55,112.18,0.16,BK0428,industry,电力行业
2010-01-13,7215.73,7229.61,7346.75,7166.87,5957904.0,5259947786.07,2.45,-1.35,-98.93,0.16,BK0428,industry,电力行业
2010-01-14,7241.24,7338.42,7370.65,7209.7,6161465.0,5364276095.69,2.23,1.51,108.81,0.16,BK0428,industry,电力行业
2010-01-15,7347.27,7341.66,7401.88,7262.95,6053745.0,5275299892.79,1.89,0.04,3.24,0.16,BK0428,industry,电力行业
2010-01-18,7342.8,7398.02,7432.58,7296.09,5663145.0,4925818487.1,1.86,0.77,56.36,0.15,BK0428,industry,电力行业
2010-01-19,7399.63,7365.67,7447.19,7320.15,6240279.0,5192883640.94,1.72,-0.44,-32.35,0.17,BK0428,industry,电力行业
2010-01-20,7368.3,7174.69,7411.79,7141.22,6794716.0,5988459176.06,3.67,-2.59,-190.98,0.18,BK0428,industry,电力行业
2010-01-21,7169.28,7197.59,7250.66,7107.63,4422479.0,4141822733.16,1.99,0.32,22.9,0.12,BK0428,industry,电力行业
2010-01-22,7157.61,7090.76,7213.9,6980.32,5085955.0,4296271623.56,3.25,-1.48,-106.83,0.14,BK0428,industry,电力行业
2010-01-25,7077.97,7067.16,7184.16,6998.82,3464190.0,3281952853.75,2.61,-0.33,-23.6,0.09,BK0428,industry,电力行业
2010-01-26,7054.05,6879.68,7114.82,6821.24,4091854.0,3567461331.23,4.15,-2.65,-187.48,0.11,BK0428,industry,电力行业
2010-01-27,6878.72,6854.89,6952.94,6804.13,3111109.0,2843314266.34,2.16,-0.36,-24.79,0.08,BK0428,industry,电力行业
2010-01-28,6865.07,6902.58,6951.95,6810.24,3635560.0,3257518790.16,2.07,0.7,47.69,0.1,BK0428,industry,电力行业
2010-01-29,6892.29,6902.07,6996.47,6831.38,4087111.0,3719464329.73,2.39,-0.01,-0.51,0.11,BK0428,industry,电力行业
2010-02-01,6900.07,6769.9,6925.45,6685.89,3852345.0,3336820562.4,3.47,-1.91,-132.17,0.1,BK0428,industry,电力行业
2010-02-02,6803.38,6743.11,6875.0,6721.59,3248592.0,2898603555.05,2.27,-0.4,-26.79,0.09,BK0428,industry,电力行业
2010-02-03,6751.71,6872.87,6887.93,6628.79,4754521.0,4475321700.77,3.84,1.92,129.76,0.13,BK0428,industry,电力行业
2010-02-04,6877.11,6918.07,6978.16,6825.18,4817965.0,4409261976.2,2.23,0.66,45.2,0.13,BK0428,industry,电力行业
2010-02-05,6823.5,6869.99,6947.69,6750.81,5185478.0,4572448264.7,2.85,-0.69,-48.08,0.14,BK0428,industry,电力行业
2010-02-08,6866.12,6856.58,6922.19,6796.71,3040776.0,2550276809.45,1.83,-0.2,-13.41,0.08,BK0428,industry,电力行业
2010-02-09,6846.94,6906.27,6937.56,6799.91,3771563.0,3360246978.41,2.01,0.72,49.69,0.1,BK0428,industry,电力行业
2010-02-10,6919.41,6925.71,6969.2,6867.77,2720906.0,2404785016.83,1.47,0.28,19.44,0.07,BK0428,industry,电力行业
2010-02-11,6933.95,6922.16,6972.58,6887.97,2234035.0,1891038434.54,1.22,-0.05,-3.55,0.06,BK0428,industry,电力行业
2010-02-12,6930.91,6974.2,7000.15,6905.43,2418846.0,2143265711.71,1.37,0.75,52.04,0.06,BK0428,industry,电力行业
2010-02-22,6973.87,6959.97,7026.39,6919.83,2852666.0,2572494653.78,1.53,-0.2,-14.23,0.08,BK0428,industry,电力行业
2010-02-23,6958.93,7016.04,7048.48,6884.39,3716360.0,3366339753.54,2.36,0.81,56.07,0.1,BK0428,industry,电力行业
2010-02-24,6998.17,7189.14,7216.86,6964.88,5354661.0,4777144889.82,3.59,2.47,173.1,0.14,BK0428,industry,电力行业
2010-02-25,7199.41,7236.41,7271.33,7149.08,6496000.0,5725899301.84,1.7,0.66,47.27,0.17,BK0428,industry,电力行业
2010-02-26,7221.28,7217.09,7279.22,7164.0,4982652.0,4330303891.37,1.59,-0.27,-19.32,0.13,BK0428,industry,电力行业
2010-03-01,7218.04,7300.2,7338.27,7182.8,6159538.0,5349931145.14,2.15,1.15,83.11,0.16,BK0428,industry,电力行业
2010-03-02,7308.1,7287.74,7378.98,7221.05,6314403.0,6010081817.49,2.16,-0.17,-12.46,0.17,BK0428,industry,电力行业
2010-03-03,7287.51,7368.83,7431.63,7236.68,8399726.0,7541399069.5,2.68,1.11,81.09,0.22,BK0428,industry,电力行业
2010-03-04,7380.7,7152.26,7427.58,7118.99,7904808.0,6817207840.21,4.19,-2.94,-216.57,0.21,BK0428,industry,电力行业
2010-03-05,7150.05,7165.5,7244.2,7089.78,5298857.0,4578399885.86,2.16,0.19,13.24,0.14,BK0428,industry,电力行业
2010-03-08,7175.4,7200.41,7256.17,7123.22,4404038.0,3748950039.91,1.86,0.49,34.91,0.12,BK0428,industry,电力行业
2010-03-09,7199.54,7215.73,7258.0,7127.79,4439921.0,3663042088.91,1.81,0.21,15.32,0.12,BK0428,industry,电力行业
2010-03-10,7206.41,7158.16,7256.37,7113.67,3950541.0,3265284885.26,1.98,-0.8,-57.57,0.11,BK0428,industry,电力行业
2010-03-11,7165.29,7147.93,7223.28,7084.15,4015204.0,3396928523.43,1.94,-0.14,-10.23,0.11,BK0428,industry,电力行业
2010-03-12,7153.02,7064.02,7187.15,7022.4,3882604.0,3240635810.3,2.3,-1.17,-83.91,0.1,BK0428,industry,电力行业
2010-03-15,7062.04,6996.19,7109.38,6954.8,3538697.0,2798871317.18,2.19,-0.96,-67.83,0.09,BK0428,industry,电力行业
2010-03-16,6991.01,7032.79,7062.41,6959.37,2840438.0,2263383456.61,1.47,0.52,36.6,0.08,BK0428,industry,电力行业
2010-03-17,7046.71,7144.14,7157.32,7023.67,4110889.0,3442790148.87,1.9,1.58,111.35,0.11,BK0428,industry,电力行业
2010-03-18,7148.37,7124.23,7191.2,7088.54,3749804.0,3227782636.42,1.44,-0.28,-19.91,0.1,BK0428,industry,电力行业
2010-03-19,7126.71,7169.83,7195.49,7062.34,3846020.0,3150333196.81,1.87,0.64,45.6,0.1,BK0428,industry,电力行业
2010-03-22,7174.61,7217.97,7273.06,7132.08,4944186.0,3995963467.8,1.97,0.67,48.14,0.13,BK0428,industry,电力行业
