日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-03-01,1007.28,1025.77,1034.96,1000.06,949713.0,2238944685.0,3.49,2.58,25.77,0.89,BK1039,industry,电子化学品
2021-03-02,1030.74,1013.97,1044.18,1002.73,1191511.0,2707069252.0,4.04,-1.15,-11.8,1.12,BK1039,industry,电子化学品
2021-03-03,1012.46,1021.78,1033.03,1002.08,919763.0,2019758609.0,3.05,0.77,7.81,0.86,BK1039,industry,电子化学品
2021-03-04,1022.94,1017.22,1054.69,1004.99,1344097.0,3058413795.0,4.86,-0.45,-4.56,1.26,BK1039,industry,电子化学品
2021-03-05,1002.12,1031.29,1044.12,992.1,1255671.0,2666882016.0,5.11,1.38,14.07,1.18,BK1039,industry,电子化学品
2021-03-08,1034.35,1008.38,1048.62,1001.82,1172787.0,2430312554.0,4.54,-2.22,-22.91,1.1,BK1039,industry,电子化学品
2021-03-09,1007.44,976.93,1024.8,956.58,1369570.0,3035725497.0,6.77,-3.12,-31.45,1.28,BK1039,industry,电子化学品
2021-03-10,988.9,961.42,1003.91,948.23,1049486.0,2380271555.0,5.7,-1.59,-15.51,0.98,BK1039,industry,电子化学品
2021-03-11,962.4,986.71,1001.08,942.96,1172975.0,2908318643.0,6.05,2.63,25.29,1.1,BK1039,industry,电子化学品
2021-03-12,988.3,972.47,1003.26,963.37,941507.0,2570003032.0,4.04,-1.44,-14.24,0.88,BK1039,industry,电子化学品
2021-03-15,966.66,953.96,978.55,941.21,799301.0,1955144933.0,3.84,-1.9,-18.51,0.75,BK1039,industry,电子化学品
2021-03-16,956.43,961.51,973.25,942.36,773533.0,1624943148.0,3.24,0.79,7.55,0.72,BK1039,industry,电子化学品
2021-03-17,960.27,972.63,985.49,949.64,816078.0,1667810547.0,3.73,1.16,11.12,0.76,BK1039,industry,电子化学品
2021-03-18,972.75,965.7,985.03,955.71,777072.0,1610121409.0,3.01,-0.71,-6.93,0.73,BK1039,industry,电子化学品
2021-03-19,955.44,959.0,976.5,947.14,711227.0,1528683883.0,3.04,-0.69,-6.7,0.67,BK1039,industry,电子化学品
2021-03-22,959.74,966.3,978.13,950.46,747389.0,1653073840.0,2.89,0.76,7.3,0.7,BK1039,industry,电子化学品
