日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-02-25,1004.4,982.09,1014.02,975.35,1805719.0,1476440197.0,3.87,-1.79,-17.91,1.61,BK1030,industry,电机
2021-02-26,971.47,985.67,1000.77,959.37,1728248.0,1514162512.0,4.22,0.36,3.58,1.55,BK1030,industry,电机
2021-03-01,990.54,1016.11,1025.01,983.16,1944965.0,1739596237.0,4.25,3.09,30.44,1.74,BK1030,industry,电机
2021-03-02,1018.47,1010.32,1030.44,995.8,1827946.0,1581947584.0,3.41,-0.57,-5.79,1.63,BK1030,industry,电机
2021-03-03,1009.09,1017.87,1026.41,997.28,2142684.0,1650535227.0,2.88,0.75,7.55,1.92,BK1030,industry,电机
2021-03-04,1014.65,1006.35,1031.07,997.13,2491680.0,1909697542.0,3.33,-1.13,-11.52,2.23,BK1030,industry,电机
2021-03-05,1000.87,1013.53,1024.48,992.03,2578873.0,1964703132.0,3.22,0.71,7.18,2.31,BK1030,industry,电机
2021-03-08,1014.21,1000.03,1036.61,993.77,2381271.0,1999786554.0,4.23,-1.33,-13.5,2.13,BK1030,industry,电机
2021-03-09,997.2,971.46,1009.86,949.28,2138446.0,1866188542.0,6.06,-2.86,-28.57,1.91,BK1030,industry,电机
2021-03-10,980.08,965.24,994.67,951.08,2250572.0,1698110744.0,4.49,-0.64,-6.22,2.01,BK1030,industry,电机
2021-03-11,966.58,982.67,993.39,954.27,2016432.0,1628453860.0,4.05,1.81,17.43,1.8,BK1030,industry,电机
2021-03-12,983.56,989.85,1002.83,964.82,1838613.0,1570736143.0,3.87,0.73,7.18,1.64,BK1030,industry,电机
2021-03-15,989.5,996.0,1010.61,974.51,2304056.0,1692201469.0,3.65,0.62,6.15,2.06,BK1030,industry,电机
2021-03-16,993.58,1007.5,1015.55,986.08,1743522.0,1342322376.0,2.96,1.15,11.5,1.56,BK1030,industry,电机
2021-03-17,1004.77,1007.09,1019.46,990.5,1700012.0,1279099800.0,2.87,-0.04,-0.41,1.52,BK1030,industry,电机
2021-03-18,1008.58,1011.97,1024.78,998.94,1315576.0,1248239237.0,2.57,0.48,4.88,1.18,BK1030,industry,电机
2021-03-19,1008.38,1016.34,1031.9,996.0,2099417.0,1760641207.0,3.55,0.43,4.37,1.88,BK1030,industry,电机
2021-03-22,1022.28,1039.65,1048.97,1013.14,1929211.0,1752412150.0,3.53,2.29,23.31,1.72,BK1030,industry,电机
2021-03-23,1042.74,1031.39,1058.77,1018.58,2212606.0,1986789738.0,3.87,-0.79,-8.26,1.98,BK1030,industry,电机
2021-03-24,1024.83,1019.8,1047.55,1010.64,1605362.0,1433141132.0,3.58,-1.12,-11.59,1.44,BK1030,industry,电机
2021-03-25,1014.04,1009.03,1028.01,994.6,1330617.0,1195592158.0,3.28,-1.06,-10.77,1.19,BK1030,industry,电机
2021-03-26,1010.24,1030.38,1037.39,1004.26,1608948.0,1489653130.0,3.28,2.12,21.35,1.44,BK1030,industry,电机
2021-03-29,1040.01,1042.18,1060.76,1023.92,1876975.0,1759752345.0,3.58,1.15,11.8,1.68,BK1030,industry,电机
2021-03-30,1052.73,1045.11,1068.9,1031.15,1890142.0,1686092700.0,3.62,0.28,2.93,1.69,BK1030,industry,电机
2021-03-31,1045.32,1052.33,1064.6,1034.16,1493385.0,1317742988.0,2.91,0.69,7.22,1.34,BK1030,industry,电机
2021-04-01,1060.28,1048.28,1071.12,1035.56,1695158.0,1420310599.0,3.38,-0.38,-4.05,1.52,BK1030,industry,电机
2021-04-02,1054.86,1056.99,1070.75,1040.04,1634174.0,1460901975.0,2.93,0.83,8.71,1.46,BK1030,industry,电机
2021-04-06,1063.14,1073.48,1086.36,1050.56,1830148.0,1794757404.0,3.39,1.56,16.49,1.64,BK1030,industry,电机
2021-04-07,1081.2,1080.63,1092.8,1062.8,1538469.0,1462369546.0,2.79,0.67,7.15,1.38,BK1030,industry,电机
2021-04-08,1083.8,1069.98,1099.93,1059.97,1678015.0,2011098959.0,3.7,-0.99,-10.65,1.5,BK1030,industry,电机
2021-04-09,1063.22,1065.18,1085.16,1048.82,2280937.0,2342510549.0,3.4,-0.45,-4.8,2.04,BK1030,industry,电机
2021-04-12,1064.91,1057.16,1082.21,1041.53,1987810.0,2038456977.0,3.82,-0.75,-8.02,1.78,BK1030,industry,电机
2021-04-13,1054.71,1032.49,1060.59,1025.19,1283800.0,1387137370.0,3.35,-2.33,-24.67,1.15,BK1030,industry,电机
2021-04-14,1031.53,1040.05,1053.03,1019.44,1926507.0,1750180546.0,3.25,0.73,7.56,1.72,BK1030,industry,电机
2021-04-15,1038.15,1031.13,1051.39,1016.25,1852492.0,1658720514.0,3.38,-0.86,-8.92,1.66,BK1030,industry,电机
2021-04-16,1029.58,1051.35,1061.67,1021.44,2042544.0,1777819204.0,3.9,1.96,20.22,1.83,BK1030,industry,电机
2021-04-19,1052.98,1073.22,1084.6,1044.92,2703065.0,2431710910.0,3.77,2.08,21.87,2.42,BK1030,industry,电机
2021-04-20,1070.82,1057.89,1085.7,1051.17,2982878.0,2619997371.0,3.22,-1.43,-15.33,2.67,BK1030,industry,电机
2021-04-21,1055.99,1056.44,1076.21,1041.69,2016315.0,1826457570.0,3.26,-0.14,-1.45,1.8,BK1030,industry,电机
2021-04-22,1060.87,1069.1,1081.89,1049.1,1835515.0,1825429336.0,3.1,1.2,12.66,1.64,BK1030,industry,电机
2021-04-23,1064.62,1053.21,1078.13,1038.16,2127794.0,1973926048.0,3.74,-1.49,-15.89,1.9,BK1030,industry,电机
2021-04-26,1051.83,1048.24,1074.51,1033.85,2283732.0,2006697798.0,3.86,-0.47,-4.97,2.04,BK1030,industry,电机
2021-04-27,1046.64,1037.03,1059.93,1016.98,2041395.0,1732172556.0,4.1,-1.07,-11.21,1.83,BK1030,industry,电机
2021-04-28,1035.4,1048.24,1064.84,1020.01,2200607.0,1859499546.0,4.32,1.08,11.21,1.97,BK1030,industry,电机
2021-04-29,1050.16,1056.21,1073.63,1034.15,1892619.0,1737046284.0,3.77,0.76,7.97,1.69,BK1030,industry,电机
2021-04-30,1057.77,1065.44,1085.75,1035.93,3236233.0,2813274517.0,4.72,0.87,9.23,2.89,BK1030,industry,电机
2021-05-06,1067.44,1074.01,1093.88,1049.33,3016487.0,2819090123.0,4.18,0.8,8.57,2.7,BK1030,industry,电机
2021-05-07,1076.47,1061.29,1089.68,1053.58,4808074.0,4289061328.0,3.36,-1.18,-12.72,4.3,BK1030,industry,电机
2021-05-10,1060.49,1067.81,1082.2,1040.44,4713944.0,3984260765.0,3.93,0.61,6.52,4.21,BK1030,industry,电机
2021-05-11,1061.85,1068.96,1085.03,1045.22,3339493.0,2967376324.0,3.73,0.11,1.15,2.99,BK1030,industry,电机
2021-05-12,1070.23,1085.33,1095.71,1054.88,3170511.0,2834968647.0,3.82,1.53,16.37,2.83,BK1030,industry,电机
2021-05-13,1078.03,1076.85,1097.95,1061.23,3067273.0,2668647755.0,3.38,-0.78,-8.48,2.74,BK1030,industry,电机
2021-05-14,1080.4,1085.41,1101.5,1062.43,3900543.0,3291030761.0,3.63,0.79,8.56,3.49,BK1030,industry,电机
2021-05-17,1085.9,1081.64,1107.96,1064.88,4149256.0,3443619339.0,3.97,-0.35,-3.77,3.71,BK1030,industry,电机
2021-05-18,1080.1,1092.3,1107.07,1065.52,3619361.0,3177676800.0,3.84,0.99,10.66,3.24,BK1030,industry,电机
2021-05-19,1089.39,1097.61,1114.33,1074.35,3248965.0,3062008624.0,3.66,0.49,5.31,2.9,BK1030,industry,电机
2021-05-20,1095.98,1106.72,1125.61,1079.77,3880660.0,3433760498.0,4.18,0.83,9.11,3.47,BK1030,industry,电机
2021-05-21,1108.39,1099.24,1125.28,1089.76,3076840.0,2818949576.0,3.21,-0.68,-7.48,2.75,BK1030,industry,电机
2021-05-24,1099.24,1104.01,1121.81,1084.25,2926303.0,2665916931.0,3.42,0.43,4.77,2.62,BK1030,industry,电机
2021-05-25,1105.23,1108.4,1126.77,1086.65,3044397.0,2820256245.0,3.63,0.4,4.39,2.72,BK1030,industry,电机
2021-05-26,1109.93,1113.74,1127.68,1096.01,2254271.0,2146997495.0,2.86,0.48,5.34,2.02,BK1030,industry,电机
2021-05-27,1113.97,1122.75,1139.86,1102.6,2478631.0,2241142576.0,3.35,0.81,9.01,2.22,BK1030,industry,电机
2021-05-28,1123.4,1113.07,1136.85,1104.97,2623736.0,2412997070.0,2.84,-0.86,-9.68,2.35,BK1030,industry,电机
2021-05-31,1112.52,1122.59,1130.98,1099.84,2527459.0,2305666172.0,2.8,0.86,9.52,2.26,BK1030,industry,电机
2021-06-01,1120.63,1126.24,1139.59,1106.26,2585304.0,2436548089.0,2.97,0.33,3.65,2.31,BK1030,industry,电机
2021-06-02,1127.59,1119.01,1150.26,1104.47,2922029.0,2646965582.0,4.07,-0.64,-7.23,2.61,BK1030,industry,电机
2021-06-03,1116.5,1121.9,1145.48,1105.22,2226885.0,2218931588.0,3.6,0.26,2.89,1.99,BK1030,industry,电机
2021-06-04,1120.34,1125.23,1143.66,1101.76,2814156.0,2535987468.0,3.73,0.3,3.33,2.52,BK1030,industry,电机
2021-06-07,1125.75,1137.93,1151.57,1114.59,3111281.0,2899592704.0,3.29,1.13,12.7,2.78,BK1030,industry,电机
2021-06-08,1136.36,1128.56,1152.64,1113.74,3035004.0,2793589810.0,3.42,-0.82,-9.37,2.71,BK1030,industry,电机
2021-06-09,1128.71,1132.89,1147.66,1112.8,1986954.0,1859549007.0,3.09,0.38,4.33,1.78,BK1030,industry,电机
2021-06-10,1137.06,1137.43,1154.28,1124.01,2369028.0,2188469956.0,2.67,0.4,4.54,2.12,BK1030,industry,电机
2021-06-11,1143.09,1129.85,1161.11,1117.34,2787868.0,2708316812.0,3.85,-0.67,-7.58,2.49,BK1030,industry,电机
2021-06-15,1129.73,1121.22,1147.86,1101.99,1891230.0,1963033321.0,4.06,-0.76,-8.63,1.69,BK1030,industry,电机
2021-06-16,1122.89,1101.92,1131.18,1091.57,1870022.0,1748674601.0,3.53,-1.72,-19.3,1.67,BK1030,industry,电机
2021-06-17,1100.33,1110.06,1127.11,1088.68,1711435.0,1628474386.0,3.49,0.74,8.14,1.53,BK1030,industry,电机
2021-06-18,1109.39,1125.74,1136.74,1088.66,1921878.0,1934449698.0,4.33,1.41,15.68,1.72,BK1030,industry,电机
2021-06-21,1123.66,1139.53,1153.03,1113.6,2053558.0,2378735262.0,3.5,1.22,13.79,1.84,BK1030,industry,电机
2021-06-22,1142.01,1141.31,1161.74,1126.1,1783814.0,2048951429.0,3.13,0.16,1.78,1.59,BK1030,industry,电机
2021-06-23,1139.41,1146.32,1158.4,1124.05,1967842.0,2125426493.0,3.01,0.44,5.01,1.76,BK1030,industry,电机
2021-06-24,1150.57,1145.28,1171.45,1132.52,1886174.0,1949996579.0,3.4,-0.09,-1.04,1.69,BK1030,industry,电机
2021-06-25,1142.93,1147.52,1161.86,1125.32,1959013.0,1886020272.0,3.19,0.2,2.24,1.75,BK1030,industry,电机
2021-06-28,1149.89,1164.97,1175.97,1136.05,1775933.0,1863538442.0,3.48,1.52,17.45,1.59,BK1030,industry,电机
2021-06-29,1170.97,1166.9,1195.55,1143.63,2292166.0,2682200067.0,4.46,0.17,1.93,2.05,BK1030,industry,电机
2021-06-30,1163.55,1176.03,1194.09,1141.64,2718732.0,3259390883.0,4.49,0.78,9.13,2.43,BK1030,industry,电机
2021-07-01,1173.39,1156.12,1190.81,1140.69,3741837.0,3475047212.0,4.26,-1.69,-19.91,3.35,BK1030,industry,电机
