日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-02-25,1000.32,991.88,1020.43,971.79,3973836.0,3274798600.0,4.86,-0.81,-8.12,1.41,BK1034,industry,电源设备
2021-02-26,978.12,990.75,1013.08,964.89,3802487.0,2896762517.0,4.86,-0.11,-1.13,1.35,BK1034,industry,电源设备
2021-03-01,993.57,1018.03,1029.8,986.23,3076076.0,2736315655.0,4.4,2.75,27.28,1.09,BK1034,industry,电源设备
2021-03-02,1019.88,1021.66,1046.12,996.47,4310024.0,3468890743.0,4.88,0.36,3.63,1.53,BK1034,industry,电源设备
2021-03-03,1020.1,1038.89,1046.58,1005.96,4691238.0,3031668224.0,3.98,1.69,17.23,1.67,BK1034,industry,电源设备
2021-03-04,1040.23,1025.65,1062.5,1015.2,8070871.0,3906353920.0,4.55,-1.27,-13.24,2.87,BK1034,industry,电源设备
2021-03-05,1016.9,1042.71,1062.76,1003.93,6114793.0,3417823315.0,5.74,1.66,17.06,2.17,BK1034,industry,电源设备
2021-03-08,1055.26,1037.97,1080.15,1021.71,6792668.0,5007788754.0,5.6,-0.45,-4.74,2.41,BK1034,industry,电源设备
2021-03-09,1036.6,1001.63,1050.71,981.01,5767362.0,4139623484.0,6.72,-3.5,-36.34,2.05,BK1034,industry,电源设备
2021-03-10,1008.93,989.44,1027.59,976.18,4812066.0,2757864061.0,5.13,-1.22,-12.19,1.71,BK1034,industry,电源设备
2021-03-11,991.45,1027.75,1037.53,975.79,5779678.0,3227172923.0,6.24,3.87,38.31,2.05,BK1034,industry,电源设备
2021-03-12,1028.7,1060.11,1084.3,1010.53,7214541.0,4745366001.0,7.18,3.15,32.36,2.56,BK1034,industry,电源设备
2021-03-15,1069.26,1059.05,1092.02,1029.21,8199089.0,5094337554.0,5.92,-0.1,-1.06,2.91,BK1034,industry,电源设备
2021-03-16,1059.86,1097.32,1111.04,1043.26,9819684.0,5521075625.0,6.4,3.61,38.27,3.49,BK1034,industry,电源设备
2021-03-17,1092.54,1105.65,1125.15,1067.59,12594360.0,6152582909.0,5.25,0.76,8.33,4.48,BK1034,industry,电源设备
2021-03-18,1100.26,1117.4,1141.23,1083.57,12219158.0,6166489215.0,5.22,1.06,11.75,4.34,BK1034,industry,电源设备
2021-03-19,1102.24,1114.5,1155.17,1088.42,12285601.0,6591398421.0,5.97,-0.26,-2.9,4.37,BK1034,industry,电源设备
2021-03-22,1113.49,1155.65,1174.71,1105.92,12373825.0,6960140210.0,6.17,3.69,41.15,4.4,BK1034,industry,电源设备
2021-03-23,1149.58,1114.26,1165.16,1101.82,11460350.0,6377226932.0,5.48,-3.58,-41.39,4.07,BK1034,industry,电源设备
2021-03-24,1100.1,1105.5,1139.43,1081.2,9978605.0,4966198489.0,5.23,-0.79,-8.76,3.55,BK1034,industry,电源设备
2021-03-25,1099.2,1084.64,1120.92,1061.53,9487380.0,4760832106.0,5.37,-1.89,-20.86,3.37,BK1034,industry,电源设备
